state,district,year,rank
Kwara,Moro,2002,1
Kwara,Moro,2015,2
Kwara,Moro,2004,3
Kwara,Moro,2023,4
Kwara,Moro,2021,5
Kwara,Moro,2019,6
Kwara,Moro,1998,7
Kwara,Moro,2006,8
Niger,Lapai,2022,1
Niger,Lapai,2023,2
Niger,Lapai,2021,3
Niger,Lapai,2015,4
Niger,Lapai,2010,5
Niger,Lapai,2007,6
Niger,Lapai,1997,7
Niger,Lapai,2014,8
Niger,Minna,2020,1
Niger,Minna,2015,2
Niger,Minna,2021,3
Niger,Minna,2022,4
Niger,Minna,2017,5
Niger,Minna,2023,6
Niger,Minna,2019,7
Niger,Minna,2014,8
Niger,Mokwa,2003,1
Niger,Mokwa,2015,2
Niger,Mokwa,1993,3
Niger,Mokwa,2022,4
Niger,Mokwa,2011,5
Niger,Mokwa,2021,6
Niger,Mokwa,2002,7
Niger,Mokwa,2008,8
22,14,4
Niger,Mokwa,2011,13,5
Niger,Mokwa,2021,11,6
Niger,Mokwa,2002,11,7
Niger,Mokwa,2008,9,8
