gid,year,mean,rank,district,Zone,Kwilu,Country
1,2015,1.401781982,10,Minjarna Shenkora, North Shewa (K3),Kasaï-Central, Ethiopia
1,2014,1.53121369,9,Minjarna Shenkora, North Shewa (K3),Amhara, Ethiopia
1,2002,1.581951793,8,Minjarna Shenkora, North Shewa (K3),Amhara, Ethiopia
1,2009,1.818490645,7,Minjarna Shenkora, North Shewa (K3),Amhara, Ethiopia
1,1984,1.834840994,6,Minjarna Shenkora, North Shewa (K3),Amhara, Ethiopia
1,2018,1.894418893,5,Minjarna Shenkora, North Shewa (K3),Amhara, Ethiopia
1,2012,1.964198009,4,Minjarna Shenkora, North Shewa (K3),Amhara, Ethiopia
1,1987,1.987397045,3,Minjarna Shenkora, North Shewa (K3),Amhara, Ethiopia
1,2000,2.028944461,2,Minjarna Shenkora, North Shewa (K3),Amhara, Ethiopia
1,1982,2.073112906,1,Minjarna Shenkora, North Shewa (K3),Amhara, Ethiopia
2,2015,1.63798172,10,Mojana Wadera, North Shewa (K3),Amhara, Ethiopia
2,1984,1.969974492,9,Mojana Wadera, North Shewa (K3),Amhara, Ethiopia
2,2002,2.073399036,8,Mojana Wadera, North Shewa (K3),Amhara, Ethiopia
2,1991,2.080127016,7,Mojana Wadera, North Shewa (K3),Amhara, Ethiopia
2,2014,2.114767144,6,Mojana Wadera, North Shewa (K3),Amhara, Ethiopia
2,1992,2.129232361,5,Mojana Wadera, North Shewa (K3),Amhara, Ethiopia
2,2009,2.18402186,4,Mojana Wadera, North Shewa (K3),Amhara, Ethiopia
2,2011,2.190691041,3,Mojana Wadera, North Shewa (K3),Amhara, Ethiopia
2,1987,2.360619103,2,Mojana Wadera, North Shewa (K3),Amhara, Ethiopia
2,2012,2.383654566,1,Mojana Wadera, North Shewa (K3),Amhara, Ethiopia
3,2015,1.845500726,10,Moretna Jiru, North Shewa (K3),Amhara, Ethiopia
3,2014,2.156714576,9,Moretna Jiru, North Shewa (K3),Amhara, Ethiopia
3,1992,2.252728392,8,Moretna Jiru, North Shewa (K3),Amhara, Ethiopia
3,2002,2.262505781,7,Moretna Jiru, North Shewa (K3),Amhara, Ethiopia
3,1987,2.4002897,6,Moretna Jiru, North Shewa (K3),Amhara, Ethiopia
3,1989,2.433343084,5,Moretna Jiru, North Shewa (K3),Amhara, Ethiopia
3,1991,2.483053084,4,Moretna Jiru, North Shewa (K3),Amhara, Ethiopia
3,1994,2.488971644,3,Moretna Jiru, North Shewa (K3),Amhara, Ethiopia
3,1984,2.516075371,2,Moretna Jiru, North Shewa (K3),Amhara, Ethiopia
3,1995,2.522069924,1,Moretna Jiru, North Shewa (K3),Amhara, Ethiopia
4,2015,1.89650903,10,Siya Debirna Wayu & Ensaro, North Shewa (K3),Amhara, Ethiopia
4,2014,2.106775544,9,Siya Debirna Wayu & Ensaro, North Shewa (K3),Amhara, Ethiopia
4,2002,2.257640936,8,Siya Debirna Wayu & Ensaro, North Shewa (K3),Amhara, Ethiopia
4,1992,2.403735122,7,Siya Debirna Wayu & Ensaro, North Shewa (K3),Amhara, Ethiopia
4,1995,2.444182319,6,Siya Debirna Wayu & Ensaro, North Shewa (K3),Amhara, Ethiopia
4,1994,2.464488557,5,Siya Debirna Wayu & Ensaro, North Shewa (K3),Amhara, Ethiopia
4,1997,2.479373916,4,Siya Debirna Wayu & Ensaro, North Shewa (K3),Amhara, Ethiopia
4,1982,2.514166899,3,Siya Debirna Wayu & Ensaro, North Shewa (K3),Amhara, Ethiopia
4,1989,2.522091766,2,Siya Debirna Wayu & Ensaro, North Shewa (K3),Amhara, Ethiopia
4,1991,2.563429838,1,Siya Debirna Wayu & Ensaro, North Shewa (K3),Amhara, Ethiopia
5,2015,1.925955324,10,Tarmaber, North Shewa (K3),Amhara, Ethiopia
5,2014,2.275313344,9,Tarmaber, North Shewa (K3),Amhara, Ethiopia
5,1992,2.377957732,8,Tarmaber, North Shewa (K3),Amhara, Ethiopia
5,1984,2.440465892,7,Tarmaber, North Shewa (K3),Amhara, Ethiopia
5,1987,2.523440903,6,Tarmaber, North Shewa (K3),Amhara, Ethiopia
5,1993,2.551101701,5,Tarmaber, North Shewa (K3),Amhara, Ethiopia
5,1991,2.567932066,4,Tarmaber, North Shewa (K3),Amhara, Ethiopia
5,2002,2.574898096,3,Tarmaber, North Shewa (K3),Amhara, Ethiopia
5,2009,2.612590355,2,Tarmaber, North Shewa (K3),Amhara, Ethiopia
5,1989,2.623216848,1,Tarmaber, North Shewa (K3),Amhara, Ethiopia
6,2015,1.668396991,10,Weremo Wajetuna Mida, North Shewa (K3),Amhara, Ethiopia
6,1984,1.900737365,9,Weremo Wajetuna Mida, North Shewa (K3),Amhara, Ethiopia
6,2002,1.997337928,8,Weremo Wajetuna Mida, North Shewa (K3),Amhara, Ethiopia
6,1992,2.054754431,7,Weremo Wajetuna Mida, North Shewa (K3),Amhara, Ethiopia
6,2014,2.121388435,6,Weremo Wajetuna Mida, North Shewa (K3),Amhara, Ethiopia
6,1994,2.134001748,5,Weremo Wajetuna Mida, North Shewa (K3),Amhara, Ethiopia
6,1987,2.167341474,4,Weremo Wajetuna Mida, North Shewa (K3),Amhara, Ethiopia
6,1991,2.217250838,3,Weremo Wajetuna Mida, North Shewa (K3),Amhara, Ethiopia
6,1989,2.220362879,2,Weremo Wajetuna Mida, North Shewa (K3),Amhara, Ethiopia
6,2003,2.254639851,1,Weremo Wajetuna Mida, North Shewa (K3),Amhara, Ethiopia
7,1984,1.402827758,10,Bugna, North Wollo,Amhara, Ethiopia
7,2015,1.689179699,9,Bugna, North Wollo,Amhara, Ethiopia
7,2009,1.70904435,8,Bugna, North Wollo,Amhara, Ethiopia
7,1987,1.765270121,7,Bugna, North Wollo,Amhara, Ethiopia
7,1983,1.869581326,6,Bugna, North Wollo,Amhara, Ethiopia
7,1985,1.898235799,5,Bugna, North Wollo,Amhara, Ethiopia
7,1982,1.968787237,4,Bugna, North Wollo,Amhara, Ethiopia
7,1990,1.986948381,3,Bugna, North Wollo,Amhara, Ethiopia
7,2004,2.079296005,2,Bugna, North Wollo,Amhara, Ethiopia
7,1981,2.167212075,1,Bugna, North Wollo,Amhara, Ethiopia
8,2009,2.900614234,10,Fogera, South Gonder,Amhara, Ethiopia
8,1984,2.930238234,9,Fogera, South Gonder,Amhara, Ethiopia
8,2004,3.027504785,8,Fogera, South Gonder,Amhara, Ethiopia
8,1990,3.03912238,7,Fogera, South Gonder,Amhara, Ethiopia
8,1987,3.062292693,6,Fogera, South Gonder,Amhara, Ethiopia
8,1982,3.124344501,5,Fogera, South Gonder,Amhara, Ethiopia
8,2002,3.190323851,4,Fogera, South Gonder,Amhara, Ethiopia
8,1995,3.211261739,3,Fogera, South Gonder,Amhara, Ethiopia
8,2015,3.283533845,2,Fogera, South Gonder,Amhara, Ethiopia
8,1985,3.287706864,1,Fogera, South Gonder,Amhara, Ethiopia
9,1987,2.189860938,10,Kemekem, South Gonder,Amhara, Ethiopia
9,1984,2.201984155,9,Kemekem, South Gonder,Amhara, Ethiopia
