state,district,year,score,rank
Kwara,Moro,2002,12,1
Kwara,Moro,2015,11,2
Kwara,Moro,2004,9,3
Kwara,Moro,2023,8,4
Kwara,Moro,2021,8,5
Kwara,Moro,2019,8,6
Kwara,Moro,1998,8,7
Kwara,Moro,2006,7,8
Niger,Lapai,2022,24,1
Niger,Lapai,2023,23,2
Niger,Lapai,2021,22,3
Niger,Lapai,2015,19,4
Niger,Lapai,2010,19,5
Niger,Lapai,2007,19,6
Niger,Lapai,1997,17,7
Niger,Lapai,2014,14,8
Niger,Minna,2020,59,1
Niger,Minna,2015,55,2
Niger,Minna,2021,41,3
Niger,Minna,2022,39,4
Niger,Minna,2017,37,5
Niger,Minna,2023,36,6
Niger,Minna,2019,31,7
Niger,Minna,2014,24,8
Niger,Mokwa,2003,21,1
Niger,Mokwa,2015,18,2
Niger,Mokwa,1993,17,3
Niger,Mokwa,2022,14,4
Niger,Mokwa,2011,13,5
Niger,Mokwa,2021,11,6
Niger,Mokwa,2002,11,7
Niger,Mokwa,2008,9,8
