"","state","district","village","index","rank","year"
"1","Kwara","Moro","Olooru",1,"1","2023"
"2","Kwara","Moro","Olooru",1,"2","2004"
"3","Kwara","Moro","Olooru",1,"3","2010"
"4","Kwara","Moro","Olooru",1,"4","2015"
"5","Kwara","Moro","Olooru",1,"5","2005"
"6","Kwara","Moro","Olooru",1,"6","2016"
"7","Kwara","Moro","Olooru",1,"7",NA
"8","Kwara","Moro","Olooru",1,"8",NA
"9","Niger","Lapai","Etsugai",2,"1","2015"
"10","Niger","Lapai","Etsugai",2,"2","2010"
"11","Niger","Lapai","Etsugai",2,"3","2019"
"12","Niger","Lapai","Etsugai",2,"4","2007"
"13","Niger","Lapai","Etsugai",2,"5","2004"
"14","Niger","Lapai","Etsugai",2,"6","2022"
"15","Niger","Lapai","Etsugai",2,"7","1999"
"16","Niger","Lapai","Etsugai",2,"8",NA
"17","Niger","Minna","Pyatta A",3,"1","2021"
"18","Niger","Minna","Pyatta A",3,"2","2015"
"19","Niger","Minna","Pyatta A",3,"3","2007"
"20","Niger","Minna","Pyatta A",3,"4","2023"
"21","Niger","Minna","Pyatta A",3,"5","2020"
"22","Niger","Minna","Pyatta A",3,"6","2016"
"23","Niger","Minna","Pyatta A",3,"7","1999"
"24","Niger","Minna","Pyatta A",3,"8","1990"
"25","Niger","Minna","Shatta A",4,"1","2020"
"26","Niger","Minna","Shatta A",4,"2","2022"
"27","Niger","Minna","Shatta A",4,"3","2023"
"28","Niger","Minna","Shatta A",4,"4","2016"
"29","Niger","Minna","Shatta A",4,"5","2011"
"30","Niger","Minna","Shatta A",4,"6",NA
"31","Niger","Minna","Shatta A",4,"7",NA
"32","Niger","Minna","Shatta A",4,"8",NA
"33","Niger","Lapai","Kutiriko",5,"1","2012"
"34","Niger","Lapai","Kutiriko",5,"2","2022"
"35","Niger","Lapai","Kutiriko",5,"3","2016"
"36","Niger","Lapai","Kutiriko",5,"4","2007"
"37","Niger","Lapai","Kutiriko",5,"5","2019"
"38","Niger","Lapai","Kutiriko",5,"6","1997"
"39","Niger","Lapai","Kutiriko",5,"7","2000"
"40","Niger","Lapai","Kutiriko",5,"8","1992"
"41","Niger","Mokwa","Dassun A",6,"1","1995"
"42","Niger","Mokwa","Dassun A",6,"2","2001"
"43","Niger","Mokwa","Dassun A",6,"3","2022"
"44","Niger","Mokwa","Dassun A",6,"4","2003"
"45","Niger","Mokwa","Dassun A",6,"5","1992"
"46","Niger","Mokwa","Dassun A",6,"6","2011"
"47","Niger","Mokwa","Dassun A",6,"7","2018"
"48","Niger","Mokwa","Dassun A",6,"8","2016"
"49","Niger","Mokwa","Dassun B",7,"1","2022"
"50","Niger","Mokwa","Dassun B",7,"2","2015"
"51","Niger","Mokwa","Dassun B",7,"3","2009"
"52","Niger","Mokwa","Dassun B",7,"4","2005"
"53","Niger","Mokwa","Dassun B",7,"5","1990"
"54","Niger","Mokwa","Dassun B",7,"6","1993"
"55","Niger","Mokwa","Dassun B",7,"7","2014"
"56","Niger","Mokwa","Dassun B",7,"8","2016"
"57","Niger","Minna","Tunga Mallam",8,"1","2014"
"58","Niger","Minna","Tunga Mallam",8,"2","2020"
"59","Niger","Minna","Tunga Mallam",8,"3","2023"
"60","Niger","Minna","Tunga Mallam",8,"4","2015"
"61","Niger","Minna","Tunga Mallam",8,"5","2007"
"62","Niger","Minna","Tunga Mallam",8,"6","2018"
"63","Niger","Minna","Tunga Mallam",8,"7",NA
"64","Niger","Minna","Tunga Mallam",8,"8",NA
"65","Niger","Minna","Anninigi",9,"1","2020"
"66","Niger","Minna","Anninigi",9,"2","2022"
"67","Niger","Minna","Anninigi",9,"3","2013"
"68","Niger","Minna","Anninigi",9,"4","2017"
"69","Niger","Minna","Anninigi",9,"5","2019"
"70","Niger","Minna","Anninigi",9,"6","2000"
"71","Niger","Minna","Anninigi",9,"7","2005"
"72","Niger","Minna","Anninigi",9,"8",NA
"73","Niger","Minna","Tutungo",10,"1","2014"
"74","Niger","Minna","Tutungo",10,"2","2015"
"75","Niger","Minna","Tutungo",10,"3","2018"
"76","Niger","Minna","Tutungo",10,"4","2020"
"77","Niger","Minna","Tutungo",10,"5","2022"
"78","Niger","Minna","Tutungo",10,"6","2003"
"79","Niger","Minna","Tutungo",10,"7",NA
"80","Niger","Minna","Tutungo",10,"8",NA
"81","Niger","Mokwa","Gazhe One",11,"1","2003"
"82","Niger","Mokwa","Gazhe One",11,"2","2011"
"83","Niger","Mokwa","Gazhe One",11,"3","2012"
"84","Niger","Mokwa","Gazhe One",11,"4","2015"
"85","Niger","Mokwa","Gazhe One",11,"5","2021"
"86","Niger","Mokwa","Gazhe One",11,"6","1994"
"87","Niger","Mokwa","Gazhe One",11,"7","1999"
"88","Niger","Mokwa","Gazhe One",11,"8","2004"
"89","Niger","Mokwa","Gazhe Two",12,"1","2008"
"90","Niger","Mokwa","Gazhe Two",12,"2","2002"
"91","Niger","Mokwa","Gazhe Two",12,"3","1993"
"92","Niger","Mokwa","Gazhe Two",12,"4","1998"
"93","Niger","Mokwa","Gazhe Two",12,"5","2003"
"94","Niger","Mokwa","Gazhe Two",12,"6","2014"
"95","Niger","Mokwa","Gazhe Two",12,"7","2023"
"96","Niger","Mokwa","Gazhe Two",12,"8","2007"
"97","Kwara","Moro","Babadudu",13,"1","1998"
"98","Kwara","Moro","Babadudu",13,"2","2002"
"99","Kwara","Moro","Babadudu",13,"3","2022"
"100","Kwara","Moro","Babadudu",13,"4","2018"
"101","Kwara","Moro","Babadudu",13,"5","2021"
"102","Kwara","Moro","Babadudu",13,"6","2011"
"103","Kwara","Moro","Babadudu",13,"7","2004"
"104","Kwara","Moro","Babadudu",13,"8",NA
"105","Niger","Minna","Maikunkele B",14,"1","2014"
"106","Niger","Minna","Maikunkele B",14,"2","1993"
"107","Niger","Minna","Maikunkele B",14,"3","2017"
"108","Niger","Minna","Maikunkele B",14,"4","2005"
"109","Niger","Minna","Maikunkele B",14,"5","2020"
"110","Niger","Minna","Maikunkele B",14,"6","2023"
"111","Niger","Minna","Maikunkele B",14,"7",NA
"112","Niger","Minna","Maikunkele B",14,"8",NA
"113","Niger","Lapai","Magaji",15,"1","2023"
"114","Niger","Lapai","Magaji",15,"2","2022"
"115","Niger","Lapai","Magaji",15,"3","2021"
"116","Niger","Lapai","Magaji",15,"4","2007"
"117","Niger","Lapai","Magaji",15,"5","2015"
"118","Niger","Lapai","Magaji",15,"6","2018"
"119","Niger","Lapai","Magaji",15,"7","2002"
"120","Niger","Lapai","Magaji",15,"8",NA
"121","Niger","Minna","Gwam A",16,"1","1993"
"122","Niger","Minna","Gwam A",16,"2","2021"
"123","Niger","Minna","Gwam A",16,"3","2015"
"124","Niger","Minna","Gwam A",16,"4","2017"
"125","Niger","Minna","Gwam A",16,"5","2013"
"126","Niger","Minna","Gwam A",16,"6","2019"
"127","Niger","Minna","Gwam A",16,"7","2022"
"128","Niger","Minna","Gwam A",16,"8",NA
"129","Niger","Minna","Gwam C",17,"1","2008"
"130","Niger","Minna","Gwam C",17,"2","2012"
"131","Niger","Minna","Gwam C",17,"3","2019"
"132","Niger","Minna","Gwam C",17,"4","2020"
"133","Niger","Minna","Gwam C",17,"5","2021"
"134","Niger","Minna","Gwam C",17,"6","2022"
"135","Niger","Minna","Gwam C",17,"7","2023"
"136","Niger","Minna","Gwam C",17,"8",NA
"137","Niger","Lapai","Brining maza B",18,"1","2017"
"138","Niger","Lapai","Brining maza B",18,"2","2011"
"139","Niger","Lapai","Brining maza B",18,"3","2014"
"140","Niger","Lapai","Brining maza B",18,"4","2021"
"141","Niger","Lapai","Brining maza B",18,"5","1999"
"142","Niger","Lapai","Brining maza B",18,"6","2019"
"143","Niger","Lapai","Brining maza B",18,"7","1995"
"144","Niger","Lapai","Brining maza B",18,"8","1997"
"145","Niger","Mokwa","Labozhi",19,"1","1993"
"146","Niger","Mokwa","Labozhi",19,"2","2021"
"147","Niger","Mokwa","Labozhi",19,"3","2015"
"148","Niger","Mokwa","Labozhi",19,"4","1997"
"149","Niger","Mokwa","Labozhi",19,"5","2002"
"150","Niger","Mokwa","Labozhi",19,"6","2011"
"151","Niger","Mokwa","Labozhi",19,"7","2000"
"152","Niger","Mokwa","Labozhi",19,"8","2008"
"153","Kwara","Moro","Elemere",20,"1","2019"
"154","Kwara","Moro","Elemere",20,"2","2006"
"155","Kwara","Moro","Elemere",20,"3","2015"
"156","Kwara","Moro","Elemere",20,"4","2002"
"157","Kwara","Moro","Elemere",20,"5","2021"
"158","Kwara","Moro","Elemere",20,"6",NA
"159","Kwara","Moro","Elemere",20,"7",NA
"160","Kwara","Moro","Elemere",20,"8",NA
"161","Niger","Minna","Shatta B",21,"1","2021"
"162","Niger","Minna","Shatta B",21,"2","1997"
"163","Niger","Minna","Shatta B",21,"3","2020"
"164","Niger","Minna","Shatta B",21,"4","2019"
"165","Niger","Minna","Shatta B",21,"5","2000"
"166","Niger","Minna","Shatta B",21,"6","2003"
"167","Niger","Minna","Shatta B",21,"7","2022"
"168","Niger","Minna","Shatta B",21,"8","2023"
"169","Niger","Lapai","Kudna A",22,"1","2021"
"170","Niger","Lapai","Kudna A",22,"2","2022"
"171","Niger","Lapai","Kudna A",22,"3","2010"
"172","Niger","Lapai","Kudna A",22,"4","1997"
"173","Niger","Lapai","Kudna A",22,"5","2007"
"174","Niger","Lapai","Kudna A",22,"6","2012"
"175","Niger","Lapai","Kudna A",22,"7","2016"
"176","Niger","Lapai","Kudna A",22,"8","2002"
"177","Niger","Lapai","Lambata",23,"1","2014"
"178","Niger","Lapai","Lambata",23,"2","2023"
"179","Niger","Lapai","Lambata",23,"3","2005"
"180","Niger","Lapai","Lambata",23,"4","2001"
"181","Niger","Lapai","Lambata",23,"5","2018"
"182","Niger","Lapai","Lambata",23,"6","1993"
"183","Niger","Lapai","Lambata",23,"7","2015"
"184","Niger","Lapai","Lambata",23,"8","2013"
"185","Niger","Minna","Jangaru",24,"1","2021"
"186","Niger","Minna","Jangaru",24,"2","2009"
"187","Niger","Minna","Jangaru",24,"3","2023"
"188","Niger","Minna","Jangaru",24,"4","2018"
"189","Niger","Minna","Jangaru",24,"5","2015"
"190","Niger","Minna","Jangaru",24,"6","2017"
"191","Niger","Minna","Jangaru",24,"7",NA
"192","Niger","Minna","Jangaru",24,"8",NA
"193","Niger","Minna","Kodo C",25,"1","2019"
"194","Niger","Minna","Kodo C",25,"2","2023"
"195","Niger","Minna","Kodo C",25,"3","2015"
"196","Niger","Minna","Kodo C",25,"4","2017"
"197","Niger","Minna","Kodo C",25,"5","2007"
"198","Niger","Minna","Kodo C",25,"6",NA
"199","Niger","Minna","Kodo C",25,"7",NA
"200","Niger","Minna","Kodo C",25,"8",NA
"201","Niger","Minna","Kodo B",26,"1","1992"
"202","Niger","Minna","Kodo B",26,"2","2015"
"203","Niger","Minna","Kodo B",26,"3","2022"
"204","Niger","Minna","Kodo B",26,"4","2020"
"205","Niger","Minna","Kodo B",26,"5","2012"
"206","Niger","Minna","Kodo B",26,"6","2003"
"207","Niger","Minna","Kodo B",26,"7",NA
"208","Niger","Minna","Kodo B",26,"8",NA
"209","Niger","Mokwa","Kpaki",27,"1","1991"
"210","Niger","Mokwa","Kpaki",27,"2","2013"
"211","Niger","Mokwa","Kpaki",27,"3","1999"
"212","Niger","Mokwa","Kpaki",27,"4","2020"
"213","Niger","Mokwa","Kpaki",27,"5","2003"
"214","Niger","Mokwa","Kpaki",27,"6","2016"
"215","Niger","Mokwa","Kpaki",27,"7","2001"
"216","Niger","Mokwa","Kpaki",27,"8","2010"
"217","Niger","Lapai","Gawu B",28,"1","1997"
"218","Niger","Lapai","Gawu B",28,"2","2002"
"219","Niger","Lapai","Gawu B",28,"3","2023"
"220","Niger","Lapai","Gawu B",28,"4","2010"
"221","Niger","Lapai","Gawu B",28,"5","1992"
"222","Niger","Lapai","Gawu B",28,"6","2006"
"223","Niger","Lapai","Gawu B",28,"7","2018"
"224","Niger","Lapai","Gawu B",28,"8","2004"
"225","Niger","Lapai","Gawu A",29,"1","1999"
"226","Niger","Lapai","Gawu A",29,"2","2003"
"227","Niger","Lapai","Gawu A",29,"3","2005"
"228","Niger","Lapai","Gawu A",29,"4","2015"
"229","Niger","Lapai","Gawu A",29,"5","2017"
"230","Niger","Lapai","Gawu A",29,"6","2021"
"231","Niger","Lapai","Gawu A",29,"7","2023"
"232","Niger","Lapai","Gawu A",29,"8","2010"
"233","Niger","Minna","Nuwankota",30,"1","2017"
"234","Niger","Minna","Nuwankota",30,"2","2015"
"235","Niger","Minna","Nuwankota",30,"3","2021"
"236","Niger","Minna","Nuwankota",30,"4","2019"
"237","Niger","Minna","Nuwankota",30,"5","2006"
"238","Niger","Minna","Nuwankota",30,"6","2013"
"239","Niger","Minna","Nuwankota",30,"7",NA
"240","Niger","Minna","Nuwankota",30,"8",NA
"241","Niger","Minna","Jedna",31,"1","2022"
"242","Niger","Minna","Jedna",31,"2","2020"
"243","Niger","Minna","Jedna",31,"3","2015"
"244","Niger","Minna","Jedna",31,"4","2017"
"245","Niger","Minna","Jedna",31,"5","2016"
"246","Niger","Minna","Jedna",31,"6",NA
"247","Niger","Minna","Jedna",31,"7",NA
"248","Niger","Minna","Jedna",31,"8",NA
