"","year","cluster","scenario","rank"
"1",1980,1,2,8
"2",1982,1,2,5
"3",1983,1,2,9
"4",1984,1,2,10
"5",1993,1,2,6
"6",1996,1,2,11
"7",2003,1,2,1
"8",2004,1,2,3
"9",2007,1,2,12
"10",2008,1,2,2
"11",2017,1,2,7
"12",2019,1,2,4
"13",1984,10,2,9
"14",1992,10,2,8
"15",1996,10,2,1
"16",2000,10,2,5
"17",2004,10,2,4
"18",2005,10,2,2
"19",2007,10,2,7
"20",2008,10,2,3
"21",2017,10,2,10
"22",2019,10,2,6
"23",1980,11,2,6
"24",1983,11,2,3
"25",1984,11,2,7
"26",1993,11,2,1
"27",1996,11,2,4
"28",2000,11,2,2
"29",2007,11,2,5
"30",2019,11,2,8
"31",1980,12,2,5
"32",1983,12,2,4
"33",1984,12,2,10
"34",1992,12,2,3
"35",1993,12,2,1
"36",1996,12,2,7
"37",2000,12,2,8
"38",2007,12,2,6
"39",2012,12,2,2
"40",2019,12,2,9
"41",1980,13,2,8
"42",1983,13,2,13
"43",1984,13,2,12
"44",1991,13,2,1
"45",1992,13,2,6
"46",1993,13,2,11
"47",1996,13,2,9
"48",1998,13,2,3
"49",2000,13,2,10
"50",2007,13,2,5
"51",2008,13,2,4
"52",2014,13,2,7
"53",2017,13,2,2
"54",1980,14,2,2
"55",1983,14,2,13
"56",1984,14,2,12
"57",1993,14,2,11
"58",1996,14,2,8
"59",1997,14,2,1
"60",1998,14,2,7
"61",2000,14,2,9
"62",2007,14,2,10
"63",2008,14,2,3
"64",2014,14,2,6
"65",2017,14,2,5
"66",2019,14,2,4
"67",1980,15,2,11
"68",1982,15,2,13
"69",1983,15,2,9
"70",1984,15,2,14
"71",1993,15,2,10
"72",1996,15,2,15
"73",2000,15,2,5
"74",2004,15,2,7
"75",2005,15,2,1
"76",2007,15,2,12
"77",2008,15,2,3
"78",2014,15,2,2
"79",2017,15,2,4
"80",2019,15,2,6
"81",2021,15,2,8
"82",1980,16,2,7
"83",1982,16,2,11
"84",1983,16,2,12
"85",1984,16,2,8
"86",1993,16,2,1
"87",1996,16,2,9
"88",2000,16,2,5
"89",2007,16,2,10
"90",2008,16,2,2
"91",2014,16,2,4
"92",2017,16,2,3
"93",2021,16,2,6
"94",1984,17,2,10
"95",1987,17,2,7
"96",1989,17,2,3
"97",1992,17,2,11
"98",2000,17,2,8
"99",2003,17,2,6
"100",2004,17,2,5
"101",2005,17,2,1
"102",2007,17,2,9
"103",2008,17,2,4
"104",2017,17,2,12
"105",2019,17,2,2
"106",1980,18,2,3
"107",1982,18,2,8
"108",1983,18,2,11
