Year,value,Village
1983,156.36291673529422,AbaBikila
1984,142.282591,AbaBikila
1985,191.726888,AbaBikila
1986,206.6354765130721,AbaBikila
1987,60.9230996666667,AbaBikila
1988,439.488631083333,AbaBikila
1989,163.47218900000001,AbaBikila
1990,227.203571,AbaBikila
1991,264.6087321,AbaBikila
1992,195.326448,AbaBikila
1993,312.88250700000003,AbaBikila
1994,224.38540580555562,AbaBikila
1995,174.597769124183,AbaBikila
1996,314.242444,AbaBikila
1997,342.29078599999997,AbaBikila
1998,302.97264,AbaBikila
1999,425.12051299999996,AbaBikila
2000,135.945658,AbaBikila
2001,220.323003,AbaBikila
2002,162.154766,AbaBikila
2003,185.539675,AbaBikila
2004,101.522516,AbaBikila
2005,199.995499,AbaBikila
2006,364.495573,AbaBikila
2007,184.007226,AbaBikila
2008,231.056221,AbaBikila
2009,372.022113,AbaBikila
2010,280.945332,AbaBikila
2011,152.205712,AbaBikila
2012,327.912071,AbaBikila
2013,284.594934,AbaBikila
2014,189.24388399999998,AbaBikila
2015,127.050407,AbaBikila
2016,326.918108,AbaBikila
2017,326.56046100000003,AbaBikila
2018,206.820064,AbaBikila
2019,123.09233699999999,AbaBikila
1983,286.80945116094756,Abara
1984,130.721133,Abara
1985,343.848406,Abara
1986,303.1293320915032,Abara
1987,71.69661863492067,Abara
1988,398.142920722222,Abara
1989,229.719431888889,Abara
1990,234.90886899999998,Abara
1991,163.7558505,Abara
1992,209.668213,Abara
1993,339.124031,Abara
1994,284.06465888888897,Abara
1995,264.8659996153128,Abara
1996,432.069921,Abara
1997,263.62694,Abara
1998,361.99400799999995,Abara
1999,457.883055,Abara
2000,226.96234299999998,Abara
2001,253.768999,Abara
2002,177.745973,Abara
2003,197.897181,Abara
2004,194.391411,Abara
2005,183.87738,Abara
2006,373.198224,Abara
2007,346.86177100000003,Abara
2008,303.838978,Abara
2009,345.767933,Abara
2010,476.019393,Abara
2011,157.676588,Abara
2012,385.765724,Abara
2013,471.437763,Abara
2014,323.181109,Abara
2015,116.680409,Abara
2016,370.1268,Abara
2017,400.8397249,Abara
2018,348.77420000000006,Abara
2019,264.210171,Abara
1983,288.1220133578431,Abarwuha
1984,178.56685099999999,Abarwuha
1985,288.53806199999997,Abarwuha
1986,293.5267943022875,Abarwuha
1987,102.30665588134923,Abarwuha
1988,511.0350755,Abarwuha
1989,185.8319224166667,Abarwuha
1990,250.1743615,Abarwuha
1991,333.1914709,Abarwuha
1992,159.747112,Abarwuha
1993,234.04617199999998,Abarwuha
1994,523.7182181944446,Abarwuha
1995,277.1516695419701,Abarwuha
1996,457.23961800000006,Abarwuha
1997,206.02317,Abarwuha
1998,468.928617,Abarwuha
1999,395.752344,Abarwuha
2000,207.08638510000003,Abarwuha
2001,261.3697064,Abarwuha
2002,210.654133,Abarwuha
2003,317.019932,Abarwuha
2004,171.596705,Abarwuha
2005,199.004919,Abarwuha
2006,391.67233999999996,Abarwuha
2007,358.070995,Abarwuha
2008,287.850911,Abarwuha
2009,261.202295,Abarwuha
2010,455.642415,Abarwuha
2011,174.68371499999998,Abarwuha
2012,359.63726399999996,Abarwuha
2013,519.395248,Abarwuha
2014,308.69336899999996,Abarwuha
2015,231.900262,Abarwuha
2016,400.833351,Abarwuha
2017,553.292949,Abarwuha
2018,311.21657400000004,Abarwuha
2019,236.77690600000003,Abarwuha
1983,297.57424904411766,Abaselima
1984,190.235544,Abaselima
1985,382.38194999999996,Abaselima
1986,304.4288299191177,Abaselima
1987,143.07647239365082,Abaselima
1988,390.815812211111,Abaselima
1989,261.303750825,Abaselima
1990,272.00276577777777,Abaselima
1991,219.506087,Abaselima
1992,212.60567550000002,Abaselima
1993,414.862505,Abaselima
1994,504.72739238888903,Abaselima
1995,323.9695186322129,Abaselima
1996,432.639315,Abaselima
1997,222.653631,Abaselima
1998,346.81992399999996,Abaselima
1999,462.7539459999999,Abaselima
2000,211.22535,Abaselima
2001,217.47905500000002,Abaselima
2002,162.346695,Abaselima
2003,233.495079,Abaselima
2004,201.010048,Abaselima
2005,182.81535800000003,Abaselima
2006,481.688508,Abaselima
2007,337.5288876,Abaselima
2008,337.4994526,Abaselima
