Year,value,Village
1981,366.45347000000004,AbaBikila
1982,228.4937,AbaBikila
1983,199.38593,AbaBikila
1984,233.30697999999998,AbaBikila
1985,271.59250000000003,AbaBikila
1986,347.92197,AbaBikila
1987,171.11038,AbaBikila
1988,601.216,AbaBikila
1989,327.72136,AbaBikila
1990,316.12933000000004,AbaBikila
1991,362.31224,AbaBikila
1992,201.79699,AbaBikila
1993,288.22363,AbaBikila
1994,308.62558,AbaBikila
1995,343.31301,AbaBikila
1996,337.72794999999996,AbaBikila
1997,288.125,AbaBikila
1998,515.30116,AbaBikila
1999,418.5147999999999,AbaBikila
2000,457.4435,AbaBikila
2001,516.98994,AbaBikila
2002,307.51543,AbaBikila
2003,317.32939999999996,AbaBikila
2004,319.97523,AbaBikila
2005,416.2848,AbaBikila
2006,280.85532,AbaBikila
2007,413.2593,AbaBikila
2008,348.88169000000005,AbaBikila
2009,346.93938,AbaBikila
2010,466.51500999999996,AbaBikila
2011,399.20164,AbaBikila
2012,498.5756,AbaBikila
2013,400.83553,AbaBikila
2014,253.36583,AbaBikila
2015,263.34233,AbaBikila
2016,359.34808,AbaBikila
2017,375.7726,AbaBikila
2018,318.39714000000004,AbaBikila
2019,239.82114,AbaBikila
2020,344.305663333333,AbaBikila
1981,419.64544,Abara
1982,273.202917631579,Abara
1983,274.16643999999997,Abara
1984,268.51437,Abara
1985,313.74577,Abara
1986,318.82971,Abara
1987,228.70185999999998,Abara
1988,575.92471,Abara
1989,347.48824,Abara
1990,364.69856999999996,Abara
1991,408.90578999999997,Abara
1992,220.81774000000001,Abara
1993,293.32807,Abara
1994,325.81952,Abara
1995,388.26309000000003,Abara
1996,353.9723,Abara
1997,313.62338,Abara
1998,558.22837,Abara
1999,462.29283999999996,Abara
2000,521.9685,Abara
2001,523.64126,Abara
2002,354.10499,Abara
2003,382.91805,Abara
2004,338.92048,Abara
2005,389.60264,Abara
2006,351.51098,Abara
2007,466.65621999999996,Abara
2008,384.72775,Abara
2009,357.15876,Abara
2010,535.7642500000001,Abara
2011,416.43517999999995,Abara
2012,564.31135,Abara
2013,417.13932,Abara
2014,332.15061000000003,Abara
2015,278.43688,Abara
2016,421.10226,Abara
2017,399.84907,Abara
2018,353.24931000000004,Abara
2019,298.21294,Abara
2020,379.43666481106607,Abara
1981,569.0598,Abarwuha
1982,386.404347894737,Abarwuha
1983,331.80587,Abarwuha
1984,367.31786,Abarwuha
1985,385.6110699999999,Abarwuha
1986,493.37997,Abarwuha
1987,337.48727,Abarwuha
1988,799.1064,Abarwuha
1989,476.64064,Abarwuha
1990,494.09975000000003,Abarwuha
1991,558.3965999999999,Abarwuha
1992,329.9407,Abarwuha
1993,370.06096,Abarwuha
1994,456.24036,Abarwuha
1995,467.87784999999997,Abarwuha
1996,485.98672,Abarwuha
1997,369.81712000000005,Abarwuha
1998,735.0732,Abarwuha
1999,579.65698,Abarwuha
2000,697.7570000000001,Abarwuha
2001,684.5965000000001,Abarwuha
2002,451.06697999999994,Abarwuha
2003,519.3702999999999,Abarwuha
2004,447.86885,Abarwuha
2005,512.76196,Abarwuha
2006,453.92186,Abarwuha
2007,595.2084000000001,Abarwuha
2008,504.10699999999997,Abarwuha
2009,486.70119000000005,Abarwuha
2010,677.96535,Abarwuha
2011,557.8978999999999,Abarwuha
2012,721.0308,Abarwuha
2013,561.69199,Abarwuha
2014,433.31717000000003,Abarwuha
2015,423.79493,Abarwuha
2016,571.49918,Abarwuha
2017,535.0059,Abarwuha
2018,459.73681999999997,Abarwuha
2019,400.17819,Abarwuha
2020,504.85748045883895,Abarwuha
1981,419.64544,Abaselima
1982,273.202917631579,Abaselima
1983,274.16643999999997,Abaselima
1984,268.51437,Abaselima
1985,313.74577,Abaselima
1986,318.82971,Abaselima
1987,228.70185999999998,Abaselima
1988,575.92471,Abaselima
1989,347.48824,Abaselima
1990,364.69856999999996,Abaselima
1991,408.90578999999997,Abaselima
1992,220.81774000000001,Abaselima
1993,293.32807,Abaselima
1994,325.81952,Abaselima
1995,388.26309000000003,Abaselima
1996,353.9723,Abaselima
1997,313.62338,Abaselima
1998,558.22837,Abaselima
1999,462.29283999999996,Abaselima
2000,521.9685,Abaselima
2001,523.64126,Abaselima
2002,354.10499,Abaselima
2003,382.91805,Abaselima
2004,338.92048,Abaselima
2005,389.60264,Abaselima
2006,351.51098,Abaselima
2007,466.65621999999996,Abaselima
2008,384.72775,Abaselima
2009,357.15876,Abaselima
2010,535.7642500000001,Abaselima
2011,416.43517999999995,Abaselima
2012,564.31135,Abaselima
2013,417.13932,Abaselima
2014,332.15061000000003,Abaselima
2015,278.43688,Abaselima
2016,421.10226,Abaselima
2017,399.84907,Abaselima
2018,353.24931000000004,Abaselima
2019,298.21294,Abaselima
2020,379.43666481106607,Abaselima
1981,329.97416999999996,Abina
1982,209.700680789474,Abina
1983,192.33781,Abina
1984,204.08543,Abina
1985,261.18035,Abina
1986,300.16918,Abina
1987,162.83051,Abina
1988,545.4816000000001,Abina
1989,320.95765,Abina
1990,320.21446000000003,Abina
1991,324.9827,Abina
1992,189.90279999999998,Abina
1993,263.10805,Abina
1994,272.03115,Abina
1995,285.66733999999997,Abina
1996,310.23738000000003,Abina
1997,257.24769000000003,Abina
1998,472.68954999999994,Abina
1999,381.8249,Abina
2000,408.52389999999997,Abina
2001,447.21985,Abina
2002,266.44507,Abina
2003,280.14509,Abina
2004,285.34353,Abina
2005,349.0587,Abina
2006,237.87939,Abina
2007,382.895,Abina
2008,310.21196,Abina
2009,317.91483,Abina
2010,411.6382,Abina
2011,343.2703,Abina
2012,473.16590999999994,Abina
2013,362.63278,Abina
2014,242.58939,Abina
2015,213.83167999999998,Abina
2016,344.73897999999997,Abina
2017,335.0049,Abina
2018,279.17392,Abina
2019,223.03706,Abina
2020,310.7524061740894,Abina
1981,195.43151,AbrahaAtsbaha
1982,145.0519063157895,AbrahaAtsbaha
1983,113.18165,AbrahaAtsbaha
1984,113.21607999999998,AbrahaAtsbaha
1985,158.3852,AbrahaAtsbaha
1986,172.38373,AbrahaAtsbaha
1987,104.66592999999999,AbrahaAtsbaha
1988,295.46037,AbrahaAtsbaha
1989,126.90151999999999,AbrahaAtsbaha
1990,157.34396,AbrahaAtsbaha
1991,112.00214,AbrahaAtsbaha
1992,131.61925000000002,AbrahaAtsbaha
1993,130.67691000000002,AbrahaAtsbaha
1994,196.25916,AbrahaAtsbaha
1995,255.76933999999997,AbrahaAtsbaha
1996,136.74012,AbrahaAtsbaha
1997,153.28888999999998,AbrahaAtsbaha
1998,274.13374,AbrahaAtsbaha
1999,173.06226,AbrahaAtsbaha
2000,187.01486,AbrahaAtsbaha
2001,206.13867,AbrahaAtsbaha
2002,143.11169,AbrahaAtsbaha
2003,151.12102000000002,AbrahaAtsbaha
2004,137.22614,AbrahaAtsbaha
2005,187.42896,AbrahaAtsbaha
2006,133.49832999999998,AbrahaAtsbaha
2007,314.47811,AbrahaAtsbaha
2008,194.07091,AbrahaAtsbaha
2009,156.42296,AbrahaAtsbaha
2010,269.62946,AbrahaAtsbaha
2011,218.63407,AbrahaAtsbaha
2012,240.34255,AbrahaAtsbaha
2013,185.75674,AbrahaAtsbaha
2014,129.27302,AbrahaAtsbaha
2015,109.32448,AbrahaAtsbaha
2016,206.36912999999998,AbrahaAtsbaha
2017,125.32805,AbrahaAtsbaha
2018,202.68797,AbrahaAtsbaha
2019,123.7427,AbrahaAtsbaha
2020,173.51726887989207,AbrahaAtsbaha
1981,429.03389000000004,Abrekuy
1982,286.624973947368,Abrekuy
1983,257.24438,Abrekuy
1984,274.21963,Abrekuy
1985,330.88925,Abrekuy
1986,338.86796,Abrekuy
1987,229.07890999999998,Abrekuy
1988,578.5368100000001,Abrekuy
1989,370.037,Abrekuy
1990,365.04477,Abrekuy
1991,429.43901,Abrekuy
1992,224.56247,Abrekuy
1993,291.98548,Abrekuy
1994,331.00244,Abrekuy
1995,383.19556,Abrekuy
1996,371.28472,Abrekuy
1997,292.33113,Abrekuy
1998,587.3266199999999,Abrekuy
1999,456.58465,Abrekuy
2000,548.8152,Abrekuy
2001,527.87794,Abrekuy
2002,356.17085,Abrekuy
2003,390.08117000000004,Abrekuy
2004,365.86108,Abrekuy
2005,401.59408,Abrekuy
2006,351.54268,Abrekuy
2007,467.13430000000005,Abrekuy
2008,396.1296,Abrekuy
2009,373.61433999999997,Abrekuy
