year,value,village
1981,342.0,AbaBikila
1982,201.0,AbaBikila
1983,205.0,AbaBikila
1984,243.0,AbaBikila
1985,252.0,AbaBikila
1986,316.0,AbaBikila
1987,105.0,AbaBikila
1988,482.0,AbaBikila
1989,311.0,AbaBikila
1990,313.0,AbaBikila
1991,314.0,AbaBikila
1992,267.0,AbaBikila
1993,275.0,AbaBikila
1994,351.0,AbaBikila
1995,334.0,AbaBikila
1996,285.0,AbaBikila
1997,253.0,AbaBikila
1998,487.0,AbaBikila
1999,437.0,AbaBikila
2000,274.0,AbaBikila
2001,528.0,AbaBikila
2002,284.0,AbaBikila
2003,332.0,AbaBikila
2004,279.0,AbaBikila
2005,361.0,AbaBikila
2006,312.0,AbaBikila
2007,349.0,AbaBikila
2008,283.0,AbaBikila
2009,342.0,AbaBikila
2010,312.0,AbaBikila
2011,303.0,AbaBikila
2012,300.0,AbaBikila
2013,391.0,AbaBikila
2014,222.0,AbaBikila
2015,171.0,AbaBikila
2016,384.0,AbaBikila
2017,287.0,AbaBikila
2018,293.0,AbaBikila
2019,241.0,AbaBikila
2020,308.23076923076883,AbaBikila
1981,380.0,Abara
1982,214.0,Abara
1983,219.0,Abara
1984,253.0,Abara
1985,384.0,Abara
1986,322.0,Abara
1987,159.0,Abara
1988,467.0,Abara
1989,229.0,Abara
1990,318.0,Abara
1991,292.0,Abara
1992,238.0,Abara
1993,289.0,Abara
1994,339.0,Abara
1995,357.0,Abara
1996,317.0,Abara
1997,255.0,Abara
1998,315.0,Abara
1999,325.0,Abara
2000,344.0,Abara
2001,390.0,Abara
2002,311.0,Abara
2003,294.0,Abara
2004,267.0,Abara
2005,287.0,Abara
2006,422.0,Abara
2007,297.0,Abara
2008,341.0,Abara
2009,358.0,Abara
2010,382.0,Abara
2011,300.0,Abara
2012,395.0,Abara
2013,441.0,Abara
2014,315.0,Abara
2015,105.0,Abara
2016,365.0,Abara
2017,431.0,Abara
2018,393.0,Abara
2019,324.0,Abara
2020,318.8205128205128,Abara
1981,314.0,Abarwuha
1982,255.0,Abarwuha
1983,186.0,Abarwuha
1984,185.0,Abarwuha
1985,261.0,Abarwuha
1986,226.0,Abarwuha
1987,147.0,Abarwuha
1988,336.0,Abarwuha
1989,195.0,Abarwuha
1990,307.0,Abarwuha
1991,262.0,Abarwuha
1992,183.0,Abarwuha
1993,257.0,Abarwuha
1994,341.0,Abarwuha
1995,310.0,Abarwuha
1996,308.0,Abarwuha
1997,223.0,Abarwuha
1998,327.0,Abarwuha
1999,262.0,Abarwuha
2000,250.0,Abarwuha
2001,336.0,Abarwuha
2002,305.0,Abarwuha
2003,318.0,Abarwuha
2004,223.0,Abarwuha
2005,208.0,Abarwuha
2006,282.0,Abarwuha
2007,289.0,Abarwuha
2008,311.0,Abarwuha
2009,252.0,Abarwuha
2010,372.0,Abarwuha
2011,314.0,Abarwuha
2012,301.0,Abarwuha
2013,313.0,Abarwuha
2014,263.0,Abarwuha
2015,136.0,Abarwuha
2016,319.0,Abarwuha
2017,351.0,Abarwuha
2018,244.0,Abarwuha
2019,340.0,Abarwuha
2020,272.1025641025642,Abarwuha
1981,382.0,Abaselima
1982,214.0,Abaselima
1983,233.0,Abaselima
1984,306.0,Abaselima
1985,448.0,Abaselima
1986,367.0,Abaselima
1987,175.0,Abaselima
1988,519.0,Abaselima
1989,287.0,Abaselima
1990,386.0,Abaselima
1991,327.0,Abaselima
1992,287.0,Abaselima
1993,331.0,Abaselima
1994,370.0,Abaselima
1995,379.0,Abaselima
1996,374.0,Abaselima
1997,323.0,Abaselima
1998,358.0,Abaselima
1999,401.0,Abaselima
2000,409.0,Abaselima
2001,432.0,Abaselima
2002,351.0,Abaselima
2003,362.0,Abaselima
2004,324.0,Abaselima
2005,328.0,Abaselima
2006,491.0,Abaselima
2007,380.0,Abaselima
2008,420.0,Abaselima
2009,401.0,Abaselima
2010,399.0,Abaselima
2011,320.0,Abaselima
2012,477.0,Abaselima
2013,492.0,Abaselima
2014,378.0,Abaselima
2015,137.0,Abaselima
2016,445.0,Abaselima
2017,475.0,Abaselima
2018,426.0,Abaselima
2019,366.0,Abaselima
2020,366.15384615384613,Abaselima
1981,300.0,Abina
1982,163.0,Abina
1983,170.0,Abina
1984,194.0,Abina
1985,215.0,Abina
1986,261.0,Abina
1987,91.0,Abina
1988,430.0,Abina
1989,264.0,Abina
1990,272.0,Abina
1991,272.0,Abina
1992,273.0,Abina
1993,237.0,Abina
1994,329.0,Abina
1995,283.0,Abina
1996,270.0,Abina
1997,212.0,Abina
1998,428.0,Abina
1999,386.0,Abina
2000,214.0,Abina
2001,482.0,Abina
2002,255.0,Abina
2003,302.0,Abina
2004,247.0,Abina
2005,308.0,Abina
2006,275.0,Abina
2007,306.0,Abina
2008,228.0,Abina
2009,294.0,Abina
2010,265.0,Abina
2011,266.0,Abina
2012,245.0,Abina
2013,338.0,Abina
2014,185.0,Abina
2015,134.0,Abina
2016,339.0,Abina
2017,270.0,Abina
2018,287.0,Abina
2019,214.0,Abina
2020,269.3333333333331,Abina
1981,289.0,AbrahaAtsbaha
1982,157.0,AbrahaAtsbaha
1983,161.0,AbrahaAtsbaha
1984,123.0,AbrahaAtsbaha
1985,149.0,AbrahaAtsbaha
1986,231.0,AbrahaAtsbaha
1987,147.0,AbrahaAtsbaha
1988,321.0,AbrahaAtsbaha
1989,115.0,AbrahaAtsbaha
1990,153.0,AbrahaAtsbaha
1991,195.0,AbrahaAtsbaha
1992,145.0,AbrahaAtsbaha
1993,187.0,AbrahaAtsbaha
1994,186.0,AbrahaAtsbaha
1995,289.0,AbrahaAtsbaha
1996,133.0,AbrahaAtsbaha
1997,194.0,AbrahaAtsbaha
1998,298.0,AbrahaAtsbaha
1999,232.0,AbrahaAtsbaha
2000,171.0,AbrahaAtsbaha
2001,267.0,AbrahaAtsbaha
2002,98.0,AbrahaAtsbaha
2003,184.0,AbrahaAtsbaha
2004,178.0,AbrahaAtsbaha
