Year,value,Village
1983,40.0302850035364,AbaBikila
1984,-1.79449088924793,AbaBikila
1985,22.4625736037146,AbaBikila
1986,27.411898409467696,AbaBikila
1987,68.3150680962715,AbaBikila
1988,24.0078050044972,AbaBikila
1989,42.5984150259223,AbaBikila
1990,26.372097245553398,AbaBikila
1991,25.221348580074,AbaBikila
1992,35.116042800138196,AbaBikila
1993,26.6231049124023,AbaBikila
1994,6.55838683320412,AbaBikila
1995,28.6917992042047,AbaBikila
1996,15.0841225319651,AbaBikila
1997,9.186068836057991,AbaBikila
1998,26.6258073537601,AbaBikila
1999,41.3889988153284,AbaBikila
2000,15.4,AbaBikila
2001,10.7,AbaBikila
2002,6.4,AbaBikila
2003,29.4,AbaBikila
2004,14.5,AbaBikila
2005,30.1,AbaBikila
2006,21.6,AbaBikila
2007,55.1,AbaBikila
2008,42.8,AbaBikila
2009,24.8,AbaBikila
2010,46.6,AbaBikila
2011,13.5,AbaBikila
2012,41.2,AbaBikila
2013,8.4,AbaBikila
2014,27.2,AbaBikila
1983,88.2283775989428,Abara
1984,76.4056125248503,Abara
1985,137.502838374,Abara
1986,91.22744060031691,Abara
1987,123.92005768382099,Abara
1988,87.9824399990783,Abara
1989,119.61479652195601,Abara
1990,80.9812810065113,Abara
1991,131.333255186202,Abara
1992,114.447456978172,Abara
1993,107.380782283853,Abara
1994,62.1244863252894,Abara
1995,108.122767339841,Abara
1996,170.901638043085,Abara
1997,110.71182157775401,Abara
1998,93.894527309164,Abara
1999,109.89411570640301,Abara
2000,115.0,Abara
2001,33.0,Abara
2002,48.1,Abara
2003,113.2,Abara
2004,102.5,Abara
2005,128.0,Abara
2006,110.8,Abara
2007,122.7,Abara
2008,149.0,Abara
2009,94.2,Abara
2010,104.4,Abara
2011,120.1,Abara
2012,139.6,Abara
2013,79.3,Abara
2014,99.5,Abara
1983,31.0541681090513,Abarwuha
1984,26.7217031101621,Abarwuha
1985,78.3083984968987,Abarwuha
1986,62.452765251765605,Abarwuha
1987,130.132824043905,Abarwuha
1988,52.2685873456655,Abarwuha
1989,27.179062734697197,Abarwuha
1990,40.3854804183531,Abarwuha
1991,78.6750817048226,Abarwuha
1992,39.0238930309672,Abarwuha
1993,74.5377468205101,Abarwuha
1994,32.0474005681817,Abarwuha
1995,69.9102520058443,Abarwuha
1996,116.663542749476,Abarwuha
1997,71.85452039711241,Abarwuha
1998,35.532476295497105,Abarwuha
1999,54.1450069496791,Abarwuha
2000,24.9,Abarwuha
2001,17.8,Abarwuha
2002,8.0,Abarwuha
2003,81.9,Abarwuha
2004,36.7,Abarwuha
2005,90.4,Abarwuha
2006,67.3,Abarwuha
2007,85.7,Abarwuha
2008,88.2,Abarwuha
2009,55.1,Abarwuha
2010,77.5,Abarwuha
