Year,value,Village
1981,0.24043474034893397,AbaBikila
1982,0.140216282035461,AbaBikila
1983,0.139720345978886,AbaBikila
1984,0.30015031654633,AbaBikila
1985,0.25223816849497305,AbaBikila
1986,0.276032449241552,AbaBikila
1987,0.19696209187638303,AbaBikila
1988,0.147425936051712,AbaBikila
1989,0.21168383652864103,AbaBikila
1990,0.22188740683107802,AbaBikila
1991,0.252102043891165,AbaBikila
1992,0.17044603155156304,AbaBikila
1993,0.205934878261025,AbaBikila
1994,0.270694752276957,AbaBikila
1995,0.143757621728367,AbaBikila
1996,0.269908454565482,AbaBikila
1997,0.26725323729351,AbaBikila
1998,0.234767419343712,AbaBikila
1999,0.195840132641853,AbaBikila
2000,0.20700639999999998,AbaBikila
2001,0.2572236,AbaBikila
2002,0.3071282,AbaBikila
2003,0.2252899,AbaBikila
2004,0.18188410000000002,AbaBikila
2005,0.17087639999999998,AbaBikila
2006,0.21230370000000004,AbaBikila
2007,0.2630612,AbaBikila
2008,0.2887264,AbaBikila
2009,0.181869,AbaBikila
2010,0.1079499,AbaBikila
2011,0.286148,AbaBikila
2012,0.2593795,AbaBikila
2013,0.2653375,AbaBikila
2014,0.22154859999999998,AbaBikila
2015,0.2401295,AbaBikila
2016,0.15961270000000002,AbaBikila
2017,0.2468634,AbaBikila
2018,0.21187899999999998,AbaBikila
2019,0.2999305,AbaBikila
1981,0.266108219496731,Abara
1982,0.150075162130485,Abara
1983,0.23065220331548697,Abara
1984,0.24194209253696802,Abara
1985,0.270336222180414,Abara
1986,0.30993544225633696,Abara
1987,0.16253561841908198,Abara
1988,0.15796885030298,Abara
1989,0.22769494104313798,Abara
1990,0.322411273100148,Abara
1991,0.266608847482484,Abara
1992,0.22675542202781498,Abara
1993,0.21693647666490198,Abara
1994,0.238307156158582,Abara
1995,0.259677787905197,Abara
1996,0.296889702434181,Abara
1997,0.313670504231874,Abara
1998,0.199069811094964,Abara
1999,0.247594724425316,Abara
2000,0.23995170000000002,Abara
2001,0.298064,Abara
2002,0.20965660000000003,Abara
2003,0.3098224,Abara
2004,0.2054778,Abara
2005,0.2740535,Abara
2006,0.198511,Abara
2007,0.29248359999999995,Abara
2008,0.2027307,Abara
2009,0.21286660000000002,Abara
2010,0.1954855,Abara
2011,0.2706632,Abara
2012,0.2261299,Abara
2013,0.28487490000000004,Abara
2014,0.1627104,Abara
2015,0.18712910000000002,Abara
2016,0.2768991,Abara
2017,0.3054107,Abara
2018,0.3038127,Abara
2019,0.2327115,Abara
1981,0.24126075549048104,Abarwuha
1982,0.185591143600321,Abarwuha
1983,0.219048541369007,Abarwuha
1984,0.331009011529392,Abarwuha
1985,0.27049851185681195,Abarwuha
1986,0.289561997532078,Abarwuha
1987,0.29815127986356893,Abarwuha
1988,0.306633457619275,Abarwuha
1989,0.249978523472402,Abarwuha
1990,0.27213715210555806,Abarwuha
1991,0.266236041904314,Abarwuha
1992,0.264640296606564,Abarwuha
1993,0.20482594347616104,Abarwuha
1994,0.259906513399929,Abarwuha
1995,0.311452897926197,Abarwuha
1996,0.315854610467301,Abarwuha
1997,0.302295954702959,Abarwuha
1998,0.24549115383101103,Abarwuha
1999,0.205329328342266,Abarwuha
2000,0.208353,Abarwuha
2001,0.3361249,Abarwuha
2002,0.2583216,Abarwuha
2003,0.24200660000000002,Abarwuha
2004,0.2808753,Abarwuha
2005,0.1984652,Abarwuha
2006,0.28137890000000004,Abarwuha
2007,0.3077801,Abarwuha
2008,0.2845768,Abarwuha
2009,0.130687,Abarwuha
2010,0.23146979999999998,Abarwuha
2011,0.2342062,Abarwuha
2012,0.2010718,Abarwuha
2013,0.2328974,Abarwuha
2014,0.34027229999999997,Abarwuha
2015,0.2943688,Abarwuha
2016,0.2960305,Abarwuha
2017,0.2814199,Abarwuha
2018,0.29507259999999996,Abarwuha
2019,0.33719920000000003,Abarwuha
1981,0.280125174776464,Abaselima
1982,0.176147648558948,Abaselima
1983,0.255052812810008,Abaselima
1984,0.286491422037055,Abaselima
1985,0.278931272092656,Abaselima
1986,0.320841221097701,Abaselima
1987,0.21004357396470003,Abaselima
1988,0.20102785445390697,Abaselima
1989,0.23475611227959398,Abaselima
1990,0.313771702895752,Abaselima
1991,0.261345442493866,Abaselima
1992,0.23180405759279601,Abaselima
1993,0.258000811431973,Abaselima
1994,0.24239804263120301,Abaselima
1995,0.29321744224839696,Abaselima
1996,0.33857012838350103,Abaselima
1997,0.316703375856761,Abaselima
1998,0.219619486729841,Abaselima
1999,0.24361648450725498,Abaselima
2000,0.2518415,Abaselima
2001,0.30960240000000006,Abaselima
2002,0.203552,Abaselima
2003,0.2798393,Abaselima
2004,0.26479159999999996,Abaselima
2005,0.3090145,Abaselima
2006,0.2268389,Abaselima
2007,0.3099037,Abaselima
2008,0.2620617,Abaselima
2009,0.2004934,Abaselima
2010,0.2082755,Abaselima
2011,0.28122220000000003,Abaselima
2012,0.2671677,Abaselima
2013,0.2828835,Abaselima
2014,0.21608579999999997,Abaselima
2015,0.2465026,Abaselima
2016,0.30200040000000006,Abaselima
2017,0.302838,Abaselima
2018,0.3548619,Abaselima
2019,0.302476,Abaselima
1981,0.24697095946962197,Abina
1982,0.13190017684070002,Abina
1983,0.164018636074934,Abina
1984,0.255734636525051,Abina
1985,0.21293262078307698,Abina
1986,0.269453874771903,Abina
1987,0.15528204241503699,Abina
1988,0.165157006924423,Abina
1989,0.197392913429423,Abina
1990,0.21925243450442,Abina
1991,0.22057599192192104,Abina
1992,0.14577750705697,Abina
1993,0.17921051644913602,Abina
1994,0.23325172122277,Abina
1995,0.185110187444112,Abina
1996,0.25578883132376606,Abina
1997,0.25276221285952,Abina
1998,0.22751015340027203,Abina
1999,0.21819987908814104,Abina
2000,0.1855228,Abina
2001,0.21792070000000002,Abina
2002,0.2804979,Abina
2003,0.21902270000000004,Abina
2004,0.1765483,Abina
2005,0.2358562,Abina
2006,0.17173129999999998,Abina
2007,0.2865577,Abina
2008,0.24513379999999999,Abina
2009,0.1393946,Abina
2010,0.10954280000000001,Abina
2011,0.2423857,Abina
2012,0.24018299999999998,Abina
2013,0.2306197,Abina
2014,0.1683199,Abina
2015,0.1784445,Abina
2016,0.15121579999999998,Abina
2017,0.2461039,Abina
2018,0.24021820000000002,Abina
2019,0.18784990000000001,Abina
1981,0.19332732508157502,AbrahaAtsbaha
1982,0.16112724041343898,AbrahaAtsbaha
1983,0.14760156977254002,AbrahaAtsbaha
1984,0.206949297049619,AbrahaAtsbaha
1985,0.206518533201284,AbrahaAtsbaha
1986,0.2295714685158,AbrahaAtsbaha
1987,0.192845912704902,AbrahaAtsbaha
1988,0.172595424559489,AbrahaAtsbaha
1989,0.190251243896779,AbrahaAtsbaha
1990,0.17682693315192102,AbrahaAtsbaha
1991,0.20352354621725696,AbrahaAtsbaha
1992,0.185958906798849,AbrahaAtsbaha
1993,0.210299043669791,AbrahaAtsbaha
1994,0.20243397446433398,AbrahaAtsbaha
1995,0.18434739127871,AbrahaAtsbaha
1996,0.21686676276134498,AbrahaAtsbaha
1997,0.217115072512869,AbrahaAtsbaha
1998,0.197710904937752,AbrahaAtsbaha
1999,0.19331214937488395,AbrahaAtsbaha
2000,0.2172349,AbrahaAtsbaha
2001,0.22059539999999997,AbrahaAtsbaha
2002,0.1828475,AbrahaAtsbaha
2003,0.1831015,AbrahaAtsbaha
2004,0.17949229999999997,AbrahaAtsbaha
2005,0.191769,AbrahaAtsbaha
2006,0.1784036,AbrahaAtsbaha
2007,0.2363545,AbrahaAtsbaha
2008,0.1892674,AbrahaAtsbaha
2009,0.16686779999999998,AbrahaAtsbaha
2010,0.1750193,AbrahaAtsbaha
2011,0.2047435,AbrahaAtsbaha
2012,0.20215339999999998,AbrahaAtsbaha
2013,0.22950610000000002,AbrahaAtsbaha
2014,0.2035158,AbrahaAtsbaha
2015,0.17381939999999999,AbrahaAtsbaha
2016,0.2182782,AbrahaAtsbaha
2017,0.20487399999999997,AbrahaAtsbaha
2018,0.21255349999999998,AbrahaAtsbaha
2019,0.2391123,AbrahaAtsbaha
1981,0.20275942806231897,Abrekuy
1982,0.14742944022066398,Abrekuy
1983,0.178770593896496,Abrekuy
1984,0.20270989503952203,Abrekuy
1985,0.201450290890279,Abrekuy
1986,0.20206592186980502,Abrekuy
1987,0.147854024656551,Abrekuy
1988,0.179308393536393,Abrekuy
1989,0.176407092150627,Abrekuy
1990,0.21243277990627,Abrekuy
1991,0.19096315403893502,Abrekuy
1992,0.17035682426510998,Abrekuy
1993,0.179591442514758,Abrekuy
1994,0.15673484813575198,Abrekuy
1995,0.19314265091535396,Abrekuy
1996,0.20968716313644198,Abrekuy
1997,0.21373483153076298,Abrekuy
1998,0.173859607471986,Abrekuy
1999,0.189611569391645,Abrekuy
2000,0.2133458,Abrekuy
2001,0.2060563,Abrekuy
2002,0.1900053,Abrekuy
2003,0.16836389999999998,Abrekuy
2004,0.19867910000000003,Abrekuy
2005,0.1840807,Abrekuy
2006,0.1575326,Abrekuy
2007,0.1974816,Abrekuy
2008,0.17961770000000002,Abrekuy
2009,0.1317703,Abrekuy
2010,0.21838520000000003,Abrekuy
2011,0.23937460000000002,Abrekuy
2012,0.1493496,Abrekuy
2013,0.2060217,Abrekuy
2014,0.1771166,Abrekuy
2015,0.2567604,Abrekuy
2016,0.21109250000000002,Abrekuy
2017,0.2641703,Abrekuy
2018,0.24732739999999998,Abrekuy
2019,0.20509059999999998,Abrekuy
1981,0.17659142637702,AdekeAla
1982,0.12399755003134501,AdekeAla
1983,0.137459915404176,AdekeAla
1984,0.173715328269967,AdekeAla
1985,0.16836688518998902,AdekeAla
1986,0.215330226215838,AdekeAla
1987,0.160523978844958,AdekeAla
1988,0.131796192358581,AdekeAla
1989,0.163206499030985,AdekeAla
1990,0.16294653194165098,AdekeAla
1991,0.152504091870978,AdekeAla
1992,0.17286355112553,AdekeAla
1993,0.166032839553732,AdekeAla
1994,0.18993760384692498,AdekeAla
1995,0.183997385003769,AdekeAla
1996,0.20433469167426802,AdekeAla
1997,0.20365992945070396,AdekeAla
1998,0.159047231353189,AdekeAla
1999,0.16172419624724,AdekeAla
2000,0.16129620000000003,AdekeAla
2001,0.21838320000000003,AdekeAla
2002,0.1598427,AdekeAla
2003,0.1563818,AdekeAla
2004,0.1688103,AdekeAla
2005,0.165021,AdekeAla
2006,0.17550729999999998,AdekeAla
2007,0.18897229999999998,AdekeAla
2008,0.1762172,AdekeAla
2009,0.1221164,AdekeAla
2010,0.15546529999999997,AdekeAla
2011,0.175458,AdekeAla
2012,0.17128220000000002,AdekeAla
2013,0.1676403,AdekeAla
2014,0.17721900000000002,AdekeAla
2015,0.1831914,AdekeAla
2016,0.1731305,AdekeAla
2017,0.1731983,AdekeAla
2018,0.16553479999999998,AdekeAla
2019,0.17815250000000002,AdekeAla
1981,0.14554718460812102,Adekiney
1982,0.16335339543856198,Adekiney
1983,0.1573137434142,Adekiney
1984,0.180348462112598,Adekiney
1985,0.19569188368411605,Adekiney
1986,0.19723600840824002,Adekiney
1987,0.18650538981595602,Adekiney
1988,0.144843530534144,Adekiney
1989,0.17858932692765303,Adekiney
1990,0.185557398787417,Adekiney
1991,0.16122292261542198,Adekiney
1992,0.18124755545425897,Adekiney
1993,0.178061601520152,Adekiney
1994,0.198105805552126,Adekiney
1995,0.18373964091095701,Adekiney
1996,0.19572121017785699,Adekiney
1997,0.19845763258911497,Adekiney
1998,0.161242463512594,Adekiney
1999,0.13533450582677,Adekiney
2000,0.1757071,Adekiney
2001,0.2123417,Adekiney
2002,0.15088010000000002,Adekiney
2003,0.1812973,Adekiney
2004,0.1746654,Adekiney
2005,0.1591497,Adekiney
2006,0.18735120000000002,Adekiney
2007,0.196805,Adekiney
2008,0.1498486,Adekiney
2009,0.11448110000000002,Adekiney
2010,0.1556344,Adekiney
2011,0.203422,Adekiney
2012,0.2022648,Adekiney
2013,0.17416199999999998,Adekiney
2014,0.1992587,Adekiney
2015,0.1719954,Adekiney
2016,0.19263470000000002,Adekiney
2017,0.2093252,Adekiney
2018,0.1559855,Adekiney
2019,0.2123464,Adekiney
1981,0.241525050201027,AderSeg
1982,0.149131793527625,AderSeg
1983,0.149965784513233,AderSeg
1984,0.28445676850020696,AderSeg
1985,0.23892829953188502,AderSeg
1986,0.26309517658589804,AderSeg
1987,0.18832002722486899,AderSeg
1988,0.148506307633251,AderSeg
1989,0.20030394327807602,AderSeg
1990,0.22016815897920702,AderSeg
1991,0.24079529707137198,AderSeg
1992,0.168218896622271,AderSeg
1993,0.19968321683484805,AderSeg
1994,0.25871671656662504,AderSeg
1995,0.14373453185959,AderSeg
1996,0.26408079428361697,AderSeg
1997,0.25666013422317396,AderSeg
1998,0.228238014051768,AderSeg
1999,0.21121695344420802,AderSeg
2000,0.1855216,AderSeg
2001,0.2521935,AderSeg
2002,0.28954240000000003,AderSeg
2003,0.2166444,AderSeg
2004,0.20864989999999997,AderSeg
2005,0.2177476,AderSeg
2006,0.1644058,AderSeg
