Year,value,Village
1983,169.6444444444445,AbaBikila
1984,206.1,AbaBikila
1985,256.6,AbaBikila
1986,282.95,AbaBikila
1987,133.8277777777777,AbaBikila
1988,547.3,AbaBikila
1989,278.5,AbaBikila
1990,311.5,AbaBikila
1991,349.7,AbaBikila
1992,144.8,AbaBikila
1993,232.10000000000002,AbaBikila
1994,343.5,AbaBikila
1995,284.2,AbaBikila
1996,322.8,AbaBikila
1997,250.10000000000002,AbaBikila
1998,512.1,AbaBikila
1999,408.1,AbaBikila
2000,388.1,AbaBikila
2001,414.2,AbaBikila
2002,234.50000000000003,AbaBikila
2003,280.5,AbaBikila
2004,232.4,AbaBikila
2005,372.6,AbaBikila
2006,221.1,AbaBikila
2007,370.3,AbaBikila
2008,308.0,AbaBikila
2009,298.20000000000005,AbaBikila
2010,420.4,AbaBikila
2011,290.20000000000005,AbaBikila
2012,434.5,AbaBikila
2013,378.4,AbaBikila
2014,232.6,AbaBikila
2015,207.60000000000002,AbaBikila
2016,386.6,AbaBikila
2017,345.9,AbaBikila
2018,280.4,AbaBikila
2019,228.00000000000003,AbaBikila
1983,201.17222222222222,Abara
1984,165.20000000000002,Abara
1985,304.3,Abara
1986,258.4086507936508,Abara
1987,160.7336507936508,Abara
1988,467.6,Abara
1989,268.0,Abara
1990,246.5,Abara
1991,300.3,Abara
1992,186.89999999999998,Abara
1993,217.70000000000002,Abara
1994,287.0,Abara
1995,288.0,Abara
1996,349.09999999999997,Abara
1997,231.4,Abara
1998,393.79999999999995,Abara
1999,395.9,Abara
2000,410.3,Abara
2001,377.1,Abara
2002,255.8,Abara
2003,288.0,Abara
2004,287.4,Abara
2005,306.5,Abara
2006,301.0,Abara
2007,312.8,Abara
2008,348.4,Abara
2009,254.39999999999998,Abara
2010,421.0,Abara
2011,295.4,Abara
2012,405.4,Abara
2013,419.20000000000005,Abara
2014,263.6,Abara
2015,163.0,Abara
2016,395.5,Abara
2017,352.69999999999993,Abara
2018,317.9,Abara
2019,291.6,Abara
1983,231.9833333333334,Abarwuha
1984,213.39999999999998,Abarwuha
1985,366.0,Abarwuha
1986,314.4512698412703,Abarwuha
1987,223.27071428571432,Abarwuha
1988,602.6,Abarwuha
1989,348.80000000000007,Abarwuha
1990,333.3,Abarwuha
1991,401.29999999999995,Abarwuha
1992,205.8,Abarwuha
1993,275.7,Abarwuha
1994,345.49999999999994,Abarwuha
1995,334.0,Abarwuha
1996,481.8,Abarwuha
1997,291.7,Abarwuha
1998,553.2,Abarwuha
1999,470.40000000000003,Abarwuha
2000,560.8,Abarwuha
2001,534.0,Abarwuha
2002,373.8,Abarwuha
2003,436.6,Abarwuha
2004,383.3,Abarwuha
2005,369.8,Abarwuha
2006,363.90000000000003,Abarwuha
2007,425.1,Abarwuha
2008,432.6,Abarwuha
2009,309.2,Abarwuha
2010,602.9000000000001,Abarwuha
2011,394.6,Abarwuha
2012,540.0,Abarwuha
2013,528.3000000000001,Abarwuha
2014,341.2,Abarwuha
2015,254.60000000000002,Abarwuha
2016,510.59999999999997,Abarwuha
2017,499.4,Abarwuha
2018,414.19999999999993,Abarwuha
2019,377.2,Abarwuha
1983,212.2527777777778,Abaselima
1984,195.3,Abaselima
1985,318.5,Abaselima
1986,289.6960317460322,Abaselima
1987,177.9738095238096,Abaselima
1988,483.0,Abaselima
1989,291.0,Abaselima
1990,285.5,Abaselima
1991,317.3,Abaselima
1992,200.8,Abaselima
1993,229.5,Abaselima
1994,307.40000000000003,Abaselima
1995,300.70000000000005,Abaselima
1996,374.5,Abaselima
1997,250.7,Abaselima
1998,408.8,Abaselima
1999,416.1,Abaselima
2000,426.9,Abaselima
2001,384.59999999999997,Abaselima
2002,269.40000000000003,Abaselima
2003,312.9,Abaselima
2004,306.4,Abaselima
2005,315.59999999999997,Abaselima
2006,316.0,Abaselima
2007,351.80000000000007,Abaselima
2008,379.29999999999995,Abaselima
2009,252.7,Abaselima
2010,427.5,Abaselima
2011,296.6,Abaselima
2012,439.49999999999994,Abaselima
2013,434.9,Abaselima
2014,270.2,Abaselima
2015,162.89999999999998,Abaselima
2016,413.1,Abaselima
2017,376.8,Abaselima
2018,314.29999999999995,Abaselima
2019,303.6,Abaselima
1983,164.5305555555556,Abina
1984,179.6,Abina
1985,242.5,Abina
1986,279.358333333333,Abina
1987,128.7111111111111,Abina
1988,540.3,Abina
1989,280.7,Abina
1990,306.4,Abina
1991,332.2,Abina
1992,149.10000000000002,Abina
1993,218.70000000000002,Abina
1994,330.8,Abina
1995,249.60000000000002,Abina
1996,332.4,Abina
1997,237.7,Abina
1998,463.8,Abina
1999,395.0,Abina
2000,386.70000000000005,Abina
2001,399.9,Abina
2002,227.4,Abina
2003,273.1,Abina
2004,217.6,Abina
2005,338.6,Abina
2006,208.6,Abina
2007,373.7,Abina
2008,286.9,Abina
2009,289.7,Abina
2010,401.4,Abina
2011,273.3,Abina
2012,431.19999999999993,Abina
2013,371.4,Abina
2014,220.10000000000002,Abina
2015,186.5,Abina
2016,372.1,Abina
2017,339.5,Abina
2018,248.4,Abina
2019,218.59999999999997,Abina
1983,93.4583333333333,AbrahaAtsbaha
1984,88.3,AbrahaAtsbaha
1985,142.10000000000002,AbrahaAtsbaha
1986,184.4027777777778,AbrahaAtsbaha
1987,96.1222222222222,AbrahaAtsbaha
1988,280.7,AbrahaAtsbaha
1989,119.7,AbrahaAtsbaha
1990,136.3,AbrahaAtsbaha
1991,133.2,AbrahaAtsbaha
1992,112.19999999999999,AbrahaAtsbaha
1993,127.6,AbrahaAtsbaha
1994,207.39999999999998,AbrahaAtsbaha
1995,252.39999999999998,AbrahaAtsbaha
1996,166.7,AbrahaAtsbaha
1997,171.60000000000002,AbrahaAtsbaha
1998,279.5,AbrahaAtsbaha
1999,199.4,AbrahaAtsbaha
2000,164.3,AbrahaAtsbaha
2001,193.2,AbrahaAtsbaha
2002,94.0,AbrahaAtsbaha
2003,153.0,AbrahaAtsbaha
2004,124.7,AbrahaAtsbaha
2005,196.4,AbrahaAtsbaha
2006,96.8,AbrahaAtsbaha
2007,303.5,AbrahaAtsbaha
2008,186.9,AbrahaAtsbaha
2009,153.39999999999998,AbrahaAtsbaha
2010,251.0,AbrahaAtsbaha
2011,186.9,AbrahaAtsbaha
2012,223.39999999999998,AbrahaAtsbaha
2013,234.2,AbrahaAtsbaha
2014,145.0,AbrahaAtsbaha
2015,125.30000000000001,AbrahaAtsbaha
2016,245.89999999999998,AbrahaAtsbaha
2017,132.6,AbrahaAtsbaha
2018,191.6,AbrahaAtsbaha
2019,137.60000000000002,AbrahaAtsbaha
1983,220.2833333333333,Abrekuy
1984,215.8,Abrekuy
1985,329.9,Abrekuy
1986,298.52626984126994,Abrekuy
1987,196.22071428571428,Abrekuy
1988,494.59999999999997,Abrekuy
1989,291.3,Abrekuy
1990,306.5,Abrekuy
1991,340.20000000000005,Abrekuy
1992,204.20000000000002,Abrekuy
1993,244.6,Abrekuy
1994,309.6,Abrekuy
1995,302.9,Abrekuy
1996,394.7,Abrekuy
1997,245.9,Abrekuy
1998,421.4,Abrekuy
1999,438.29999999999995,Abrekuy
2000,435.49999999999994,Abrekuy
2001,379.0,Abrekuy
2002,290.40000000000003,Abrekuy
2003,319.4,Abrekuy
2004,316.7,Abrekuy
2005,323.2,Abrekuy
2006,342.1,Abrekuy
2007,352.7,Abrekuy
2008,394.19999999999993,Abrekuy
2009,269.1,Abrekuy
2010,431.4,Abrekuy
2011,306.70000000000005,Abrekuy
2012,445.4,Abrekuy
2013,453.80000000000007,Abrekuy
2014,269.4,Abrekuy
2015,175.5,Abrekuy
2016,429.69999999999993,Abrekuy
2017,414.70000000000005,Abrekuy
2018,327.5,Abrekuy
2019,323.40000000000003,Abrekuy
1983,47.330555555555506,AdekeAla
1984,60.9,AdekeAla
1985,76.7,AdekeAla
1986,201.8,AdekeAla
1987,106.3027777777778,AdekeAla
1988,96.8,AdekeAla
1989,130.9,AdekeAla
1990,46.0,AdekeAla
1991,133.5,AdekeAla
1992,52.8,AdekeAla
1993,93.0,AdekeAla
1994,127.7,AdekeAla
1995,77.4,AdekeAla
1996,199.2,AdekeAla
1997,183.0,AdekeAla
1998,105.4,AdekeAla
1999,145.39999999999998,AdekeAla
2000,117.89999999999999,AdekeAla
2001,123.39999999999999,AdekeAla
2002,87.30000000000001,AdekeAla
2003,160.4,AdekeAla
2004,80.1,AdekeAla
2005,121.3,AdekeAla
2006,127.0,AdekeAla
2007,199.3,AdekeAla
2008,90.3,AdekeAla
2009,122.2,AdekeAla
2010,130.1,AdekeAla
2011,142.8,AdekeAla
2012,141.4,AdekeAla
2013,121.2,AdekeAla
2014,67.3,AdekeAla
2015,112.10000000000001,AdekeAla
2016,141.0,AdekeAla
2017,119.5,AdekeAla
2018,158.3,AdekeAla
2019,151.3,AdekeAla
1983,62.6888888888889,Adekiney
1984,77.1,Adekiney
1985,118.5,Adekiney
1986,110.69999999999999,Adekiney
1987,52.2472222222222,Adekiney
1988,138.2,Adekiney
1989,63.599999999999994,Adekiney
1990,96.7,Adekiney
1991,77.4,Adekiney
1992,86.0,Adekiney
1993,87.6,Adekiney
1994,126.19999999999999,Adekiney
1995,125.5,Adekiney
1996,118.0,Adekiney
1997,142.8,Adekiney
1998,132.6,Adekiney
1999,164.0,Adekiney
2000,118.39999999999999,Adekiney
2001,104.89999999999999,Adekiney
2002,26.6,Adekiney
2003,118.69999999999999,Adekiney
2004,92.6,Adekiney
2005,117.9,Adekiney
2006,94.2,Adekiney
2007,219.89999999999998,Adekiney
2008,97.10000000000001,Adekiney
