Year,value,Village
1983,157.3442459411765,AbaBikila
1984,146.1445720179738,AbaBikila
1985,119.70648394117647,AbaBikila
1986,265.50471858888886,AbaBikila
1987,32.16240202857143,AbaBikila
1988,163.6628266268908,AbaBikila
1989,112.65784929575162,AbaBikila
1990,55.15242,AbaBikila
1991,85.454666,AbaBikila
1992,90.42168913968253,AbaBikila
1993,186.15988082352942,AbaBikila
1994,178.8494852777778,AbaBikila
1995,158.30440698571434,AbaBikila
1996,147.879679,AbaBikila
1997,95.97185300000001,AbaBikila
1998,155.24311230555557,AbaBikila
1999,164.27514272222223,AbaBikila
2000,73.95420599999999,AbaBikila
2001,93.048273,AbaBikila
2002,54.911820000000006,AbaBikila
2003,98.62707119999999,AbaBikila
2004,44.782035,AbaBikila
2005,111.589313,AbaBikila
2006,190.29859899999997,AbaBikila
2007,175.90231400000002,AbaBikila
2008,125.62017100000001,AbaBikila
2009,124.56549899999999,AbaBikila
2010,157.314831,AbaBikila
2011,73.845167,AbaBikila
2012,115.95059699999999,AbaBikila
2013,158.69135,AbaBikila
2014,121.236063,AbaBikila
2015,146.989947,AbaBikila
2016,122.55913500000001,AbaBikila
2017,159.497228,AbaBikila
2018,179.42361899999997,AbaBikila
2019,178.82935089999998,AbaBikila
1983,19.302461647058802,Abara
1984,61.2615754166667,Abara
1985,58.5077056470588,Abara
1986,112.68274405555559,Abara
1987,15.422916371428599,Abara
1988,28.866538018487397,Abara
1989,18.64948247222223,Abara
1990,103.426806,Abara
1991,50.887128000000004,Abara
1992,46.529110732539664,Abara
1993,107.911523,Abara
1994,69.2574457222222,Abara
1995,6.0075043714285705,Abara
1996,17.71254,Abara
1997,102.3413396,Abara
1998,98.9582961944445,Abara
1999,128.06980405555555,Abara
2000,47.158930999999995,Abara
2001,4.73295,Abara
2002,20.507066,Abara
2003,24.688022000000004,Abara
2004,24.613323,Abara
2005,42.622493000000006,Abara
2006,25.627542,Abara
2007,122.62790199999999,Abara
2008,19.319671999999997,Abara
2009,26.524673,Abara
2010,35.960218,Abara
2011,3.920985,Abara
2012,40.125785,Abara
2013,145.482032,Abara
2014,69.57173,Abara
2015,40.545601999999995,Abara
2016,64.188492,Abara
2017,62.378553999999994,Abara
2018,16.375208999999998,Abara
2019,202.290423,Abara
1983,84.33200191176469,Abarwuha
1984,154.95414672254898,Abarwuha
1985,57.073624911764696,Abarwuha
1986,149.0867197222223,Abarwuha
1987,60.03848522857143,Abarwuha
1988,243.6045675117647,Abarwuha
1989,45.17155103921574,Abarwuha
1990,156.978476,Abarwuha
1991,116.30025799999999,Abarwuha
1992,36.12017447857143,Abarwuha
1993,219.3849392058823,Abarwuha
1994,42.3715703888889,Abarwuha
1995,22.3643616,Abarwuha
1996,53.486675999999996,Abarwuha
1997,98.539368,Abarwuha
1998,208.0840760277778,Abarwuha
1999,129.78002788888887,Abarwuha
2000,73.68847600000001,Abarwuha
2001,12.695752599999999,Abarwuha
2002,49.716041000000004,Abarwuha
2003,68.851963,Abarwuha
2004,66.89958100000001,Abarwuha
2005,87.62916200000001,Abarwuha
2006,93.39716800000001,Abarwuha
2007,185.103283,Abarwuha
2008,58.023697000000006,Abarwuha
2009,77.318675,Abarwuha
2010,53.12301599999999,Abarwuha
2011,64.02892700000001,Abarwuha
2012,49.4448286,Abarwuha
2013,124.33177500000001,Abarwuha
2014,147.14996100000002,Abarwuha
2015,160.60681,Abarwuha
2016,67.90173200000001,Abarwuha
2017,57.87116100000001,Abarwuha
2018,61.30139199999999,Abarwuha
2019,352.241489,Abarwuha
1983,19.1251929411765,Abaselima
1984,62.82668075,Abaselima
1985,59.1672709411765,Abaselima
1986,118.7809941944444,Abaselima
1987,7.5108994000000004,Abaselima
1988,43.76714062689081,Abaselima
1989,41.22414783333333,Abaselima
1990,150.402673,Abaselima
1991,59.498335,Abaselima
1992,19.2335067611111,Abaselima
1993,122.5041381,Abaselima
1994,60.5846506388889,Abaselima
1995,3.25637368571429,Abaselima
1996,145.083803,Abaselima
1997,86.452122,Abaselima
1998,161.3170324472222,Abaselima
1999,89.04157416666666,Abaselima
2000,44.171383,Abaselima
2001,11.353629,Abaselima
2002,20.473471999999997,Abaselima
2003,33.49673,Abaselima
2004,24.402094,Abaselima
2005,47.767281999999994,Abaselima
2006,56.760616,Abaselima
2007,132.67748,Abaselima
2008,42.721662,Abaselima
2009,38.983529999999995,Abaselima
2010,159.499821,Abaselima
2011,4.122767,Abaselima
2012,47.979040999999995,Abaselima
2013,136.037803,Abaselima
2014,101.770743,Abaselima
2015,44.53727800000001,Abaselima
2016,63.932773,Abaselima
2017,63.013102,Abaselima
2018,21.050285000000002,Abaselima
2019,259.273211,Abaselima
1983,159.4735331764706,Abina
1984,113.6439691535947,Abina
1985,139.82966717647056,Abina
1986,292.2330109222222,Abina
1987,34.58825257142857,Abina
