Year,value,Village
1981,177.57384000000002,AbaBikila
1982,132.105021,AbaBikila
1983,122.963916,AbaBikila
1984,149.15775000000002,AbaBikila
1985,160.10926400000002,AbaBikila
1986,205.56249,AbaBikila
1987,103.583906,AbaBikila
1988,196.670016,AbaBikila
1989,146.98592299999999,AbaBikila
1990,117.216556,AbaBikila
1991,109.19172099999999,AbaBikila
1992,159.75907600000002,AbaBikila
1993,196.62536,AbaBikila
1994,194.59777000000003,AbaBikila
1995,136.40565800000002,AbaBikila
1996,199.851526,AbaBikila
1997,128.99975,AbaBikila
1998,254.462066,AbaBikila
1999,216.428489,AbaBikila
2000,174.72695,AbaBikila
2001,142.992716,AbaBikila
2002,145.33873499999999,AbaBikila
2003,195.36012,AbaBikila
2004,120.340156,AbaBikila
2005,221.00898199999997,AbaBikila
2006,249.00043,AbaBikila
2007,210.52358600000002,AbaBikila
2008,185.59261899999998,AbaBikila
2009,159.091679,AbaBikila
2010,267.363895,AbaBikila
2011,169.810986,AbaBikila
2012,170.975146,AbaBikila
2013,153.87100900000002,AbaBikila
2014,182.392691,AbaBikila
2015,173.42181,AbaBikila
2016,117.705461,AbaBikila
2017,186.202583,AbaBikila
2018,216.34947,AbaBikila
2019,190.59668,AbaBikila
2020,172.8439949230767,AbaBikila
1981,53.77928,Abara
1982,25.606125,Abara
1983,24.126455,Abara
1984,50.357296999999996,Abara
1985,27.602459999999997,Abara
1986,42.303674,Abara
1987,39.667019999999994,Abara
1988,60.204698,Abara
1989,32.189591,Abara
1990,32.817025,Abara
1991,44.776234,Abara
1992,41.334717000000005,Abara
1993,40.00833,Abara
1994,55.584500999999996,Abara
1995,24.267999,Abara
1996,27.878957,Abara
1997,65.0643,Abara
1998,54.184402000000006,Abara
1999,32.145637,Abara
2000,36.45659,Abara
2001,33.085397,Abara
2002,27.894067,Abara
2003,43.63474299999999,Abara
2004,28.611157,Abara
2005,30.078525,Abara
2006,37.971248,Abara
2007,40.024786999999996,Abara
2008,31.290473,Abara
2009,30.332956,Abara
2010,32.253183,Abara
2011,31.375642999999997,Abara
2012,27.097597,Abara
2013,53.745002,Abara
2014,76.45687000000001,Abara
2015,60.840360000000004,Abara
2016,32.587332999999994,Abara
2017,34.71083,Abara
2018,46.627462,Abara
2019,82.88611,Abara
2020,40.8168983333333,Abara
1981,120.19685000000001,Abarwuha
1982,92.00934999999998,Abarwuha
1983,74.750765,Abarwuha
1984,117.210954,Abarwuha
1985,92.19996599999999,Abarwuha
1986,109.116815,Abarwuha
1987,62.069081,Abarwuha
1988,108.99057,Abarwuha
1989,91.262066,Abarwuha
1990,80.48119600000001,Abarwuha
1991,136.28531999999998,Abarwuha
1992,95.31600999999998,Abarwuha
1993,173.38531999999998,Abarwuha
1994,142.230566,Abarwuha
1995,62.43215500000001,Abarwuha
1996,114.722205,Abarwuha
1997,146.60571,Abarwuha
1998,125.02674999999999,Abarwuha
1999,117.75077999999999,Abarwuha
2000,100.68748000000001,Abarwuha
2001,69.533255,Abarwuha
2002,106.69746,Abarwuha
2003,110.23530500000001,Abarwuha
2004,61.600043,Abarwuha
2005,88.2846,Abarwuha
