Year,value,Village
1981,170.0,AbaBikila
1982,174.0,AbaBikila
1983,131.0,AbaBikila
1984,104.0,AbaBikila
1985,183.0,AbaBikila
1986,227.0,AbaBikila
1987,104.0,AbaBikila
1988,192.0,AbaBikila
1989,136.0,AbaBikila
1990,118.0,AbaBikila
1991,107.0,AbaBikila
1992,187.0,AbaBikila
1993,206.0,AbaBikila
1994,173.0,AbaBikila
1995,157.0,AbaBikila
1996,118.0,AbaBikila
1997,87.0,AbaBikila
1998,249.0,AbaBikila
1999,341.0,AbaBikila
2000,325.0,AbaBikila
2001,143.0,AbaBikila
2002,139.0,AbaBikila
2003,346.0,AbaBikila
2004,116.0,AbaBikila
2005,194.0,AbaBikila
2006,254.0,AbaBikila
2007,230.0,AbaBikila
2008,152.0,AbaBikila
2009,142.0,AbaBikila
2010,215.0,AbaBikila
2011,165.0,AbaBikila
2012,167.0,AbaBikila
2013,126.0,AbaBikila
2014,180.0,AbaBikila
2015,135.0,AbaBikila
2016,134.0,AbaBikila
2017,280.0,AbaBikila
2018,256.0,AbaBikila
2019,267.0,AbaBikila
2020,182.8205128205128,AbaBikila
1981,137.0,Abara
1982,156.0,Abara
1983,101.0,Abara
1984,77.0,Abara
1985,79.0,Abara
1986,102.0,Abara
1987,56.0,Abara
1988,84.0,Abara
1989,95.0,Abara
1990,157.0,Abara
1991,80.0,Abara
1992,96.0,Abara
1993,154.0,Abara
1994,57.0,Abara
1995,38.0,Abara
1996,79.0,Abara
1997,68.0,Abara
1998,174.0,Abara
1999,143.0,Abara
2000,142.0,Abara
2001,33.0,Abara
2002,58.0,Abara
2003,135.0,Abara
2004,104.0,Abara
2005,152.0,Abara
2006,94.0,Abara
2007,103.0,Abara
2008,89.0,Abara
2009,84.0,Abara
2010,80.0,Abara
2011,79.0,Abara
2012,124.0,Abara
2013,134.0,Abara
2014,110.0,Abara
2015,57.0,Abara
2016,82.0,Abara
2017,114.0,Abara
2018,43.0,Abara
2019,183.0,Abara
2020,100.84615384615381,Abara
1981,137.0,Abarwuha
1982,172.0,Abarwuha
1983,117.0,Abarwuha
1984,117.0,Abarwuha
1985,111.0,Abarwuha
1986,110.0,Abarwuha
1987,86.0,Abarwuha
1988,110.0,Abarwuha
1989,110.0,Abarwuha
1990,174.0,Abarwuha
1991,169.0,Abarwuha
1992,76.0,Abarwuha
1993,123.0,Abarwuha
1994,102.0,Abarwuha
1995,65.0,Abarwuha
1996,132.0,Abarwuha
1997,95.0,Abarwuha
1998,148.0,Abarwuha
1999,135.0,Abarwuha
2000,130.0,Abarwuha
2001,106.0,Abarwuha
2002,111.0,Abarwuha
2003,175.0,Abarwuha
2004,147.0,Abarwuha
2005,161.0,Abarwuha
2006,104.0,Abarwuha
2007,104.0,Abarwuha
2008,120.0,Abarwuha
2009,62.0,Abarwuha
2010,141.0,Abarwuha
2011,136.0,Abarwuha
2012,99.0,Abarwuha
2013,184.0,Abarwuha
2014,79.0,Abarwuha
2015,136.0,Abarwuha
2016,85.0,Abarwuha
2017,170.0,Abarwuha
2018,63.0,Abarwuha
2019,163.0,Abarwuha
2020,122.1794871794872,Abarwuha
1981,141.0,Abaselima
1982,179.0,Abaselima
1983,124.0,Abaselima
1984,96.0,Abaselima
1985,78.0,Abaselima
1986,114.0,Abaselima
1987,71.0,Abaselima
1988,93.0,Abaselima
1989,87.0,Abaselima
1990,178.0,Abaselima
1991,94.0,Abaselima
1992,113.0,Abaselima
1993,168.0,Abaselima
1994,84.0,Abaselima
1995,44.0,Abaselima
1996,81.0,Abaselima
1997,82.0,Abaselima
1998,215.0,Abaselima
1999,175.0,Abaselima
2000,159.0,Abaselima
2001,49.0,Abaselima
2002,60.0,Abaselima
2003,139.0,Abaselima
2004,141.0,Abaselima
2005,183.0,Abaselima
2006,103.0,Abaselima
