Year,value,Village
1983,-22.111774787776298,AbaBikila
1984,14.5418829868151,AbaBikila
1985,29.941275345018397,AbaBikila
1986,38.345761219759005,AbaBikila
1987,-11.5097428299158,AbaBikila
1988,29.2613813282234,AbaBikila
1989,65.220790081744,AbaBikila
1990,11.894902226972,AbaBikila
1991,16.1231072149323,AbaBikila
1992,30.6971688558788,AbaBikila
1993,26.5167455250076,AbaBikila
1994,62.70443986080971,AbaBikila
1995,47.093454739582604,AbaBikila
1996,36.6432577126611,AbaBikila
1997,23.894332329624902,AbaBikila
1998,47.890362548373496,AbaBikila
1999,63.429080476646995,AbaBikila
2000,25.6,AbaBikila
2001,6.4,AbaBikila
2002,2.2,AbaBikila
2003,24.2,AbaBikila
2004,10.4,AbaBikila
2005,39.8,AbaBikila
2006,62.9,AbaBikila
2007,79.3,AbaBikila
2008,60.9,AbaBikila
2009,30.7,AbaBikila
2010,60.7,AbaBikila
2011,48.3,AbaBikila
2012,38.7,AbaBikila
2013,46.7,AbaBikila
2014,46.9,AbaBikila
1983,47.4991336447894,Abara
1984,121.07011945047701,Abara
1985,104.736022686151,Abara
1986,100.94811089852301,Abara
1987,98.43429175182742,Abara
1988,109.986222616834,Abara
1989,105.794235993853,Abara
1990,109.40922611721399,Abara
1991,69.2518971346925,Abara
1992,65.2478332667289,Abara
1993,92.3603955654825,Abara
1994,134.529143528166,Abara
1995,90.3107465328359,Abara
1996,114.000150838411,Abara
1997,62.68091935035271,Abara
1998,66.8103559706958,Abara
1999,75.2893815825835,Abara
2000,87.5,Abara
2001,54.6,Abara
2002,54.1,Abara
2003,98.9,Abara
2004,68.1,Abara
2005,109.4,Abara
2006,110.9,Abara
2007,112.9,Abara
2008,103.3,Abara
2009,100.2,Abara
2010,106.4,Abara
2011,108.9,Abara
2012,99.0,Abara
2013,104.6,Abara
2014,104.3,Abara
1983,-19.038034194842698,Abarwuha
1984,86.6410731168748,Abarwuha
1985,86.1186678750542,Abarwuha
1986,68.6002034755611,Abarwuha
1987,52.1445364686238,Abarwuha
1988,62.8983533496424,Abarwuha
1989,43.4497955132037,Abarwuha
1990,62.1949671006704,Abarwuha
1991,4.29988201139965,Abarwuha
1992,21.6904758402455,Abarwuha
1993,49.9109548230832,Abarwuha
1994,110.838698162292,Abarwuha
1995,71.85792701122651,Abarwuha
1996,53.6488961232969,Abarwuha
1997,25.154165834718103,Abarwuha
1998,50.6324587948528,Abarwuha
1999,47.8772567907897,Abarwuha
2000,33.2,Abarwuha
2001,17.0,Abarwuha
2002,8.8,Abarwuha
2003,32.6,Abarwuha
2004,38.7,Abarwuha
2005,87.7,Abarwuha
2006,60.2,Abarwuha
2007,91.0,Abarwuha
2008,93.2,Abarwuha
2009,68.5,Abarwuha
2010,83.5,Abarwuha
2011,77.8,Abarwuha
2012,65.7,Abarwuha
2013,66.4,Abarwuha
2014,73.0,Abarwuha
1983,47.4991336447894,Abaselima
1984,121.07011945047701,Abaselima
1985,104.736022686151,Abaselima
1986,100.94811089852301,Abaselima
1987,98.43429175182742,Abaselima
1988,109.986222616834,Abaselima
1989,105.794235993853,Abaselima
1990,109.40922611721399,Abaselima
1991,69.2518971346925,Abaselima
1992,65.2478332667289,Abaselima
1993,92.3603955654825,Abaselima
1994,134.529143528166,Abaselima
1995,90.3107465328359,Abaselima
1996,114.000150838411,Abaselima
1997,62.68091935035271,Abaselima
1998,66.8103559706958,Abaselima
1999,75.2893815825835,Abaselima
2000,87.5,Abaselima
2001,54.6,Abaselima
2002,54.1,Abaselima
2003,98.9,Abaselima
2004,68.1,Abaselima
2005,109.4,Abaselima
2006,110.9,Abaselima
2007,112.9,Abaselima
2008,103.3,Abaselima
2009,100.2,Abaselima
2010,106.4,Abaselima
2011,108.9,Abaselima
2012,99.0,Abaselima
2013,104.6,Abaselima
2014,104.3,Abaselima
1983,-22.111774787776298,Abina
1984,14.5418829868151,Abina
1985,29.941275345018397,Abina
1986,38.345761219759005,Abina
1987,-11.5097428299158,Abina
1988,29.2613813282234,Abina
1989,65.220790081744,Abina
1990,11.894902226972,Abina
1991,16.1231072149323,Abina
1992,30.6971688558788,Abina
1993,26.5167455250076,Abina
1994,62.70443986080971,Abina
1995,47.093454739582604,Abina
1996,36.6432577126611,Abina
1997,23.894332329624902,Abina
1998,47.890362548373496,Abina
1999,63.429080476646995,Abina
2000,25.6,Abina
2001,6.4,Abina
2002,2.2,Abina
2003,24.2,Abina
2004,10.4,Abina
2005,39.8,Abina
2006,62.9,Abina
2007,79.3,Abina
2008,60.9,Abina
2009,30.7,Abina
2010,60.7,Abina
2011,48.3,Abina
2012,38.7,Abina
2013,46.7,Abina
2014,46.9,Abina
1983,7.491929567931741,AbrahaAtsbaha
1984,15.0860495438521,AbrahaAtsbaha
1985,42.96849949025,AbrahaAtsbaha
1986,33.1649966025493,AbrahaAtsbaha
1987,13.6048195815566,AbrahaAtsbaha
1988,40.1950921465661,AbrahaAtsbaha
1989,48.150169528732704,AbrahaAtsbaha
1990,26.0745990676056,AbrahaAtsbaha
1991,23.5833606054145,AbrahaAtsbaha
1992,41.1628294350611,AbrahaAtsbaha
1993,59.13512998736729,AbrahaAtsbaha
1994,64.9664208123755,AbrahaAtsbaha
1995,73.2344874606275,AbrahaAtsbaha
1996,32.5443446987694,AbrahaAtsbaha
1997,28.649981167585,AbrahaAtsbaha
1998,59.6131592796356,AbrahaAtsbaha
1999,63.6937554119909,AbrahaAtsbaha
2000,24.0,AbrahaAtsbaha
2001,36.7,AbrahaAtsbaha
2002,19.3,AbrahaAtsbaha
2003,43.8,AbrahaAtsbaha
2004,28.2,AbrahaAtsbaha
2005,44.6,AbrahaAtsbaha
2006,62.3,AbrahaAtsbaha
2007,70.0,AbrahaAtsbaha
2008,69.9,AbrahaAtsbaha
2009,36.4,AbrahaAtsbaha
2010,67.6,AbrahaAtsbaha
2011,36.5,AbrahaAtsbaha
2012,32.4,AbrahaAtsbaha
2013,56.9,AbrahaAtsbaha
2014,53.7,AbrahaAtsbaha
1983,47.4991336447894,Abrekuy
1984,121.07011945047701,Abrekuy
1985,104.736022686151,Abrekuy
1986,100.94811089852301,Abrekuy
1987,98.43429175182742,Abrekuy
1988,109.986222616834,Abrekuy
1989,105.794235993853,Abrekuy
1990,109.40922611721399,Abrekuy
