Year,value,Village
1981,0.24695184062529998,AbaBikila
1982,0.248532511513547,AbaBikila
1983,0.22520413517902502,AbaBikila
1984,0.210916118433957,AbaBikila
1985,0.211746491867471,AbaBikila
1986,0.223708078759323,AbaBikila
1987,0.20042542770917698,AbaBikila
1988,0.21248995322199699,AbaBikila
1989,0.22810700996343802,AbaBikila
1990,0.22566850777860298,AbaBikila
1991,0.217023876131042,AbaBikila
1992,0.24232641041638103,AbaBikila
1993,0.196019632039293,AbaBikila
1994,0.264202214736255,AbaBikila
1995,0.20532078459683198,AbaBikila
1996,0.19436115441714802,AbaBikila
1997,0.19380757212813898,AbaBikila
1998,0.222088490321346,AbaBikila
1999,0.230902407637119,AbaBikila
2000,0.23907379999999998,AbaBikila
2001,0.2162842,AbaBikila
2002,0.17984360000000002,AbaBikila
2003,0.236156,AbaBikila
2004,0.2145165,AbaBikila
2005,0.21720589999999998,AbaBikila
2006,0.207054,AbaBikila
2007,0.230906,AbaBikila
2008,0.2089099,AbaBikila
2009,0.21948070000000003,AbaBikila
2010,0.21818220000000002,AbaBikila
2011,0.2186669,AbaBikila
2012,0.2051015,AbaBikila
2013,0.213414,AbaBikila
2014,0.27429390000000003,AbaBikila
2015,0.20773320000000003,AbaBikila
2016,0.20477379999999998,AbaBikila
2017,0.23191509999999999,AbaBikila
2018,0.24348899999999998,AbaBikila
2019,0.23743270000000002,AbaBikila
1981,0.360875154527641,Abara
1982,0.381017548063463,Abara
1983,0.27747712989893103,Abara
1984,0.194379930156388,Abara
1985,0.33002975111277194,Abara
1986,0.27618309156804804,Abara
1987,0.283285096333602,Abara
1988,0.367335146620071,Abara
1989,0.33487479182643204,Abara
1990,0.371387731121297,Abara
1991,0.30804167220445,Abara
1992,0.388320185676396,Abara
1993,0.312876699933476,Abara
1994,0.36861917196632,Abara
1995,0.291420242097505,Abara
1996,0.265931412306927,Abara
1997,0.292874799144782,Abara
1998,0.34918906857341303,Abara
1999,0.3443841419907381,Abara
2000,0.40601609999999994,Abara
2001,0.33638470000000004,Abara
2002,0.2575612,Abara
2003,0.30749040000000005,Abara
2004,0.3220602,Abara
2005,0.32944009999999996,Abara
2006,0.31860720000000003,Abara
2007,0.316635,Abara
2008,0.3602276,Abara
2009,0.365494,Abara
2010,0.35742840000000003,Abara
2011,0.3034115,Abara
2012,0.3324973,Abara
2013,0.3398873,Abara
2014,0.3723807,Abara
2015,0.2601041,Abara
2016,0.29830359999999995,Abara
2017,0.37860520000000003,Abara
2018,0.3346205,Abara
2019,0.35920040000000003,Abara
1981,0.369963490652252,Abarwuha
1982,0.356706102438656,Abarwuha
1983,0.349882735863121,Abarwuha
1984,0.304292207849354,Abarwuha
1985,0.35583547414576394,Abarwuha
1986,0.308107366943606,Abarwuha
1987,0.29165767498940603,Abarwuha
1988,0.320189786564335,Abarwuha
1989,0.336483731766609,Abarwuha
1990,0.38631409098462893,Abarwuha
1991,0.32503127681871996,Abarwuha
1992,0.34165084639385807,Abarwuha
1993,0.298141286323065,Abarwuha
1994,0.350597617404086,Abarwuha
1995,0.285938491007624,Abarwuha
1996,0.246279504972983,Abarwuha
1997,0.261348935771478,Abarwuha
1998,0.300887589996092,Abarwuha
1999,0.321902693642725,Abarwuha
2000,0.3700676,Abarwuha
2001,0.29478709999999997,Abarwuha
2002,0.27651620000000005,Abarwuha
2003,0.33873559999999997,Abarwuha
2004,0.3302231,Abarwuha
2005,0.3480026,Abarwuha
2006,0.3150191,Abarwuha
2007,0.2907817,Abarwuha
2008,0.26244720000000005,Abarwuha
2009,0.3317602,Abarwuha
2010,0.308227,Abarwuha
2011,0.3261573,Abarwuha
2012,0.28409009999999996,Abarwuha
2013,0.33961679999999994,Abarwuha
2014,0.3235201,Abarwuha
2015,0.3122868,Abarwuha
2016,0.31274040000000003,Abarwuha
2017,0.2971942,Abarwuha
2018,0.3248992,Abarwuha
2019,0.3297796,Abarwuha
1981,0.38730359994740204,Abaselima
1982,0.387279646520147,Abaselima
1983,0.303850526823234,Abaselima
1984,0.22779542891926602,Abaselima
