Year,value,Village
1983,104.4,AbaBikila
1984,97.44815126050419,AbaBikila
1985,137.8657142857143,AbaBikila
1986,153.48529411764707,AbaBikila
1987,61.3,AbaBikila
1988,190.6657142857143,AbaBikila
1989,113.6205368814192,AbaBikila
1990,91.10000000000001,AbaBikila
1991,79.5,AbaBikila
1992,114.10000000000001,AbaBikila
1993,143.10000000000002,AbaBikila
1994,182.8,AbaBikila
1995,110.43823529411765,AbaBikila
1996,207.50000000000003,AbaBikila
1997,102.5,AbaBikila
1998,285.70000000000005,AbaBikila
1999,228.5,AbaBikila
2000,163.20000000000002,AbaBikila
2001,121.5,AbaBikila
2002,106.30000000000001,AbaBikila
2003,183.89999999999998,AbaBikila
2004,82.6,AbaBikila
2005,223.0,AbaBikila
2006,248.6382352941176,AbaBikila
2007,157.4,AbaBikila
2008,161.3,AbaBikila
2009,146.8,AbaBikila
2010,243.7,AbaBikila
2011,146.5,AbaBikila
2012,150.5,AbaBikila
2013,132.2,AbaBikila
2014,185.6,AbaBikila
2015,181.6269607843141,AbaBikila
2016,88.8,AbaBikila
2017,184.09999999999997,AbaBikila
2018,187.2,AbaBikila
2019,164.79999999999998,AbaBikila
1983,53.6485714285714,Abara
1984,78.5,Abara
1985,62.342857142857106,Abara
1986,80.5,Abara
1987,33.9,Abara
1988,78.64285714285711,Abara
1989,53.6612745098039,Abara
1990,118.8,Abara
1991,56.8,Abara
1992,59.0,Abara
1993,92.04857142857139,Abara
1994,65.6,Abara
1995,30.5029411764706,Abara
1996,39.7,Abara
1997,112.9,Abara
1998,97.89999999999999,Abara
1999,80.69999999999999,Abara
2000,100.7,Abara
2001,25.8,Abara
2002,42.6,Abara
2003,79.4,Abara
2004,65.89999999999999,Abara
2005,85.0,Abara
2006,61.802941176470604,Abara
2007,95.5,Abara
2008,57.39999999999999,Abara
2009,50.4,Abara
2010,57.60000000000001,Abara
2011,34.2,Abara
2012,80.9,Abara
2013,76.6,Abara
2014,86.5,Abara
2015,81.3,Abara
2016,56.3,Abara
2017,53.099999999999994,Abara
2018,55.599999999999994,Abara
2019,147.9,Abara
1983,107.89142857142859,Abarwuha
1984,132.8894957983193,Abarwuha
1985,140.94,Abarwuha
1986,154.7323529411765,Abarwuha
1987,107.5,Abarwuha
1988,170.64,Abarwuha
1989,93.4844304388421,Abarwuha
1990,174.1,Abarwuha
1991,146.29999999999998,Abarwuha
1992,109.9,Abarwuha
1993,165.8914285714286,Abarwuha
1994,115.5,Abarwuha
1995,64.9911764705882,Abarwuha
1996,138.10000000000002,Abarwuha
1997,194.10000000000002,Abarwuha
1998,197.60000000000002,Abarwuha
1999,136.2,Abarwuha
2000,152.10000000000002,Abarwuha
2001,89.30000000000001,Abarwuha
2002,121.09999999999998,Abarwuha
2003,151.8,Abarwuha
2004,136.5,Abarwuha
2005,153.4,Abarwuha
2006,140.4911764705882,Abarwuha
2007,158.8,Abarwuha
2008,106.7,Abarwuha
2009,96.0,Abarwuha
2010,114.3,Abarwuha
2011,96.0,Abarwuha
2012,92.7,Abarwuha
2013,144.70000000000002,Abarwuha
2014,173.0,Abarwuha
2015,239.2323529411765,Abarwuha
2016,93.4,Abarwuha
2017,115.9,Abarwuha
2018,156.4,Abarwuha
2019,213.7,Abarwuha
1983,64.8085714285714,Abaselima
1984,87.7,Abaselima
1985,76.78,Abaselima
1986,78.0,Abaselima
1987,40.3,Abaselima
1988,90.08000000000001,Abaselima
1989,57.8748366013072,Abaselima
1990,129.8,Abaselima
1991,66.2,Abaselima
1992,66.6,Abaselima
1993,98.20857142857139,Abaselima
1994,84.3,Abaselima
1995,35.2470588235294,Abaselima
1996,40.2,Abaselima
1997,122.5,Abaselima
1998,117.2,Abaselima
1999,84.69999999999999,Abaselima
2000,110.6,Abaselima
2001,32.3,Abaselima
2002,41.900000000000006,Abaselima
2003,91.5,Abaselima
2004,82.10000000000001,Abaselima
2005,100.0,Abaselima
2006,73.4470588235294,Abaselima
2007,96.30000000000001,Abaselima
2008,57.8,Abaselima
2009,48.3,Abaselima
2010,66.8,Abaselima
2011,45.900000000000006,Abaselima
2012,69.7,Abaselima
2013,79.9,Abaselima
2014,90.30000000000001,Abaselima
2015,95.60000000000001,Abaselima
2016,59.6,Abaselima
2017,62.3,Abaselima
2018,63.3,Abaselima
2019,157.20000000000002,Abaselima
1983,94.2,Abina
1984,95.6216806722689,Abina
1985,142.67999999999998,Abina
1986,166.9588235294118,Abina
1987,61.7,Abina
1988,198.27999999999997,Abina
1989,115.2623669467787,Abina
1990,88.2,Abina
1991,81.7,Abina
1992,113.10000000000001,Abina
1993,143.5,Abina
1994,192.0,Abina
1995,114.84117647058824,Abina
1996,202.0,Abina
1997,98.80000000000001,Abina
1998,288.6,Abina
1999,232.90000000000003,Abina
2000,169.3,Abina
2001,124.3,Abina
2002,109.5,Abina
2003,183.29999999999998,Abina
2004,82.6,Abina
2005,232.30000000000004,Abina
2006,249.24117647058824,Abina
2007,162.5,Abina
2008,174.0,Abina
2009,146.1,Abina
2010,244.0,Abina
2011,141.39999999999998,Abina
2012,143.5,Abina
2013,133.39999999999998,Abina
2014,197.8,Abina
2015,184.9060457516338,Abina
2016,91.0,Abina
2017,187.0,Abina
2018,188.0,Abina
2019,177.2,Abina
1983,107.89999999999999,AbrahaAtsbaha
1984,73.23245734657499,AbrahaAtsbaha
1985,85.6,AbrahaAtsbaha
1986,90.52388591800351,AbrahaAtsbaha
1987,71.0121212121212,AbrahaAtsbaha
1988,103.6,AbrahaAtsbaha
1989,74.9085714285714,AbrahaAtsbaha
1990,43.3,AbrahaAtsbaha
1991,48.4,AbrahaAtsbaha
1992,175.8,AbrahaAtsbaha
1993,91.4121212121212,AbrahaAtsbaha
1994,154.9,AbrahaAtsbaha
1995,123.6,AbrahaAtsbaha
1996,146.70000000000002,AbrahaAtsbaha
1997,82.1,AbrahaAtsbaha
1998,308.90000000000003,AbrahaAtsbaha
1999,188.2,AbrahaAtsbaha
2000,178.79999999999998,AbrahaAtsbaha
2001,181.8,AbrahaAtsbaha
2002,141.5,AbrahaAtsbaha
2003,201.89999999999998,AbrahaAtsbaha
2004,55.8,AbrahaAtsbaha
2005,157.0,AbrahaAtsbaha
2006,170.5,AbrahaAtsbaha
2007,135.6,AbrahaAtsbaha
2008,93.69999999999999,AbrahaAtsbaha
2009,146.6,AbrahaAtsbaha
2010,241.9,AbrahaAtsbaha
2011,106.60000000000001,AbrahaAtsbaha
2012,95.5,AbrahaAtsbaha
2013,122.80000000000001,AbrahaAtsbaha
2014,164.0,AbrahaAtsbaha
2015,132.4117647058824,AbrahaAtsbaha
2016,96.0,AbrahaAtsbaha
2017,237.89999999999998,AbrahaAtsbaha
2018,150.6,AbrahaAtsbaha
2019,88.8,AbrahaAtsbaha
1983,74.0685714285714,Abrekuy
1984,77.5,Abrekuy
1985,79.0028571428571,Abrekuy
1986,90.0,Abrekuy
1987,41.8,Abrekuy
1988,98.1028571428571,Abrekuy
1989,56.01241830065361,Abrekuy
1990,123.1,Abrekuy
1991,71.0,Abrekuy
1992,69.3,Abrekuy
1993,101.0685714285714,Abrekuy
1994,92.6,Abrekuy
1995,34.8735294117647,Abrekuy
1996,44.0,Abrekuy
1997,122.30000000000001,Abrekuy
1998,121.19999999999999,Abrekuy
1999,75.5,Abrekuy
2000,105.9,Abrekuy
2001,36.7,Abrekuy
2002,49.7,Abrekuy
2003,89.7,Abrekuy
2004,90.3,Abrekuy
2005,98.80000000000001,Abrekuy
2006,80.9735294117647,Abrekuy
2007,97.0,Abrekuy
2008,58.8,Abrekuy
2009,57.0,Abrekuy
2010,82.8,Abrekuy
2011,51.8,Abrekuy
2012,85.0,Abrekuy
2013,86.2,Abrekuy
2014,116.0,Abrekuy
2015,89.79999999999998,Abrekuy
2016,60.0,Abrekuy
2017,62.0,Abrekuy
2018,62.6,Abrekuy
2019,153.9,Abrekuy
1983,118.60000000000001,AdekeAla
1984,117.4606544435956,AdekeAla
1985,130.1628571428572,AdekeAla
1986,176.2835115864527,AdekeAla
1987,95.4393939393939,AdekeAla
1988,178.7628571428571,AdekeAla
1989,112.6771428571429,AdekeAla
1990,80.4,AdekeAla
1991,109.19999999999999,AdekeAla
1992,233.7,AdekeAla
1993,139.63939393939393,AdekeAla
1994,273.0,AdekeAla
1995,197.3,AdekeAla
1996,270.40000000000003,AdekeAla
1997,115.1,AdekeAla
1998,395.29999999999995,AdekeAla
1999,290.6,AdekeAla
2000,250.0,AdekeAla
2001,262.6,AdekeAla
2002,185.5,AdekeAla
2003,277.5,AdekeAla
2004,126.5,AdekeAla
2005,237.2,AdekeAla
2006,244.1,AdekeAla
2007,176.39999999999998,AdekeAla
2008,175.1,AdekeAla
2009,178.0,AdekeAla
2010,362.7,AdekeAla
2011,161.79999999999998,AdekeAla
2012,146.29999999999998,AdekeAla
2013,238.79999999999998,AdekeAla
2014,248.70000000000002,AdekeAla
2015,204.89689542483663,AdekeAla
2016,143.5,AdekeAla
2017,329.1,AdekeAla
2018,256.0,AdekeAla
2019,179.20000000000002,AdekeAla
1983,96.6,Adekiney
1984,88.7060606060606,Adekiney
1985,79.6,Adekiney
1986,167.3424891774892,Adekiney
1987,120.5341558441559,Adekiney
1988,205.4,Adekiney
1989,126.10000000000001,Adekiney
1990,79.8,Adekiney
1991,84.10000000000001,Adekiney
1992,214.79999999999998,Adekiney
1993,95.3060606060606,Adekiney
1994,167.0,Adekiney
1995,213.60000000000002,Adekiney
1996,95.2,Adekiney
1997,109.7,Adekiney
1998,241.7,Adekiney
1999,131.5,Adekiney
2000,237.0,Adekiney
2001,270.59999999999997,Adekiney
2002,157.8,Adekiney
2003,198.1,Adekiney
2004,147.8,Adekiney
2005,134.8,Adekiney
2006,131.4,Adekiney
2007,180.0,Adekiney
2008,109.19999999999999,Adekiney
2009,106.9,Adekiney
2010,198.89999999999998,Adekiney
2011,181.9,Adekiney
2012,198.5,Adekiney
2013,191.70000000000002,Adekiney
2014,177.6,Adekiney
2015,112.00000000000001,Adekiney
2016,240.6,Adekiney
2017,154.5,Adekiney
2018,165.7,Adekiney
2019,167.79999999999998,Adekiney
1983,102.80000000000001,AderSeg
1984,94.7508403361345,AderSeg
1985,135.0,AderSeg
1986,149.5794117647059,AderSeg
1987,59.699999999999996,AderSeg
1988,185.8,AderSeg
1989,111.22387955182076,AderSeg
1990,88.6,AderSeg
1991,77.5,AderSeg
1992,111.89999999999999,AderSeg
1993,139.4,AderSeg
1994,178.8,AderSeg
1995,108.84411764705885,AderSeg
1996,203.59999999999997,AderSeg
1997,99.19999999999999,AderSeg
1998,280.4,AderSeg
1999,224.10000000000002,AderSeg
2000,159.4,AderSeg
2001,119.3,AderSeg
2002,103.5,AderSeg
2003,180.3,AderSeg
2004,80.70000000000002,AderSeg
2005,218.8,AderSeg
2006,248.34411764705882,AderSeg
2007,157.1,AderSeg
2008,159.6,AderSeg
2009,143.0,AderSeg
2010,240.90000000000003,AderSeg
2011,138.9,AderSeg
2012,141.4,AderSeg
2013,129.1,AderSeg
2014,189.0,AderSeg
2015,177.2321895424839,AderSeg
2016,87.5,AderSeg
2017,183.4,AderSeg
2018,181.9,AderSeg
2019,160.4,AderSeg
1983,107.5,Adibearj
1984,120.4406722689076,Adibearj
1985,123.68285714285719,Adibearj
1986,124.12352941176471,Adibearj
1987,90.7,Adibearj
1988,145.0828571428571,Adibearj
1989,91.3171428571429,Adibearj
1990,94.99999999999999,Adibearj
1991,77.89999999999999,Adibearj
1992,120.49999999999999,Adibearj
1993,112.4,Adibearj
1994,140.9,Adibearj
1995,111.9,Adibearj
1996,178.4,Adibearj
1997,78.2,Adibearj
1998,224.8,Adibearj
1999,187.5,Adibearj
2000,134.1,Adibearj
2001,118.2,Adibearj
2002,138.9,Adibearj
2003,155.1,Adibearj
2004,92.19999999999999,Adibearj
2005,170.9,Adibearj
2006,197.29999999999998,Adibearj
2007,144.8,Adibearj
2008,142.8,Adibearj
2009,158.1,Adibearj
2010,183.1,Adibearj
2011,124.8,Adibearj
2012,134.0,Adibearj
2013,120.1,Adibearj
2014,211.6,Adibearj
2015,161.2290849673203,Adibearj
2016,115.6,Adibearj
2017,177.1,Adibearj
2018,179.4,Adibearj
2019,140.1,Adibearj
1983,12.811428571428568,AdiHa
1984,25.0,AdiHa
1985,14.98,AdiHa
1986,24.800000000000004,AdiHa
1987,11.799999999999999,AdiHa
1988,36.98,AdiHa
1989,16.21062091503267,AdiHa
1990,21.799999999999997,AdiHa
1991,34.7,AdiHa
1992,21.299999999999997,AdiHa
1993,24.511428571428574,AdiHa
1994,27.200000000000003,AdiHa
1995,11.74117647058823,AdiHa
1996,17.7,AdiHa
1997,13.399999999999999,AdiHa
1998,52.900000000000006,AdiHa
1999,50.6,AdiHa
2000,42.400000000000006,AdiHa
2001,17.7,AdiHa
2002,18.9,AdiHa
2003,30.599999999999998,AdiHa
2004,15.8,AdiHa
2005,27.1,AdiHa
2006,13.941176470588228,AdiHa
2007,7.6,AdiHa
2008,23.5,AdiHa
2009,5.6,AdiHa
2010,25.3,AdiHa
2011,13.9,AdiHa
2012,7.2,AdiHa
2013,24.5,AdiHa
2014,38.4,AdiHa
2015,29.6,AdiHa
2016,20.9,AdiHa
2017,29.3,AdiHa
2018,20.3,AdiHa
2019,54.2,AdiHa
1983,103.5,AdiKisandid
1984,62.46486121721409,AdiKisandid
1985,87.0,AdiKisandid
1986,86.5277183600713,AdiKisandid
1987,62.34242424242421,AdiKisandid
1988,98.3,AdiKisandid
1989,81.43714285714292,AdiKisandid
1990,41.9,AdiKisandid
1991,39.4,AdiKisandid
1992,170.5,AdiKisandid
1993,88.64242424242421,AdiKisandid
1994,146.8,AdiKisandid
1995,116.3,AdiKisandid
1996,142.4,AdiKisandid
1997,84.5,AdiKisandid
1998,302.59999999999997,AdiKisandid
1999,185.39999999999998,AdiKisandid
2000,171.10000000000002,AdiKisandid
2001,174.20000000000002,AdiKisandid
2002,140.60000000000002,AdiKisandid
2003,197.3,AdiKisandid
2004,51.8,AdiKisandid
2005,152.5,AdiKisandid
2006,161.9,AdiKisandid
2007,130.2,AdiKisandid
2008,89.0,AdiKisandid
2009,143.60000000000002,AdiKisandid
2010,223.29999999999998,AdiKisandid
2011,99.6,AdiKisandid
2012,89.4,AdiKisandid
2013,117.60000000000001,AdiKisandid
2014,151.1,AdiKisandid
2015,119.7519607843138,AdiKisandid
2016,87.99999999999999,AdiKisandid
2017,219.89999999999998,AdiKisandid
2018,135.3,AdiKisandid
2019,78.89999999999999,AdiKisandid
1983,73.4,Adisalem
1984,100.0257142857143,Adisalem
1985,100.8285714285714,Adisalem
1986,126.30000000000001,Adisalem
1987,49.5,Adisalem
1988,139.7285714285714,Adisalem
1989,69.4680345471522,Adisalem
1990,145.89999999999998,Adisalem
1991,109.0,Adisalem
1992,84.0,Adisalem
1993,144.5,Adisalem
1994,99.69999999999999,Adisalem
1995,49.0117647058824,Adisalem
1996,79.6,Adisalem
1997,110.2,Adisalem
1998,134.4,Adisalem
1999,119.80000000000001,Adisalem
2000,128.3,Adisalem
2001,64.5,Adisalem
2002,82.8,Adisalem
2003,100.5,Adisalem
2004,101.69999999999999,Adisalem
2005,111.8,Adisalem
2006,102.41176470588239,Adisalem
2007,147.8,Adisalem
2008,103.8,Adisalem
2009,75.3,Adisalem
2010,94.10000000000001,Adisalem
2011,69.80000000000001,Adisalem
2012,86.9,Adisalem
2013,115.8,Adisalem
2014,156.7,Adisalem
2015,136.70000000000002,Adisalem
2016,65.8,Adisalem
2017,86.8,Adisalem
2018,100.1,Adisalem
2019,213.89999999999998,Adisalem
1983,128.5,AdisAlemS
1984,124.09218996689579,AdisAlemS
1985,126.26857142857139,AdisAlemS
1986,176.8236185383244,AdisAlemS
1987,112.9030303030303,AdisAlemS
1988,182.96857142857138,AdisAlemS
1989,115.7685714285714,AdisAlemS
1990,88.3,AdisAlemS
1991,117.30000000000001,AdisAlemS
1992,247.6,AdisAlemS
1993,138.6030303030303,AdisAlemS
1994,281.3,AdisAlemS
1995,201.0,AdisAlemS
1996,268.7,AdisAlemS
1997,113.39999999999999,AdisAlemS
1998,395.6,AdisAlemS
1999,288.7,AdisAlemS
2000,252.20000000000002,AdisAlemS
2001,266.8,AdisAlemS
2002,191.5,AdisAlemS
2003,284.59999999999997,AdisAlemS
2004,134.3,AdisAlemS
2005,244.5,AdisAlemS
2006,248.9,AdisAlemS
2007,182.60000000000002,AdisAlemS
2008,181.4,AdisAlemS
2009,184.6,AdisAlemS
2010,360.79999999999995,AdisAlemS
2011,165.2,AdisAlemS
2012,149.10000000000002,AdisAlemS
2013,242.7,AdisAlemS
2014,259.5,AdisAlemS
2015,208.31503267973852,AdisAlemS
2016,151.7,AdisAlemS
2017,335.0,AdisAlemS
2018,256.6,AdisAlemS
2019,180.8,AdisAlemS
1983,129.79999999999998,AdisAlemW
1984,107.6082683982684,AdisAlemW
1985,141.0,AdisAlemW
1986,170.587950937951,AdisAlemW
1987,148.8268398268398,AdisAlemW
1988,171.8,AdisAlemW
1989,139.9885714285714,AdisAlemW
1990,87.0,AdisAlemW
1991,117.1,AdisAlemW
1992,227.1,AdisAlemW
1993,139.669696969697,AdisAlemW
1994,173.8,AdisAlemW
1995,190.1,AdisAlemW
1996,193.1,AdisAlemW
1997,133.60000000000002,AdisAlemW
