gid,year,mean,rank,District,Zone,Region,Country
1,2015,1.4017819819643835,1,Minjarna Shenkora, North Shewa (K3),Amhara, Ethiopia
1,2014,1.5312136902356166,2,Minjarna Shenkora, North Shewa (K3),Amhara, Ethiopia
1,2002,1.5819517934136986,3,Minjarna Shenkora, North Shewa (K3),Amhara, Ethiopia
1,2009,1.8184906450493148,4,Minjarna Shenkora, North Shewa (K3),Amhara, Ethiopia
1,1984,1.8348409936885248,5,Minjarna Shenkora, North Shewa (K3),Amhara, Ethiopia
1,2018,1.8944188931747208,6,Minjarna Shenkora, North Shewa (K3),Amhara, Ethiopia
1,2012,1.9641980088442617,7,Minjarna Shenkora, North Shewa (K3),Amhara, Ethiopia
1,1987,1.98739704459452,8,Minjarna Shenkora, North Shewa (K3),Amhara, Ethiopia
1,2000,2.028944461423498,9,Minjarna Shenkora, North Shewa (K3),Amhara, Ethiopia
1,1982,2.0731129055150683,10,Minjarna Shenkora, North Shewa (K3),Amhara, Ethiopia
2,2015,1.6379817200000006,1,Mojana Wadera, North Shewa (K3),Amhara, Ethiopia
2,1984,1.9699744922131144,2,Mojana Wadera, North Shewa (K3),Amhara, Ethiopia
2,2002,2.073399035764384,3,Mojana Wadera, North Shewa (K3),Amhara, Ethiopia
2,1991,2.080127015934246,4,Mojana Wadera, North Shewa (K3),Amhara, Ethiopia
2,2014,2.1147671442191798,5,Mojana Wadera, North Shewa (K3),Amhara, Ethiopia
2,1992,2.129232360956284,6,Mojana Wadera, North Shewa (K3),Amhara, Ethiopia
2,2009,2.1840218601863017,7,Mojana Wadera, North Shewa (K3),Amhara, Ethiopia
2,2011,2.1906910406684936,8,Mojana Wadera, North Shewa (K3),Amhara, Ethiopia
2,1987,2.360619102682192,9,Mojana Wadera, North Shewa (K3),Amhara, Ethiopia
2,2012,2.383654566366121,10,Mojana Wadera, North Shewa (K3),Amhara, Ethiopia
3,2015,1.8455007255479443,1,Moretna Jiru, North Shewa (K3),Amhara, Ethiopia
