Region,District,Village,year,rank,_index
Bekily,Belindo Mahasoa,Antsakoamiary,2006,1,1
Bekily,Belindo Mahasoa,Antsakoamiary,2019,2,1
Bekily,Belindo Mahasoa,Antsakoamiary,2015,3,1
Bekily,Belindo Mahasoa,Antsakoamiary,2006,4,1
Bekily,Tanandava,Morafeno Haut,2015,1,2
Bekily,Tanandava,Morafeno Haut,2017,2,2
Bekily,Tanandava,Morafeno Haut,2018,3,2
Bekily,Tanandava,Morafeno Haut,2016,4,2
Bekily,Bekitro,Manambahy 1,2006,1,3
Bekily,Bekitro,Manambahy 2,1986,2,3
Bekily,Bekitro,Manambahy 3,2019,3,3
Bekily,Bekitro,Manambahy 4,2019,4,3
Ambovombe-Androy,Andalatanosy,Andalatanosy centre,1991,1,4
Ambovombe-Androy,Andalatanosy,Andalatanosy centre,1986,2,4
Ambovombe-Androy,Andalatanosy,Andalatanosy centre,2006,3,4
Ambovombe-Androy,Andalatanosy,Andalatanosy centre,2006,4,4
Bekily,Bekitro,Ankaratsokake,1984,1,5
Bekily,Bekitro,Ankaratsokake,2006,2,5
Bekily,Bekitro,Ankaratsokake,2019,3,5
Bekily,Bekitro,Ankaratsokake,2019,4,5
Bekily,Ambatosola,FENOARIVO,1984,1,6
Bekily,Ambatosola,FENOARIVO,2006,2,6
Bekily,Ambatosola,FENOARIVO,2017,3,6
Bekily,Ambatosola,FENOARIVO,2017,4,6
Bekily,Ambatosola,ANADABOLAVA,1984,1,7
Bekily,Ambatosola,ANADABOLAVA,2006,2,7
Bekily,Ambatosola,ANADABOLAVA,2015,3,7
Bekily,Ambatosola,ANADABOLAVA,2019,4,7
Bekily,Belindo Mahasoa,Mahabo,1984,1,8
Bekily,Belindo Mahasoa,Mahabo,1996,2,8
Bekily,Belindo Mahasoa,Mahabo,2017,3,8
Bekily,Belindo Mahasoa,Mahabo,2019,4,8
