gid,year,mean,rank,district,Zone,region,Country
1,1997,2.301369863,10,Minjarna Shenkora, North Shewa (K3),Amhara, Ethiopia
1,2014,2.416438356,9,Minjarna Shenkora, North Shewa (K3),Amhara, Ethiopia
1,2002,2.449315068,8,Minjarna Shenkora, North Shewa (K3),Amhara, Ethiopia
1,1984,2.505464481,7,Minjarna Shenkora, North Shewa (K3),Amhara, Ethiopia
1,1992,2.543715847,6,Minjarna Shenkora, North Shewa (K3),Amhara, Ethiopia
1,1994,2.561643836,5,Minjarna Shenkora, North Shewa (K3),Amhara, Ethiopia
1,1999,2.591780822,4,Minjarna Shenkora, North Shewa (K3),Amhara, Ethiopia
1,1995,2.632876712,3,Minjarna Shenkora, North Shewa (K3),Amhara, Ethiopia
1,2011,2.684931507,2,Minjarna Shenkora, North Shewa (K3),Amhara, Ethiopia
1,2012,2.691256831,1,Minjarna Shenkora, North Shewa (K3),Amhara, Ethiopia
2,1997,2.21369863,10,Mojana Wadera, North Shewa (K3),Amhara, Ethiopia
2,2014,2.41369863,9,Mojana Wadera, North Shewa (K3),Amhara, Ethiopia
2,1984,2.418032787,8,Mojana Wadera, North Shewa (K3),Amhara, Ethiopia
2,2002,2.484931507,7,Mojana Wadera, North Shewa (K3),Amhara, Ethiopia
2,1992,2.519125683,6,Mojana Wadera, North Shewa (K3),Amhara, Ethiopia
2,1999,2.531506849,5,Mojana Wadera, North Shewa (K3),Amhara, Ethiopia
2,1994,2.553424658,4,Mojana Wadera, North Shewa (K3),Amhara, Ethiopia
2,1988,2.696721311,3,Mojana Wadera, North Shewa (K3),Amhara, Ethiopia
2,1986,2.709589041,2,Mojana Wadera, North Shewa (K3),Amhara, Ethiopia
2,1995,2.720547945,1,Mojana Wadera, North Shewa (K3),Amhara, Ethiopia
3,1997,2.301369863,10,Moretna Jiru, North Shewa (K3),Amhara, Ethiopia
3,2014,2.416438356,9,Moretna Jiru, North Shewa (K3),Amhara, Ethiopia
3,2002,2.449315068,8,Moretna Jiru, North Shewa (K3),Amhara, Ethiopia
3,1984,2.505464481,7,Moretna Jiru, North Shewa (K3),Amhara, Ethiopia
3,1992,2.543715847,6,Moretna Jiru, North Shewa (K3),Amhara, Ethiopia
3,1994,2.561643836,5,Moretna Jiru, North Shewa (K3),Amhara, Ethiopia
3,1999,2.591780822,4,Moretna Jiru, North Shewa (K3),Amhara, Ethiopia
3,1995,2.632876712,3,Moretna Jiru, North Shewa (K3),Amhara, Ethiopia
3,2011,2.684931507,2,Moretna Jiru, North Shewa (K3),Amhara, Ethiopia
3,2012,2.691256831,1,Moretna Jiru, North Shewa (K3),Amhara, Ethiopia
4,1997,2.21369863,10,Siya Debirna Wayu & Ensaro, North Shewa (K3),Amhara, Ethiopia
4,2014,2.41369863,9,Siya Debirna Wayu & Ensaro, North Shewa (K3),Amhara, Ethiopia
4,1984,2.418032787,8,Siya Debirna Wayu & Ensaro, North Shewa (K3),Amhara, Ethiopia
4,2002,2.484931507,7,Siya Debirna Wayu & Ensaro, North Shewa (K3),Amhara, Ethiopia
4,1992,2.519125683,6,Siya Debirna Wayu & Ensaro, North Shewa (K3),Amhara, Ethiopia
