gid,year,mean,rank,district,Zone,region,Country
1,1997,2.3013698630136985,1,Minjarna Shenkora, North Shewa (K3),Amhara, Ethiopia
1,2014,2.4164383561643836,2,Minjarna Shenkora, North Shewa (K3),Amhara, Ethiopia
1,2002,2.4493150684931506,3,Minjarna Shenkora, North Shewa (K3),Amhara, Ethiopia
1,1984,2.5054644808743167,4,Minjarna Shenkora, North Shewa (K3),Amhara, Ethiopia
1,1992,2.5437158469945356,5,Minjarna Shenkora, North Shewa (K3),Amhara, Ethiopia
1,1994,2.5616438356164384,6,Minjarna Shenkora, North Shewa (K3),Amhara, Ethiopia
1,1999,2.591780821917808,7,Minjarna Shenkora, North Shewa (K3),Amhara, Ethiopia
1,1995,2.632876712328767,8,Minjarna Shenkora, North Shewa (K3),Amhara, Ethiopia
1,2011,2.684931506849315,9,Minjarna Shenkora, North Shewa (K3),Amhara, Ethiopia
1,2012,2.691256830601093,10,Minjarna Shenkora, North Shewa (K3),Amhara, Ethiopia
2,1997,2.213698630136986,1,Mojana Wadera, North Shewa (K3),Amhara, Ethiopia
2,2014,2.4136986301369863,2,Mojana Wadera, North Shewa (K3),Amhara, Ethiopia
2,1984,2.418032786885246,3,Mojana Wadera, North Shewa (K3),Amhara, Ethiopia
2,2002,2.484931506849315,4,Mojana Wadera, North Shewa (K3),Amhara, Ethiopia
2,1992,2.519125683060109,5,Mojana Wadera, North Shewa (K3),Amhara, Ethiopia
2,1999,2.5315068493150683,6,Mojana Wadera, North Shewa (K3),Amhara, Ethiopia
2,1994,2.5534246575342467,7,Mojana Wadera, North Shewa (K3),Amhara, Ethiopia
2,1988,2.69672131147541,8,Mojana Wadera, North Shewa (K3),Amhara, Ethiopia
2,1986,2.7095890410958905,9,Mojana Wadera, North Shewa (K3),Amhara, Ethiopia
2,1995,2.7205479452054795,10,Mojana Wadera, North Shewa (K3),Amhara, Ethiopia
3,1997,2.3013698630136985,1,Moretna Jiru, North Shewa (K3),Amhara, Ethiopia
3,2014,2.4164383561643836,2,Moretna Jiru, North Shewa (K3),Amhara, Ethiopia
3,2002,2.4493150684931506,3,Moretna Jiru, North Shewa (K3),Amhara, Ethiopia
3,1984,2.5054644808743167,4,Moretna Jiru, North Shewa (K3),Amhara, Ethiopia
3,1992,2.5437158469945356,5,Moretna Jiru, North Shewa (K3),Amhara, Ethiopia
3,1994,2.5616438356164384,6,Moretna Jiru, North Shewa (K3),Amhara, Ethiopia
3,1999,2.591780821917808,7,Moretna Jiru, North Shewa (K3),Amhara, Ethiopia
3,1995,2.632876712328767,8,Moretna Jiru, North Shewa (K3),Amhara, Ethiopia
3,2011,2.684931506849315,9,Moretna Jiru, North Shewa (K3),Amhara, Ethiopia
3,2012,2.691256830601093,10,Moretna Jiru, North Shewa (K3),Amhara, Ethiopia
4,1997,2.213698630136986,1,Siya Debirna Wayu & Ensaro, North Shewa (K3),Amhara, Ethiopia
4,2014,2.4136986301369863,2,Siya Debirna Wayu & Ensaro, North Shewa (K3),Amhara, Ethiopia
4,1984,2.418032786885246,3,Siya Debirna Wayu & Ensaro, North Shewa (K3),Amhara, Ethiopia
4,2002,2.484931506849315,4,Siya Debirna Wayu & Ensaro, North Shewa (K3),Amhara, Ethiopia
4,1992,2.519125683060109,5,Siya Debirna Wayu & Ensaro, North Shewa (K3),Amhara, Ethiopia
4,1999,2.5315068493150683,6,Siya Debirna Wayu & Ensaro, North Shewa (K3),Amhara, Ethiopia
4,1994,2.5534246575342467,7,Siya Debirna Wayu & Ensaro, North Shewa (K3),Amhara, Ethiopia
4,1988,2.69672131147541,8,Siya Debirna Wayu & Ensaro, North Shewa (K3),Amhara, Ethiopia
4,1986,2.7095890410958905,9,Siya Debirna Wayu & Ensaro, North Shewa (K3),Amhara, Ethiopia
4,1995,2.7205479452054795,10,Siya Debirna Wayu & Ensaro, North Shewa (K3),Amhara, Ethiopia
5,1997,2.180136987123287,1,Tarmaber, North Shewa (K3),Amhara, Ethiopia
5,2002,2.3633561652054795,2,Tarmaber, North Shewa (K3),Amhara, Ethiopia
5,2014,2.384931506849315,3,Tarmaber, North Shewa (K3),Amhara, Ethiopia
5,1984,2.450136612568306,4,Tarmaber, North Shewa (K3),Amhara, Ethiopia
5,1999,2.4599315071232875,5,Tarmaber, North Shewa (K3),Amhara, Ethiopia
5,1992,2.468237706010929,6,Tarmaber, North Shewa (K3),Amhara, Ethiopia
