"Region","District","Village","year","rank"
"Tigray","Tanqua-Abergele","Tekleweyni","1984","1"
"Tigray","Tanqua-Abergele","Tekleweyni","2015","2"
"Tigray","Tanqua-Abergele","Tekleweyni","1997","3"
"Tigray","Tanqua-Abergele","Tekleweyni","2002","4"
"Tigray","Tanqua-Abergele","Tekleweyni","1987","5"
"Tigray","Tanqua-Abergele","Tekleweyni","1989","6"
"Tigray","Tanqua-Abergele","Tekleweyni","1993","7"
"Tigray","Tanqua-Abergele","Tekleweyni","2004","8"
"Tigray","Tanqua-Abergele","Tekleweyni","2006","9"
"Tigray","Tanqua-Abergele","Tekleweyni","2018","10"
"Tigray","Tanqua-Abergele","Siye","1984","1"
"Tigray","Tanqua-Abergele","Siye","2015","2"
"Tigray","Tanqua-Abergele","Siye","1997","3"
"Tigray","Tanqua-Abergele","Siye","2002","4"
"Tigray","Tanqua-Abergele","Siye","1989","5"
"Tigray","Tanqua-Abergele","Siye","1990","6"
"Tigray","Tanqua-Abergele","Siye","1993","7"
"Tigray","Tanqua-Abergele","Siye","2004","8"
"Tigray","Tanqua-Abergele","Siye","1987","9"
"Tigray","Tanqua-Abergele","Siye","2009","10"
"Tigray","Tanqua-Abergele","Tseykeme","1984","1"
"Tigray","Tanqua-Abergele","Tseykeme","2015","2"
"Tigray","Tanqua-Abergele","Tseykeme","1997","3"
"Tigray","Tanqua-Abergele","Tseykeme","1990","4"
"Tigray","Tanqua-Abergele","Tseykeme","2017","5"
"Tigray","Tanqua-Abergele","Tseykeme","2000","6"
"Tigray","Tanqua-Abergele","Tseykeme","2002","7"
"Tigray","Tanqua-Abergele","Tseykeme","1994","8"
"Tigray","Tanqua-Abergele","Tseykeme","1992","9"
"Tigray","Tanqua-Abergele","Tseykeme","1986","10"
"Tigray","Tanqua-Abergele","Simret","1984","1"
"Tigray","Tanqua-Abergele","Simret","1997","2"
"Tigray","Tanqua-Abergele","Simret","2007","3"
"Tigray","Tanqua-Abergele","Simret","2015","4"
"Tigray","Tanqua-Abergele","Simret","1987","5"
"Tigray","Tanqua-Abergele","Simret","2002","6"
"Tigray","Tanqua-Abergele","Simret","1993","7"
"Tigray","Tanqua-Abergele","Simret","1990","8"
"Tigray","Tanqua-Abergele","Simret","2005","9"
"Tigray","Tanqua-Abergele","Simret","2013","10"
"Tigray","Tanqua-Abergele","Negedebrhan","1984","1"
"Tigray","Tanqua-Abergele","Negedebrhan","2015","2"
"Tigray","Tanqua-Abergele","Negedebrhan","1997","3"
"Tigray","Tanqua-Abergele","Negedebrhan","1990","4"
"Tigray","Tanqua-Abergele","Negedebrhan","1987","5"
"Tigray","Tanqua-Abergele","Negedebrhan","2008","6"
"Tigray","Tanqua-Abergele","Negedebrhan","2014","7"
"Tigray","Tanqua-Abergele","Negedebrhan","2002","8"
"Tigray","Tanqua-Abergele","Negedebrhan","2004","9"
"Tigray","Tanqua-Abergele","Negedebrhan","2000","10"
"Tigray","Tanqua-Abergele","Grwre","1984","1"
"Tigray","Tanqua-Abergele","Grwre","1997","2"
"Tigray","Tanqua-Abergele","Grwre","2008","3"
"Tigray","Tanqua-Abergele","Grwre","2015","4"
"Tigray","Tanqua-Abergele","Grwre","1987","5"
"Tigray","Tanqua-Abergele","Grwre","1990","6"
"Tigray","Tanqua-Abergele","Grwre","1994","7"
"Tigray","Tanqua-Abergele","Grwre","2002","8"
"Tigray","Tanqua-Abergele","Grwre","2000","9"
"Tigray","Tanqua-Abergele","Grwre","2004","10"
"Tigray","Tanqua-Abergele","Limat","1984","1"
"Tigray","Tanqua-Abergele","Limat","1990","2"
"Tigray","Tanqua-Abergele","Limat","1997","3"
"Tigray","Tanqua-Abergele","Limat","2015","4"
"Tigray","Tanqua-Abergele","Limat","2008","5"
"Tigray","Tanqua-Abergele","Limat","1999","6"
"Tigray","Tanqua-Abergele","Limat","1987","7"
"Tigray","Tanqua-Abergele","Limat","2006","8"
"Tigray","Tanqua-Abergele","Limat","1992","9"
