Region,District,Village,year,rank,_index
Tigray,Tanku Abergele,Tekleweyni,1984,10,1
Tigray,Tanku Abergele,Tekleweyni,2015,9,1
Tigray,Tanku Abergele,Tekleweyni,1997,8,1
Tigray,Tanku Abergele,Tekleweyni,2002,7,1
Tigray,Tanku Abergele,Tekleweyni,1987,6,1
Tigray,Tanku Abergele,Tekleweyni,1989,5,1
Tigray,Tanku Abergele,Tekleweyni,1993,4,1
Tigray,Tanku Abergele,Tekleweyni,2004,3,1
Tigray,Tanku Abergele,Tekleweyni,2006,2,1
Tigray,Tanku Abergele,Tekleweyni,2018,1,1
Tigray,Tanku Abergele,Siye,1984,10,2
Tigray,Tanku Abergele,Siye,2015,9,2
Tigray,Tanku Abergele,Siye,1997,8,2
Tigray,Tanku Abergele,Siye,2002,7,2
Tigray,Tanku Abergele,Siye,1989,6,2
Tigray,Tanku Abergele,Siye,1990,5,2
Tigray,Tanku Abergele,Siye,1993,4,2
Tigray,Tanku Abergele,Siye,2004,3,2
Tigray,Tanku Abergele,Siye,1987,2,2
Tigray,Tanku Abergele,Siye,2009,1,2
Tigray,Tanku Abergele,Tseykeme,1984,10,3
Tigray,Tanku Abergele,Tseykeme,2015,9,3
Tigray,Tanku Abergele,Tseykeme,1997,8,3
Tigray,Tanku Abergele,Tseykeme,1990,7,3
Tigray,Tanku Abergele,Tseykeme,2017,6,3
Tigray,Tanku Abergele,Tseykeme,2000,5,3
Tigray,Tanku Abergele,Tseykeme,2002,4,3
Tigray,Tanku Abergele,Tseykeme,1994,3,3
Tigray,Tanku Abergele,Tseykeme,1992,2,3
Tigray,Tanku Abergele,Tseykeme,1986,1,3
Tigray,Tanku Abergele,Simret,1984,10,4
Tigray,Tanku Abergele,Simret,1997,9,4
Tigray,Tanku Abergele,Simret,2007,8,4
Tigray,Tanku Abergele,Simret,2015,7,4
Tigray,Tanku Abergele,Simret,1987,6,4
Tigray,Tanku Abergele,Simret,2002,5,4
Tigray,Tanku Abergele,Simret,1993,4,4
Tigray,Tanku Abergele,Simret,1990,3,4
Tigray,Tanku Abergele,Simret,2005,2,4
Tigray,Tanku Abergele,Simret,2013,1,4
Tigray,Tanku Abergele,Negedebrhan,1984,10,5
Tigray,Tanku Abergele,Negedebrhan,2015,9,5
Tigray,Tanku Abergele,Negedebrhan,1997,8,5
Tigray,Tanku Abergele,Negedebrhan,1990,7,5
Tigray,Tanku Abergele,Negedebrhan,1987,6,5
Tigray,Tanku Abergele,Negedebrhan,2008,5,5
Tigray,Tanku Abergele,Negedebrhan,2014,4,5
Tigray,Tanku Abergele,Negedebrhan,2002,3,5
Tigray,Tanku Abergele,Negedebrhan,2004,2,5
Tigray,Tanku Abergele,Negedebrhan,2000,1,5
Tigray,Tanku Abergele,Grwre,1984,10,6
Tigray,Tanku Abergele,Grwre,1997,9,6
Tigray,Tanku Abergele,Grwre,2008,8,6
Tigray,Tanku Abergele,Grwre,2015,7,6
Tigray,Tanku Abergele,Grwre,1987,6,6
Tigray,Tanku Abergele,Grwre,1990,5,6
Tigray,Tanku Abergele,Grwre,1994,4,6
Tigray,Tanku Abergele,Grwre,2002,3,6
Tigray,Tanku Abergele,Grwre,2000,2,6
Tigray,Tanku Abergele,Grwre,2004,1,6
Tigray,Tanku Abergele,Limat,1984,10,7
Tigray,Tanku Abergele,Limat,1990,9,7
Tigray,Tanku Abergele,Limat,1997,8,7
Tigray,Tanku Abergele,Limat,2015,7,7
Tigray,Tanku Abergele,Limat,2008,6,7
Tigray,Tanku Abergele,Limat,1999,5,7
Tigray,Tanku Abergele,Limat,1987,4,7
Tigray,Tanku Abergele,Limat,2006,3,7
