"Region","District","Village","year","rank","_index"
"Tigray","Tanqua-Abergele","Tekleweyni","1984","1","1"
"Tigray","Tanqua-Abergele","Tekleweyni","2015","2","1"
"Tigray","Tanqua-Abergele","Tekleweyni","1997","3","1"
"Tigray","Tanqua-Abergele","Tekleweyni","2002","4","1"
"Tigray","Tanqua-Abergele","Tekleweyni","1987","5","1"
"Tigray","Tanqua-Abergele","Tekleweyni","1989","6","1"
"Tigray","Tanqua-Abergele","Tekleweyni","1993","7","1"
"Tigray","Tanqua-Abergele","Tekleweyni","2004","8","1"
"Tigray","Tanqua-Abergele","Tekleweyni","2006","9","1"
"Tigray","Tanqua-Abergele","Tekleweyni","2018","10","1"
"Tigray","Tanqua-Abergele","Siye","1984","1","2"
"Tigray","Tanqua-Abergele","Siye","2015","2","2"
"Tigray","Tanqua-Abergele","Siye","1997","3","2"
"Tigray","Tanqua-Abergele","Siye","2002","4","2"
"Tigray","Tanqua-Abergele","Siye","1989","5","2"
"Tigray","Tanqua-Abergele","Siye","1990","6","2"
"Tigray","Tanqua-Abergele","Siye","1993","7","2"
"Tigray","Tanqua-Abergele","Siye","2004","8","2"
"Tigray","Tanqua-Abergele","Siye","1987","9","2"
"Tigray","Tanqua-Abergele","Siye","2009","10","2"
"Tigray","Tanqua-Abergele","Tseykeme","1984","1","3"
"Tigray","Tanqua-Abergele","Tseykeme","2015","2","3"
"Tigray","Tanqua-Abergele","Tseykeme","1997","3","3"
"Tigray","Tanqua-Abergele","Tseykeme","1990","4","3"
"Tigray","Tanqua-Abergele","Tseykeme","2017","5","3"
"Tigray","Tanqua-Abergele","Tseykeme","2000","6","3"
"Tigray","Tanqua-Abergele","Tseykeme","2002","7","3"
"Tigray","Tanqua-Abergele","Tseykeme","1994","8","3"
"Tigray","Tanqua-Abergele","Tseykeme","1992","9","3"
"Tigray","Tanqua-Abergele","Tseykeme","1986","10","3"
"Tigray","Tanqua-Abergele","Simret","1984","1","4"
"Tigray","Tanqua-Abergele","Simret","1997","2","4"
"Tigray","Tanqua-Abergele","Simret","2007","3","4"
"Tigray","Tanqua-Abergele","Simret","2015","4","4"
"Tigray","Tanqua-Abergele","Simret","1987","5","4"
"Tigray","Tanqua-Abergele","Simret","2002","6","4"
"Tigray","Tanqua-Abergele","Simret","1993","7","4"
"Tigray","Tanqua-Abergele","Simret","1990","8","4"
"Tigray","Tanqua-Abergele","Simret","2005","9","4"
"Tigray","Tanqua-Abergele","Simret","2013","10","4"
"Tigray","Tanqua-Abergele","Negedebrhan","1984","1","5"
"Tigray","Tanqua-Abergele","Negedebrhan","2015","2","5"
"Tigray","Tanqua-Abergele","Negedebrhan","1997","3","5"
