gid,time,mean,a,order
1,1987,1.2052496844782608,Minjarna Shenkora,1
1,2002,1.4297000206229509,Minjarna Shenkora,2
1,2004,1.5168976459016392,Minjarna Shenkora,3
1,1990,1.657892255396694,Minjarna Shenkora,4
1,2000,1.7589822569508196,Minjarna Shenkora,5
1,2005,1.943608063032788,Minjarna Shenkora,6
1,1993,2.1075165157931046,Minjarna Shenkora,7
1,2015,2.2783080615081963,Minjarna Shenkora,8
1,2009,2.2820527456557373,Minjarna Shenkora,9
1,2014,2.3563946304344263,Minjarna Shenkora,10
2,1987,1.009027824347826,Mojana Wadera,1
2,1984,1.641852402521739,Mojana Wadera,2
2,2004,1.6996214614754095,Mojana Wadera,3
2,2001,1.8811209632786887,Mojana Wadera,4
2,2002,1.9028447327868847,Mojana Wadera,5
2,2009,1.914511042622951,Mojana Wadera,6
2,1990,2.193411119008265,Mojana Wadera,7
2,2000,2.198322237131148,Mojana Wadera,8
2,2005,2.3168240991803275,Mojana Wadera,9
2,2015,2.351737070163934,Mojana Wadera,10
3,1987,1.8750544582608693,Moretna Jiru,1
3,2002,1.935946669016393,Moretna Jiru,2
3,2004,2.0274881009836068,Moretna Jiru,3
3,2001,2.3802036381967207,Moretna Jiru,4
3,2015,2.670646609016393,Moretna Jiru,5
3,2000,2.6826011648360653,Moretna Jiru,6
3,1992,2.7671849819999994,Moretna Jiru,7
3,2011,2.8091775113114754,Moretna Jiru,8
3,2005,2.845507822950819,Moretna Jiru,9
3,1984,2.8686394693913035,Moretna Jiru,10
4,1987,2.278232685478261,Siya Debirna Wayu & Ensaro,1
4,2004,2.2838395861475416,Siya Debirna Wayu & Ensaro,2
4,2002,2.35905941147541,Siya Debirna Wayu & Ensaro,3
4,1983,2.476902515929204,Siya Debirna Wayu & Ensaro,4
4,1992,2.6369166717500003,Siya Debirna Wayu & Ensaro,5
4,2001,2.7396726599999988,Siya Debirna Wayu & Ensaro,6
4,2000,2.749927011311476,Siya Debirna Wayu & Ensaro,7
4,2005,2.8667052439344256,Siya Debirna Wayu & Ensaro,8
4,2014,2.9663443158196716,Siya Debirna Wayu & Ensaro,9
4,2011,3.001274441967213,Siya Debirna Wayu & Ensaro,10
5,1987,1.174636195652174,Tarmaber,1
5,2002,1.9835531524590164,Tarmaber,2
5,2004,2.1068150701639348,Tarmaber,3
5,1983,2.1343112355752214,Tarmaber,4
5,2001,2.1813386893442623,Tarmaber,5
5,2000,2.3874414693442625,Tarmaber,6
5,2015,2.4068823006557385,Tarmaber,7
5,1984,2.4212784034782606,Tarmaber,8
5,2005,2.519886599180328,Tarmaber,9
5,2011,2.7657396950819666,Tarmaber,10
6,2004,2.313159277540983,Weremo Wajetuna Mida,1
6,2001,2.6705118768032783,Weremo Wajetuna Mida,2
6,2002,2.7007892952459014,Weremo Wajetuna Mida,3
6,2011,2.872740827622952,Weremo Wajetuna Mida,4
6,1984,2.998357776695652,Weremo Wajetuna Mida,5
6,2005,3.127237679508197,Weremo Wajetuna Mida,6
6,1992,3.143784226583333,Weremo Wajetuna Mida,7
6,1987,3.2068288913043475,Weremo Wajetuna Mida,8
6,1989,3.3019855999999987,Weremo Wajetuna Mida,9
6,2000,3.445693066311475,Weremo Wajetuna Mida,10
7,1984,0.753053212173913,Bugna,1
7,1987,1.3424246682608698,Bugna,2
7,1983,1.8660394432743368,Bugna,3
7,2004,1.9972668098770487,Bugna,4
7,1993,2.1281122555689658,Bugna,5
7,2002,2.1628078890983606,Bugna,6
7,2011,2.203953097213115,Bugna,7
7,1990,2.3300018975206616,Bugna,8
7,2005,2.4194826877868847,Bugna,9
7,1989,2.7555006052542383,Bugna,10
8,2004,3.72673767704918,Fogera,1
8,1992,4.074086751033332,Fogera,2
8,2011,4.159280489122948,Fogera,3
8,2001,4.446933311967213,Fogera,4
8,2005,4.57598995942623,Fogera,5
8,2000,4.6172837245901635,Fogera,6
8,2003,5.563333086885244,Fogera,7
8,2008,5.692983046721313,Fogera,8
8,1983,5.7575582612389375,Fogera,9
8,2002,5.842186647868853,Fogera,10
9,2004,2.689998513114754,Kemekem,1
9,2011,3.611822910409836,Kemekem,2
9,1992,3.745926467499999,Kemekem,3
9,2002,3.755318566803279,Kemekem,4
9,2005,3.8263453556557376,Kemekem,5
9,2000,3.908590441475411,Kemekem,6
9,1987,4.215433406608695,Kemekem,7
9,2001,4.489583748442623,Kemekem,8
9,2003,4.581237399508196,Kemekem,9
9,1983,4.588668635044245,Kemekem,10
10,1987,1.6221206808695654,Lay Gayint,1
10,2004,2.126826925573771,Lay Gayint,2
10,1984,2.2694099686086955,Lay Gayint,3
10,2005,2.5709519776229515,Lay Gayint,4
10,1993,2.6668762589655164,Lay Gayint,5
10,1992,2.8284645375,Lay Gayint,6
10,2002,2.8935819917213115,Lay Gayint,7
10,2011,2.9412323320491804,Lay Gayint,8
10,1990,3.1236623319008268,Lay Gayint,9
10,1989,3.1409149266949155,Lay Gayint,10
11,1987,1.9140327944347832,Simada,1
11,2004,2.402528940819672,Simada,2
11,1990,2.7835646644628103,Simada,3
11,2011,2.8231224152950816,Simada,4
11,2005,2.895811059098361,Simada,5
11,2001,2.9136808318852467,Simada,6
11,1989,2.985837689830507,Simada,7
11,1984,3.1191228608695654,Simada,8
11,2015,3.1830912622950804,Simada,9
11,2000,3.2108789737704915,Simada,10
12,1984,1.860580866086957,Tach Gayint,1
12,1987,2.0596756633043483,Tach Gayint,2
12,2004,2.184186886311475,Tach Gayint,3
12,2005,2.3303922962295083,Tach Gayint,4
12,1997,2.4282680108196724,Tach Gayint,5
12,2002,2.4954311299180327,Tach Gayint,6
12,1992,2.5714562158333343,Tach Gayint,7
12,1993,2.637263923275862,Tach Gayint,8
12,2011,2.6407872032786885,Tach Gayint,9
12,1989,2.715254401694916,Tach Gayint,10
13,1987,1.4594501366086958,Amba Sel,1
13,1984,1.4906561319130434,Amba Sel,2
13,2005,2.2311071546721304,Amba Sel,3
13,2011,2.2837627138524588,Amba Sel,4
13,2004,2.341152252868852,Amba Sel,5
13,1993,2.3902905403448282,Amba Sel,6
13,2015,2.5177542355737708,Amba Sel,7
13,1990,2.5195194764462814,Amba Sel,8
13,2002,2.6617001841475405,Amba Sel,9
13,1997,2.6825206378360664,Amba Sel,10
14,1984,2.3585168202608697,Debre Sina,1
14,2011,2.432084716393442,Debre Sina,2
14,1987,2.5183813625217395,Debre Sina,3
14,2004,2.5309868673770493,Debre Sina,4
14,1991,3.074729084297522,Debre Sina,5
14,2001,3.0813016495081977,Debre Sina,6
14,2002,3.1333901158196715,Debre Sina,7
14,2005,3.1693295610655725,Debre Sina,8
14,1992,3.2651446066666665,Debre Sina,9
14,1990,3.2757102219008267,Debre Sina,10
15,1984,1.4420283295652172,Dessie,1
15,2005,2.229275729508196,Dessie,2
15,1987,2.33676690173913,Dessie,3
15,2011,2.8319195934426227,Dessie,4
15,1983,2.842788763716814,Dessie,5
15,2002,2.9125303983606554,Dessie,6
15,2004,2.952819606557377,Dessie,7
15,2001,3.0417187573770503,Dessie,8
15,2015,3.0710650180327863,Dessie,9
15,1990,3.3271991049586767,Dessie,10
16,1984,1.1921589313043477,Dessie Zuria,1
16,1987,2.0131586592173907,Dessie Zuria,2
16,2005,2.3687123515573782,Dessie Zuria,3
16,2002,2.652976231885245,Dessie Zuria,4
16,2011,2.6584171827868857,Dessie Zuria,5
16,2004,2.6800664055737693,Dessie Zuria,6
16,2015,2.837629034672132,Dessie Zuria,7
16,1990,3.012405702066116,Dessie Zuria,8
16,2001,3.0878412368852453,Dessie Zuria,9
16,1983,3.2325635336283187,Dessie Zuria,10
17,1987,1.3281311052173912,Jama,1
17,2004,2.2079403557377044,Jama,2
17,2002,2.3552655961475413,Jama,3
17,2011,2.5116136203278683,Jama,4
17,1984,2.5393940674782614,Jama,5
17,2001,2.6353453868852457,Jama,6
17,1990,2.7432377271900825,Jama,7
17,2015,2.790410418606558,Jama,8
17,2005,2.8549440077049177,Jama,9
17,1993,2.975056419827587,Jama,10
18,1984,1.1183330523478259,Kalu,1
18,1987,1.800459989478261,Kalu,2
18,2004,2.2772325663114747,Kalu,3
18,2011,2.3269990187704916,Kalu,4
18,2005,2.444572749672132,Kalu,5
18,2002,2.57804575452459,Kalu,6
18,2001,2.713533786967213,Kalu,7
18,1990,2.7155199772892558,Kalu,8
18,2015,2.8790955937131155,Kalu,9
18,2000,3.1310969868852463,Kalu,10
19,2011,2.3057867145901643,Kelela,1
19,1984,2.498498769565217,Kelela,2
19,2002,2.7835212836065573,Kelela,3
19,2015,2.854343229590165,Kelela,4
19,2004,2.885239026065573,Kelela,5
19,2001,2.9191483133606546,Kelela,6
19,1992,3.10063159175,Kelela,7
19,2005,3.1733171103278686,Kelela,8
19,1987,3.246696347565217,Kelela,9
19,1990,3.464815252066116,Kelela,10
20,1983,,Kombolcha,1
20,1984,,Kombolcha,2
20,1985,,Kombolcha,3
20,1986,,Kombolcha,4
20,1987,,Kombolcha,5
20,1988,,Kombolcha,6
20,1989,,Kombolcha,7
20,1990,,Kombolcha,8
20,1991,,Kombolcha,9
20,1992,,Kombolcha,10
21,1984,1.2195009053913042,Kutaber,1
