gid,Village,District,Region,Country,year,mean,rank
1,Minjarna Shenkora, North Shewa (K3), Amhara, Ethiopia,1987,1.2052496844782608,1
1,Minjarna Shenkora, North Shewa (K3), Amhara, Ethiopia,2002,1.4297000206229509,2
1,Minjarna Shenkora, North Shewa (K3), Amhara, Ethiopia,2004,1.5168976459016392,3
1,Minjarna Shenkora, North Shewa (K3), Amhara, Ethiopia,1990,1.657892255396694,4
1,Minjarna Shenkora, North Shewa (K3), Amhara, Ethiopia,2000,1.7589822569508196,5
1,Minjarna Shenkora, North Shewa (K3), Amhara, Ethiopia,2005,1.943608063032788,6
1,Minjarna Shenkora, North Shewa (K3), Amhara, Ethiopia,1993,2.1075165157931046,7
1,Minjarna Shenkora, North Shewa (K3), Amhara, Ethiopia,2015,2.2783080615081963,8
1,Minjarna Shenkora, North Shewa (K3), Amhara, Ethiopia,2009,2.2820527456557373,9
1,Minjarna Shenkora, North Shewa (K3), Amhara, Ethiopia,2014,2.3563946304344263,10
2,Mojana Wadera, North Shewa (K3), Amhara, Ethiopia,1987,1.009027824347826,1
2,Mojana Wadera, North Shewa (K3), Amhara, Ethiopia,1984,1.641852402521739,2
2,Mojana Wadera, North Shewa (K3), Amhara, Ethiopia,2004,1.6996214614754095,3
2,Mojana Wadera, North Shewa (K3), Amhara, Ethiopia,2001,1.8811209632786887,4
2,Mojana Wadera, North Shewa (K3), Amhara, Ethiopia,2002,1.9028447327868847,5
2,Mojana Wadera, North Shewa (K3), Amhara, Ethiopia,2009,1.914511042622951,6
2,Mojana Wadera, North Shewa (K3), Amhara, Ethiopia,1990,2.193411119008265,7
2,Mojana Wadera, North Shewa (K3), Amhara, Ethiopia,2000,2.198322237131148,8
2,Mojana Wadera, North Shewa (K3), Amhara, Ethiopia,2005,2.3168240991803275,9
2,Mojana Wadera, North Shewa (K3), Amhara, Ethiopia,2015,2.351737070163934,10
3,Moretna Jiru, North Shewa (K3), Amhara, Ethiopia,1987,1.8750544582608693,1
3,Moretna Jiru, North Shewa (K3), Amhara, Ethiopia,2002,1.9359466690163931,2
3,Moretna Jiru, North Shewa (K3), Amhara, Ethiopia,2004,2.0274881009836068,3
3,Moretna Jiru, North Shewa (K3), Amhara, Ethiopia,2001,2.3802036381967207,4
3,Moretna Jiru, North Shewa (K3), Amhara, Ethiopia,2015,2.670646609016393,5
3,Moretna Jiru, North Shewa (K3), Amhara, Ethiopia,2000,2.6826011648360653,6
3,Moretna Jiru, North Shewa (K3), Amhara, Ethiopia,1992,2.7671849819999994,7
3,Moretna Jiru, North Shewa (K3), Amhara, Ethiopia,2011,2.8091775113114754,8
3,Moretna Jiru, North Shewa (K3), Amhara, Ethiopia,2005,2.845507822950819,9
3,Moretna Jiru, North Shewa (K3), Amhara, Ethiopia,1984,2.8686394693913035,10
4,Siya Debirna Wayu & Ensaro, North Shewa (K3), Amhara, Ethiopia,1987,2.278232685478261,1
4,Siya Debirna Wayu & Ensaro, North Shewa (K3), Amhara, Ethiopia,2004,2.2838395861475416,2
4,Siya Debirna Wayu & Ensaro, North Shewa (K3), Amhara, Ethiopia,2002,2.35905941147541,3
4,Siya Debirna Wayu & Ensaro, North Shewa (K3), Amhara, Ethiopia,1983,2.476902515929204,4
4,Siya Debirna Wayu & Ensaro, North Shewa (K3), Amhara, Ethiopia,1992,2.6369166717500003,5
4,Siya Debirna Wayu & Ensaro, North Shewa (K3), Amhara, Ethiopia,2001,2.7396726599999988,6
4,Siya Debirna Wayu & Ensaro, North Shewa (K3), Amhara, Ethiopia,2000,2.749927011311476,7
4,Siya Debirna Wayu & Ensaro, North Shewa (K3), Amhara, Ethiopia,2005,2.8667052439344256,8
4,Siya Debirna Wayu & Ensaro, North Shewa (K3), Amhara, Ethiopia,2014,2.966344315819672,9
4,Siya Debirna Wayu & Ensaro, North Shewa (K3), Amhara, Ethiopia,2011,3.001274441967213,10
5,Tarmaber, North Shewa (K3), Amhara, Ethiopia,1987,1.174636195652174,1
