year,Region,District,count,mean,std,pmean,pcount,pstd
1983,Amhara,Enbise Sar Midir,0,0,0,1.429417389,0.877901562,0.403996821
1983,Amhara,Ebenat,3,8.666666667,2.309401077,2.255591656,0.403270739,0.411926193
1983,Amhara,Shebel Berenta,0,0,0,1.429417389,0.877901562,0.403996821
1983,Amhara,Kemekem,4,7.5,4.358898944,1.90151697,0.606683949,0.408527891
1983,Amhara,Goncha Siso Enese,0,0,0,1.429417389,0.877901562,0.403996821
1983,Tigray,Adwa,0,0,0,1.547443906,0.642229727,0.376520979
1983,Tigray,Ahferom,0,0,0,2.01953861,0.640377839,0.266617609
1983,Tigray,Alamata,0,0,0,1.665467582,0.641766755,0.349045136
1983,Tigray,Ambalaje,0,0,0,1.901514934,0.640840811,0.294093451
1983,Tigray,Samre,0,0,0,1.42942023,0.642692699,0.403996821
1983,Tigray,Hawzen,0,0,0,1.42942023,0.642692699,0.403996821
1983,Tigray,Endamehoni,0,0,0,1.901514934,0.640840811,0.294093451
1983,Tigray,Ganta Afeshum,2,7,2.828427125,1.665467582,0.641766755,0.349045136
1983,Tigray,Wukro,0,0,0,1.42942023,0.642692699,0.403996821
1983,Tigray,Medebay Zana,1,9,0,1.42942023,0.642692699,0.403996821
1983,Tigray,Hintalo Wajerat,0,0,0,1.42942023,0.642692699,0.403996821
1983,Tigray,Ofla,0,0,0,1.783491258,0.641303783,0.321569294
1983,Tigray,Kola Temben,8,10,0,1.42942023,0.642692699,0.403996821
1983,Tigray,Naeder Adet,0,0,0,1.42942023,0.642692699,0.403996821
1983,Tigray,Tanku Abergele,2,10,0,1.42942023,0.642692699,0.403996821
1983,Tigray,Raya Azebo,0,0,0,1.665467582,0.641766755,0.349045136
1983,Tigray,Werie Lehe,0,0,0,1.665467582,0.641766755,0.349045136
1984,Amhara,Enbise Sar Midir,15,10,0,9.318144651,13.34652253,0.907225159
1984,Amhara,Ebenat,16,8.75,2.48997992,9.436169546,13.27871813,0.908357927
1984,Amhara,Shebel Berenta,15,10,0,8.728020175,13.68554455,0.901561323
1984,Amhara,Kemekem,27,8.333333333,3.150091574,9.318144651,13.34652253,0.907225159
1984,Amhara,Goncha Siso Enese,3,10,0,9.200119756,13.41432693,0.906092392
1984,Tigray,Adwa,2,10,0,8.442927949,4.893004354,0.522341916
1984,Tigray,Ahferom,7,10,0,8.442927949,4.893004354,0.522341916
1984,Tigray,Alamata,3,10,0,8.678975302,4.89207841,0.467390231
1984,Tigray,Ambalaje,4,10,0,8.678975302,4.89207841,0.467390231
1984,Tigray,Samre,8,10,0,8.678975302,4.89207841,0.467390231
1984,Tigray,Hawzen,5,10,0,8.560951625,4.892541382,0.494866074
1984,Tigray,Endamehoni,7,10,0,8.678975302,4.89207841,0.467390231
1984,Tigray,Ganta Afeshum,3,9,1,8.560951625,4.892541382,0.494866074
1984,Tigray,Wukro,3,9.666666667,0.577350269,8.678975302,4.89207841,0.467390231
1984,Tigray,Medebay Zana,5,10,0,8.560951625,4.892541382,0.494866074
1984,Tigray,Hintalo Wajerat,4,10,0,8.678975302,4.89207841,0.467390231
1984,Tigray,Ofla,5,10,0,8.678975302,4.89207841,0.467390231
1984,Tigray,Kola Temben,1,9,0,8.678975302,4.89207841,0.467390231
1984,Tigray,Naeder Adet,5,10,0,8.560951625,4.892541382,0.494866074
1984,Tigray,Tanku Abergele,8,10,0,8.678975302,4.89207841,0.467390231
1984,Tigray,Raya Azebo,3,10,0,8.678975302,4.89207841,0.467390231
1984,Tigray,Werie Lehe,8,10,0,8.560951625,4.892541382,0.494866074
1985,Amhara,Enbise Sar Midir,2,8,2.828427125,6.058833599,2.977744506,1.832782031
1985,Amhara,Ebenat,10,8.5,1.840893503,6.058833599,2.977744506,1.832782031
1985,Amhara,Shebel Berenta,0,0,0,5.940808704,3.045548909,1.831649264
1985,Amhara,Kemekem,4,8.5,3,5.940808704,3.045548909,1.831649264
1985,Amhara,Goncha Siso Enese,0,0,0,5.940808704,3.045548909,1.831649264
1985,Tigray,Adwa,0,0,0,1.42942023,0.642692699,0.403996821
1985,Tigray,Ahferom,0,0,0,1.42942023,0.642692699,0.403996821
1985,Tigray,Alamata,0,0,0,2.137562286,0.639914867,0.239141766
1985,Tigray,Ambalaje,0,0,0,1.42942023,0.642692699,0.403996821
1985,Tigray,Samre,0,0,0,1.547443906,0.642229727,0.376520979
1985,Tigray,Hawzen,1,9,0,1.42942023,0.642692699,0.403996821
1985,Tigray,Endamehoni,0,0,0,1.783491258,0.641303783,0.321569294
1985,Tigray,Ganta Afeshum,0,0,0,1.42942023,0.642692699,0.403996821
1985,Tigray,Wukro,0,0,0,1.42942023,0.642692699,0.403996821
1985,Tigray,Medebay Zana,0,0,0,1.42942023,0.642692699,0.403996821
1985,Tigray,Hintalo Wajerat,1,9,0,1.42942023,0.642692699,0.403996821
1985,Tigray,Ofla,1,5,0,2.01953861,0.640377839,0.266617609
1985,Tigray,Kola Temben,0,0,0,1.42942023,0.642692699,0.403996821
1985,Tigray,Naeder Adet,0,0,0,1.42942023,0.642692699,0.403996821
1985,Tigray,Tanku Abergele,0,0,0,1.665467582,0.641766755,0.349045136
1985,Tigray,Raya Azebo,0,0,0,1.901514934,0.640840811,0.294093451
1985,Tigray,Werie Lehe,0,0,0,1.42942023,0.642692699,0.403996821
1986,Amhara,Enbise Sar Midir,2,2.5,2.121320344,5.34239541,2.822251181,1.923145273
1986,Amhara,Ebenat,14,7.214285714,2.694112425,5.34239541,2.822251181,1.923145273
1986,Amhara,Shebel Berenta,1,6,0,5.34239541,2.822251181,1.923145273
1986,Amhara,Kemekem,3,7.333333333,3.785938897,5.34239541,2.822251181,1.923145273
1986,Amhara,Goncha Siso Enese,2,7,1.414213562,5.34239541,2.822251181,1.923145273
1986,Tigray,Adwa,1,7,0,1.42942023,0.642692699,0.403996821
1986,Tigray,Ahferom,1,3,0,1.42942023,0.642692699,0.403996821
1986,Tigray,Alamata,0,0,0,1.42942023,0.642692699,0.403996821
1986,Tigray,Ambalaje,0,0,0,1.42942023,0.642692699,0.403996821
1986,Tigray,Samre,0,0,0,1.42942023,0.642692699,0.403996821
1986,Tigray,Hawzen,1,9,0,1.42942023,0.642692699,0.403996821
