year,District,Village,count,std,mean,pmean
1983,Ebenat,AderSeg,0,0,0,1.220718886
1983,Ebenat,Amisetya,0,0,0,1.234002718
1983,Ebenat,WorgajaWagi,0,0,0,1.241230041
1983,Ebenat,Mechena,0,0,0,1.223864686
1983,Ebenat,Aquha,0,0,0,1.240950692
1983,Ebenat,EmbachekoGunaguna,1,0,10,1.217978803
1983,Ebenat,TaraSenba,0,0,0,1.234917488
1983,Ebenat,Wariba,0,0,0,1.22483909
1983,Ebenat,Selamaya,0,0,0,1.22925069
1983,Ebenat,Burkoche,0,0,0,1.244523318
1983,Ebenat,Gela Matebiya,0,0,0,1.0243555
1983,Ebenat,Ziha,0,0,0,1.220447303
1983,Ebenat,Serawudi,1,0,10,1.236114495
1983,Ebenat,AquaShumoch,0,0,0,1.21975457
1983,Ebenat,Tigage,0,0,0,1.22260465
1983,Ebenat,Abina,0,0,0,1.22508729
1983,Ebenat,Niquara,0,0,0,1.227251928
1983,Ebenat,DeberAbaJale,0,0,0,1.226798452
1983,Ebenat,Wonberoch,0,0,0,1.246351366
1983,Ebenat,Balarab,1,0,6,1.233466761
1983,Ebenat,Shunge,0,0,0,1.219238817
1983,Ebenat,JimanDeregeha,0,0,0,1.218023036
1983,Enbise Sar Midir,Lul,0,0,0,0.853172735
1983,Enbise Sar Midir,DebreKidusan,0,0,0,0.836399921
1983,Enbise Sar Midir,Felegehiwot,0,0,0,0.841145851
1983,Enbise Sar Midir,Adisalem,0,0,0,0.84249387
1983,Enbise Sar Midir,DembezaAmbaLay,0,0,0,0.83749092
1983,Enbise Sar Midir,Goshedur,0,0,0,0.832692195
1983,Enbise Sar Midir,WoryaMeskel,0,0,0,0.8452029
1983,Enbise Sar Midir,ZobarYikuanda,0,0,0,0.856518253
1983,Enbise Sar Midir,Berlay,0,0,0,0.835373949
1983,Enbise Sar Midir,Melabesh,0,0,0,0.844241554
1983,Enbise Sar Midir,DebreGenet,0,0,0,0.838797586
1983,Enbise Sar Midir,ZihonHuha,0,0,0,0.837315193
1983,Enbise Sar Midir,Debremawie,0,0,0,0.851765452
1983,Enbise Sar Midir,HagereSelam,0,0,0,0.83050628
1983,Enbise Sar Midir,Yetefet,0,0,0,0.837281168
1983,Enbise Sar Midir,HagereGenet,0,0,0,1.0243555
1983,Goncha Siso Enese,Abarwuha,0,0,0,0.667095676
1983,Goncha Siso Enese,Derit,0,0,0,0.638128127
1983,Goncha Siso Enese,Filatako,0,0,0,0.652932216
1983,Kemekem,Ginaza,2,0.707106781,9.5,1.462725706
1983,Kemekem,WushaTires,0,0,0,1.473484814
1983,Kemekem,ShehochTehara,0,0,0,1.46826516
1983,Kemekem,Asta,0,0,0,1.468286151
1983,Kemekem,Anigot,0,0,0,1.449880867
1983,Kemekem,MendereMariam,0,0,0,1.469133117
1983,Kemekem,BilbWuha,0,0,0,1.461206821
1983,Kemekem,Libo,0,0,0,1.479676332
1983,Kemekem,MichelDebre,0,0,0,1.474849448
1983,Kemekem,Goza,1,0,1,1.46225582
1983,Kemekem,Tibaga,0,0,0,1.492291273
1983,Kemekem,Mitad,0,0,0,1.473370288
1983,Kemekem,Agid,0,0,0,1.475485839
1983,Kemekem,Keregna,0,0,0,1.473916166
1983,Kemekem,Estifanos,0,0,0,1.455232891
1983,Kemekem,Shamo,0,0,0,1.463172561
1983,Kemekem,Birkutea,1,0,10,1.471245999
1983,Kemekem,Derita,0,0,0,1.473276251
1983,Kemekem,Agela,0,0,0,1.454537213
1983,Kemekem,TaraGedam,0,0,0,1.471634878
1983,Kemekem,YifagAkababi,0,0,0,1.486749571
1983,Shebel Berenta,Abrekuy,0,0,0,0.826063088
1983,Shebel Berenta,Ledy,0,0,0,0.816066798
1983,Shebel Berenta,Wobo,0,0,0,0.835335591
1983,Shebel Berenta,Yedwuha,0,0,0,0.834396996
1983,Shebel Berenta,Suha,0,0,0,0.826585293
1983,Shebel Berenta,Ansheb,0,0,0,0.849817568
1983,Shebel Berenta,Gedayasu,0,0,0,0.842292708
1983,Shebel Berenta,Mozen,0,0,0,0.84639909
1983,Shebel Berenta,Worego,0,0,0,0.841376032
1983,Shebel Berenta,Yeju,0,0,0,0.834148872
1983,Shebel Berenta,Mergech,0,0,0,0.832490283
1983,Shebel Berenta,Gebsit,0,0,0,0.836764751
1983,Shebel Berenta,Woynye,0,0,0,0.843891242
1983,Shebel Berenta,Abaselima,0,0,0,0.84632792
1983,Shebel Berenta,Selelkula,0,0,0,0.822946675
1983,Adwa,Lalaylogomti,0,0,0,0.352200755
1983,Adwa,Woyenti,0,0,0,0.354462042
1983,Ahferom,EmbaAhfrom,0,0,0,0.546508646
1983,Ahferom,Laelayhahaile,0,0,0,0.566764714
1983,Ahferom,Mezbr,0,0,0,0.571889377
1983,Ahferom,Sefo,0,0,0,0.53831859
1983,Ahferom,Endamariam,0,0,0,0.578989315
1983,Ahferom,Kudo,0,0,0,0.562435731
1983,Ahferom,Edagaarbi,0,0,0,0.576218325
1983,Alamata,Sorya,0,0,0,0.592283598
1983,Alamata,Tsetsera,0,0,0,0.668385872
1983,Alamata,Tao,0,0,0,0.662648818
1983,Ambalaje,Tekea,0,0,0,0.612432587
1983,Ambalaje,Seret,0,0,0,0.422230128
1983,Ambalaje,Ayba,0,0,0,0.551661692
1983,Ambalaje,Amedwuha,0,0,0,0.53735847
1983,Endamehoni,Meswaeti,0,0,0,0.377341801
1983,Endamehoni,Simret,0,0,0,0.218521304
1983,Endamehoni,HizbaTeklehymanot,0,0,0,0.422861481
1983,Endamehoni,Tahtayhaya,0,0,0,0.34315614
1983,Endamehoni,Mekan,0,0,0,0.456734558
1983,Ganta Afeshum,Wuhdet,1,0,9,4.760126277
1983,Ganta Afeshum,Adekiney,1,0,5,4.777948045
1983,Ganta Afeshum,Simret,0,0,0,4.755685806
1983,Hawzen,Qoraro,0,0,0,0.690651583
1983,Hawzen,Debrebirhan,0,0,0,0.674548937
1983,Hawzen,Selam,0,0,0,0.674954392
1983,Hawzen,Mozutey,0,0,0,0.670346597
1983,Hawzen,Debreselam,0,0,0,0.693172559
1983,Hintalo Wajerat,Metkel,0,0,0,0.574826253
1983,Hintalo Wajerat,FikreAlem,0,0,0,0.564538284
1983,Hintalo Wajerat,HagereSelam,0,0,0,0.500079907
1983,Hintalo Wajerat,Hareko,0,0,0,0.556244426
1983,Kola Temben,Santagelebeda,1,0,10,8.726387551
1983,Kola Temben,Smret,1,0,10,8.750229254
1983,Kola Temben,Guya,1,0,10,8.755343298
1983,Kola Temben,Debrinetseb,1,0,10,8.741738826
1983,Kola Temben,Wuhdet,2,0,10,8.725860824
1983,Kola Temben,Mtsaiwerki,1,0,10,8.755881623
1983,Kola Temben,Guroro,1,0,10,8.740169399
1983,Medebay Zana,Deberkerbye,0,0,0,0.7839776
1983,Medebay Zana,Adibearj,0,0,0,0.788001847
1983,Medebay Zana,Kuluferha,0,0,0,0.789000956
1983,Medebay Zana,Nefasit,1,0,9,0.779687055
1983,Medebay Zana,Mesehle,0,0,0,0.776496628
1983,Naeder Adet,Seka,0,0,0,0.944008153
1983,Naeder Adet,Adiselam,0,0,0,0.947509686
1983,Naeder Adet,Adreb,0,0,0,0.940182068
1983,Naeder Adet,Ksadacki,0,0,0,0.945526906
1983,Naeder Adet,Jira,0,0,0,0.953659115
1983,Ofla,Zata,0,0,0,0.518557312
1983,Ofla,Darubekeda,0,0,0,0.478399615
1983,Ofla,Adishimbirkti,0,0,0,0.603506514
1983,Ofla,Dinkashena,0,0,0,0.488960451
1983,Ofla,Fala,0,0,0,0.527037872
1983,Raya Azebo,Werabaye,0,0,0,0.455582861
1983,Raya Azebo,Wargba,0,0,0,0.493801841
1983,Raya Azebo,Erba,0,0,0,0.506688116
1983,Samre,Gijet,0,0,0,0.45255134
1983,Samre,LemlemArena,0,0,0,0.49574466
1983,Samre,Hintsa,0,0,0,0.52286079
1983,Samre,Esiret,0,0,0,0.481495641
1983,Samre,Cheli,0,0,0,0.491669264
1983,Samre,Bamba,0,0,0,0.506275214
1983,Samre,Dekera,0,0,0,0.524780669
1983,Samre,Nebarhadinet,0,0,0,0.503286934
1983,Tanku Abergele,Limat,0,0,0,0.648111825
1983,Tanku Abergele,Grwre,0,0,0,0.669059389
1983,Tanku Abergele,Siye,0,0,0,0.676418174
1983,Tanku Abergele,Negedebrhan,0,0,0,0.648026792
1983,Tanku Abergele,Jijqe,0,0,0,0.664572712
1983,Tanku Abergele,Hadashtekli,2,0,10,0.641851759
1983,Tanku Abergele,Tseykeme,0,0,0,0.664197797
1983,Tanku Abergele,Simret,0,0,0,0.608268173
1983,Tanku Abergele,Tekleweyni,0,0,0,0.687005709
1983,Werie Lehe,Arena,0,0,0,0.47098461
1983,Werie Lehe,Tsae,0,0,0,0.446213074
1983,Werie Lehe,MayChekemte,0,0,0,0.415292228
1983,Werie Lehe,EndaFelasi,0,0,0,0.428321825
1983,Werie Lehe,Misema,0,0,0,0.522877799
1983,Werie Lehe,MayNebri,0,0,0,0.428767174
1983,Wukro,Hadnet,0,0,0,0.720555877
1983,Wukro,Hayelom,0,0,0,0.694624624
1983,Wukro,Debrebrhan,0,0,0,0.707616833
1984,Ebenat,AderSeg,1,0,10,7.524499659
1984,Ebenat,Amisetya,0,0,0,7.483254017
1984,Ebenat,WorgajaWagi,0,0,0,7.536998353
1984,Ebenat,Mechena,1,0,10,7.537714798
1984,Ebenat,Aquha,0,0,0,7.484071235
1984,Ebenat,EmbachekoGunaguna,1,0,1,7.528186443
1984,Ebenat,TaraSenba,1,0,9,7.540366932
1984,Ebenat,Wariba,0,0,0,7.527437412
1984,Ebenat,Selamaya,1,0,10,7.527058771
1984,Ebenat,Burkoche,1,0,10,7.485046821
1984,Ebenat,Gela Matebiya,1,0,10,7.339138521
1984,Ebenat,Ziha,1,0,9,7.531811244
1984,Ebenat,Serawudi,1,0,9,7.532663245
1984,Ebenat,AquaShumoch,1,0,10,7.536459292
1984,Ebenat,Tigage,1,0,10,7.4672342
1984,Ebenat,Abina,1,0,7,7.52437844
1984,Ebenat,Niquara,0,0,0,7.53035893
1984,Ebenat,DeberAbaJale,0,0,0,7.531070174
1984,Ebenat,Wonberoch,1,0,10,7.518954344
1984,Ebenat,Balarab,1,0,10,7.506366363
1984,Ebenat,Shunge,1,0,10,7.524242736
1984,Ebenat,JimanDeregeha,1,0,5,7.531766423
1984,Enbise Sar Midir,Lul,1,0,10,8.731394671
