gid,District,Zone,Region,Country
1,Minjarna Shenkora, North Shewa (K3), Amhara, Ethiopia
2,Mojana Wadera, North Shewa (K3), Amhara, Ethiopia
3,Moretna Jiru, North Shewa (K3), Amhara, Ethiopia
4,Siya Debirna Wayu & Ensaro, North Shewa (K3), Amhara, Ethiopia
5,Tarmaber, North Shewa (K3), Amhara, Ethiopia
6,Weremo Wajetuna Mida, North Shewa (K3), Amhara, Ethiopia
7,Bugna, North Wollo, Amhara, Ethiopia
8,Fogera, South Gonder, Amhara, Ethiopia
9,Kemekem, South Gonder, Amhara, Ethiopia
10,Lay Gayint, South Gonder, Amhara, Ethiopia
11,Simada, South Gonder, Amhara, Ethiopia
12,Tach Gayint, South Gonder, Amhara, Ethiopia
13,Amba Sel, South Wollo, Amhara, Ethiopia
14,Debre Sina, South Wollo, Amhara, Ethiopia
15,Dessie, South Wollo, Amhara, Ethiopia
16,Dessie Zuria, South Wollo, Amhara, Ethiopia
17,Jama, South Wollo, Amhara, Ethiopia
18,Kalu, South Wollo, Amhara, Ethiopia
19,Kelela, South Wollo, Amhara, Ethiopia
20,Kombolcha, South Wollo, Amhara, Ethiopia
21,Kutaber, South Wollo, Amhara, Ethiopia
22,Legambo, South Wollo, Amhara, Ethiopia
23,Mekdela, South Wollo, Amhara, Ethiopia
24,Sayint, South Wollo, Amhara, Ethiopia
25,WEREDA 01, Unknown, Addis Ababa, Ethiopia
26,WEREDA 02, Unknown, Addis Ababa, Ethiopia
27,WEREDA 03, Unknown, Addis Ababa, Ethiopia
28,WEREDA 04, Unknown, Addis Ababa, Ethiopia
29,WEREDA 07, Unknown, Addis Ababa, Ethiopia
30,WEREDA 09, Unknown, Addis Ababa, Ethiopia
31,WEREDA 13, Unknown, Addis Ababa, Ethiopia
32,WEREDA 14, Unknown, Addis Ababa, Ethiopia
33,WEREDA 18, Unknown, Addis Ababa, Ethiopia
34,WEREDA 22, Unknown, Addis Ababa, Ethiopia
35,WEREDA 05, Zone 1, Addis Ababa, Ethiopia
36,WEREDA 06, Zone 1, Addis Ababa, Ethiopia
37,WEREDA 20, Zone 2, Addis Ababa, Ethiopia
38,WEREDA 21, Zone 2, Addis Ababa, Ethiopia
39,WEREDA 23, Zone 2, Addis Ababa, Ethiopia
40,WEREDA 24, Zone 2, Addis Ababa, Ethiopia
41,WEREDA 17, Zone 3, Addis Ababa, Ethiopia
42,WEREDA 19, Zone 3, Addis Ababa, Ethiopia
43,WEREDA 28, Zone 3, Addis Ababa, Ethiopia
44,WEREDA 11, Zone 4, Addis Ababa, Ethiopia
45,WEREDA 12, Zone 4, Addis Ababa, Ethiopia
46,WEREDA 15, Zone 4, Addis Ababa, Ethiopia
47,WEREDA 16, Zone 4, Addis Ababa, Ethiopia
48,WEREDA 08, Zone 5, Addis Ababa, Ethiopia
49,WEREDA 10, Zone 5, Addis Ababa, Ethiopia
50,WEREDA 25, Zone 5, Addis Ababa, Ethiopia
51,WEREDA 26, Zone 6, Addis Ababa, Ethiopia
52,WEREDA 27, Zone 6, Addis Ababa, Ethiopia
53,Afambo, Zone 1, Afar, Ethiopia
54,Aysaita, Zone 1, Afar, Ethiopia
55,Chifra, Zone 1, Afar, Ethiopia
56,Dubti, Zone 1, Afar, Ethiopia
57,Elidar, Zone 1, Afar, Ethiopia
58,Mille, Zone 1, Afar, Ethiopia
59,Abala, Zone 2, Afar, Ethiopia
60,Afdera, Zone 2, Afar, Ethiopia
61,Berahle, Zone 2, Afar, Ethiopia
62,Dallol, Zone 2, Afar, Ethiopia
63,Erebti, Zone 2, Afar, Ethiopia
64,Koneba, Zone 2, Afar, Ethiopia
65,Megale, Zone 2, Afar, Ethiopia
66,Amibara, Zone 3, Afar, Ethiopia
67,Argoba Special, Zone 3, Afar, Ethiopia
68,Awash Fentale, Zone 3, Afar, Ethiopia
69,Bure Mudaytu, Zone 3, Afar, Ethiopia
70,Dulecha, Zone 3, Afar, Ethiopia
71,Gewane, Zone 3, Afar, Ethiopia
72,Ewa, Zone 4, Afar, Ethiopia
73,Gulina, Zone 4, Afar, Ethiopia
74,Habru, Zone 4, Afar, Ethiopia
75,Teru, Zone 4, Afar, Ethiopia
76,Yalo, Zone 4, Afar, Ethiopia
77,Artuma, Zone 5, Afar, Ethiopia
78,Dewe, Zone 5, Afar, Ethiopia
79,Fursi, Zone 5, Afar, Ethiopia
80,Simurobi Gele'alo, Zone 5, Afar, Ethiopia
81,Telalak, Zone 5, Afar, Ethiopia
82,Ankesha, Awi, Amhara, Ethiopia
83,Banja, Awi, Amhara, Ethiopia
84,Dangila, Awi, Amhara, Ethiopia
85,Fagta Lakoma, Awi, Amhara, Ethiopia
86,Guangua, Awi, Amhara, Ethiopia
87,Bahir Dar, Bar Dar Sp. Zone, Amhara, Ethiopia
88,Awabel, East Gojam, Amhara, Ethiopia
89,Baso Liben, East Gojam, Amhara, Ethiopia
90,Bibugn, East Gojam, Amhara, Ethiopia
91,Debay Telatgen, East Gojam, Amhara, Ethiopia
92,Debre Marqos, East Gojam, Amhara, Ethiopia
93,Dejen, East Gojam, Amhara, Ethiopia
94,Enarj Enawga, East Gojam, Amhara, Ethiopia
95,Enbise Sar Midir, East Gojam, Amhara, Ethiopia
96,Enemay, East Gojam, Amhara, Ethiopia
97,Goncha Siso Enese, East Gojam, Amhara, Ethiopia
