Unnamed: 0,territory,year,total,season,drought_rank,province
1,Bulungu,1989,NA,Season A,NA,Kwilu
2,Bulungu,1990,328.5793247,Season A,7,Kwilu
3,Bulungu,1991,294.4213517,Season A,4,Kwilu
4,Bulungu,1992,330.9026611,Season A,8,Kwilu
5,Bulungu,1993,220.306957,Season A,2,Kwilu
6,Bulungu,1994,198.7894125,Season A,1,Kwilu
7,Bulungu,1995,NA,Season A,NA,Kwilu
8,Bulungu,1996,NA,Season A,NA,Kwilu
9,Bulungu,1997,312.3654014,Season A,5,Kwilu
10,Bulungu,1998,NA,Season A,NA,Kwilu
11,Bulungu,1999,NA,Season A,NA,Kwilu
12,Bulungu,2000,NA,Season A,NA,Kwilu
13,Bulungu,2001,NA,Season A,NA,Kwilu
14,Bulungu,2002,NA,Season A,NA,Kwilu
15,Bulungu,2003,NA,Season A,NA,Kwilu
16,Bulungu,2004,NA,Season A,NA,Kwilu
17,Bulungu,2005,NA,Season A,NA,Kwilu
18,Bulungu,2006,NA,Season A,NA,Kwilu
19,Bulungu,2007,NA,Season A,NA,Kwilu
20,Bulungu,2008,NA,Season A,NA,Kwilu
21,Bulungu,2009,NA,Season A,NA,Kwilu
22,Bulungu,2010,NA,Season A,NA,Kwilu
23,Bulungu,2011,NA,Season A,NA,Kwilu
24,Bulungu,2012,NA,Season A,NA,Kwilu
25,Bulungu,2013,NA,Season A,NA,Kwilu
26,Bulungu,2014,NA,Season A,NA,Kwilu
27,Bulungu,2015,NA,Season A,NA,Kwilu
28,Bulungu,2016,NA,Season A,NA,Kwilu
29,Bulungu,2017,NA,Season A,NA,Kwilu
30,Bulungu,2018,NA,Season A,NA,Kwilu
31,Bulungu,2019,NA,Season A,NA,Kwilu
32,Bulungu,2020,314.0082978,Season A,6,Kwilu
33,Bulungu,2021,NA,Season A,NA,Kwilu
34,Bulungu,2022,288.3268467,Season A,3,Kwilu
35,Demba,1989,NA,Season A,NA,Kasaï-Central
36,Demba,1990,NA,Season A,NA,Kasaï-Central
37,Demba,1991,NA,Season A,NA,Kasaï-Central
38,Demba,1992,NA,Season A,NA,Kasaï-Central
39,Demba,1993,282.4936109,Season A,2,Kasaï-Central
40,Demba,1994,266.3333287,Season A,1,Kasaï-Central
41,Demba,1995,NA,Season A,NA,Kasaï-Central
42,Demba,1996,NA,Season A,NA,Kasaï-Central
43,Demba,1997,342.2143749,Season A,5,Kasaï-Central
44,Demba,1998,NA,Season A,NA,Kasaï-Central
45,Demba,1999,NA,Season A,NA,Kasaï-Central
46,Demba,2000,325.3722908,Season A,3,Kasaï-Central
47,Demba,2001,NA,Season A,NA,Kasaï-Central
48,Demba,2002,NA,Season A,NA,Kasaï-Central
49,Demba,2003,NA,Season A,NA,Kasaï-Central
50,Demba,2004,NA,Season A,NA,Kasaï-Central
51,Demba,2005,NA,Season A,NA,Kasaï-Central
52,Demba,2006,NA,Season A,NA,Kasaï-Central
53,Demba,2007,NA,Season A,NA,Kasaï-Central
54,Demba,2008,NA,Season A,NA,Kasaï-Central
55,Demba,2009,NA,Season A,NA,Kasaï-Central
56,Demba,2010,NA,Season A,NA,Kasaï-Central
57,Demba,2011,349.5570847,Season A,8,Kasaï-Central
58,Demba,2012,NA,Season A,NA,Kasaï-Central
59,Demba,2013,NA,Season A,NA,Kasaï-Central
60,Demba,2014,NA,Season A,NA,Kasaï-Central
