Unnamed: 0,territory,year,total,season,drought_rank,province
1,Bulungu,1990,297.7416032,Season B,3,Kwilu
2,Bulungu,1991,264.5322888,Season B,2,Kwilu
3,Bulungu,1992,311.0927266,Season B,6,Kwilu
4,Bulungu,1993,NA,Season B,NA,Kwilu
5,Bulungu,1994,NA,Season B,NA,Kwilu
6,Bulungu,1995,NA,Season B,NA,Kwilu
7,Bulungu,1996,329.5970457,Season B,8,Kwilu
8,Bulungu,1997,NA,Season B,NA,Kwilu
9,Bulungu,1998,NA,Season B,NA,Kwilu
10,Bulungu,1999,NA,Season B,NA,Kwilu
11,Bulungu,2000,NA,Season B,NA,Kwilu
12,Bulungu,2001,NA,Season B,NA,Kwilu
13,Bulungu,2002,NA,Season B,NA,Kwilu
14,Bulungu,2003,NA,Season B,NA,Kwilu
15,Bulungu,2004,NA,Season B,NA,Kwilu
16,Bulungu,2005,310.8046547,Season B,4,Kwilu
17,Bulungu,2006,NA,Season B,NA,Kwilu
18,Bulungu,2007,NA,Season B,NA,Kwilu
19,Bulungu,2008,NA,Season B,NA,Kwilu
20,Bulungu,2009,263.1336398,Season B,1,Kwilu
21,Bulungu,2010,NA,Season B,NA,Kwilu
22,Bulungu,2011,NA,Season B,NA,Kwilu
23,Bulungu,2012,NA,Season B,NA,Kwilu
24,Bulungu,2013,NA,Season B,NA,Kwilu
25,Bulungu,2014,310.9085313,Season B,5,Kwilu
26,Bulungu,2015,NA,Season B,NA,Kwilu
27,Bulungu,2016,311.8880015,Season B,7,Kwilu
28,Bulungu,2017,NA,Season B,NA,Kwilu
29,Bulungu,2018,NA,Season B,NA,Kwilu
30,Bulungu,2019,NA,Season B,NA,Kwilu
31,Bulungu,2020,NA,Season B,NA,Kwilu
32,Bulungu,2021,NA,Season B,NA,Kwilu
33,Bulungu,2022,NA,Season B,NA,Kwilu
34,Bulungu,2023,NA,Season B,NA,Kwilu
35,Demba,1990,NA,Season B,NA,Kasaï-Central
36,Demba,1991,322.1271429,Season B,3,Kasaï-Central
37,Demba,1992,NA,Season B,NA,Kasaï-Central
38,Demba,1993,207.9802465,Season B,1,Kasaï-Central
39,Demba,1994,NA,Season B,NA,Kasaï-Central
40,Demba,1995,NA,Season B,NA,Kasaï-Central
41,Demba,1996,NA,Season B,NA,Kasaï-Central
42,Demba,1997,NA,Season B,NA,Kasaï-Central
43,Demba,1998,NA,Season B,NA,Kasaï-Central
44,Demba,1999,NA,Season B,NA,Kasaï-Central
45,Demba,2000,NA,Season B,NA,Kasaï-Central
46,Demba,2001,322.5491961,Season B,4,Kasaï-Central
47,Demba,2002,NA,Season B,NA,Kasaï-Central
48,Demba,2003,338.6835508,Season B,7,Kasaï-Central
49,Demba,2004,NA,Season B,NA,Kasaï-Central
50,Demba,2005,NA,Season B,NA,Kasaï-Central
51,Demba,2006,NA,Season B,NA,Kasaï-Central
52,Demba,2007,NA,Season B,NA,Kasaï-Central
53,Demba,2008,266.7907093,Season B,2,Kasaï-Central
54,Demba,2009,327.1573623,Season B,5,Kasaï-Central
55,Demba,2010,NA,Season B,NA,Kasaï-Central
56,Demba,2011,NA,Season B,NA,Kasaï-Central
57,Demba,2012,NA,Season B,NA,Kasaï-Central
58,Demba,2013,NA,Season B,NA,Kasaï-Central
59,Demba,2014,NA,Season B,NA,Kasaï-Central
60,Demba,2015,NA,Season B,NA,Kasaï-Central
61,Demba,2016,336.5245371,Season B,6,Kasaï-Central
62,Demba,2017,NA,Season B,NA,Kasaï-Central
63,Demba,2018,NA,Season B,NA,Kasaï-Central
64,Demba,2019,NA,Season B,NA,Kasaï-Central
65,Demba,2020,NA,Season B,NA,Kasaï-Central
66,Demba,2021,NA,Season B,NA,Kasaï-Central
67,Demba,2022,347.8342644,Season B,8,Kasaï-Central
68,Demba,2023,NA,Season B,NA,Kasaï-Central
69,Kamonia,1990,259.234888,Season B,4,Kasaï
70,Kamonia,1991,258.0060746,Season B,3,Kasaï
71,Kamonia,1992,NA,Season B,NA,Kasaï
72,Kamonia,1993,132.985101,Season B,1,Kasaï
73,Kamonia,1994,NA,Season B,NA,Kasaï
74,Kamonia,1995,253.7593612,Season B,2,Kasaï
75,Kamonia,1996,NA,Season B,NA,Kasaï
76,Kamonia,1997,NA,Season B,NA,Kasaï
77,Kamonia,1998,NA,Season B,NA,Kasaï
78,Kamonia,1999,NA,Season B,NA,Kasaï
79,Kamonia,2000,NA,Season B,NA,Kasaï
80,Kamonia,2001,294.5737771,Season B,6,Kasaï
81,Kamonia,2002,NA,Season B,NA,Kasaï
82,Kamonia,2003,NA,Season B,NA,Kasaï
83,Kamonia,2004,NA,Season B,NA,Kasaï
84,Kamonia,2005,299.3060117,Season B,8,Kasaï
85,Kamonia,2006,NA,Season B,NA,Kasaï
86,Kamonia,2007,NA,Season B,NA,Kasaï
87,Kamonia,2008,296.1374269,Season B,7,Kasaï
88,Kamonia,2009,NA,Season B,NA,Kasaï
89,Kamonia,2010,NA,Season B,NA,Kasaï
90,Kamonia,2011,NA,Season B,NA,Kasaï
91,Kamonia,2012,NA,Season B,NA,Kasaï
92,Kamonia,2013,NA,Season B,NA,Kasaï
93,Kamonia,2014,NA,Season B,NA,Kasaï
94,Kamonia,2015,NA,Season B,NA,Kasaï
95,Kamonia,2016,276.3425651,Season B,5,Kasaï
96,Kamonia,2017,NA,Season B,NA,Kasaï
97,Kamonia,2018,NA,Season B,NA,Kasaï
98,Kamonia,2019,NA,Season B,NA,Kasaï
99,Kamonia,2020,NA,Season B,NA,Kasaï
100,Kamonia,2021,NA,Season B,NA,Kasaï
101,Kamonia,2022,NA,Season B,NA,Kasaï
102,Kamonia,2023,NA,Season B,NA,Kasaï
103,Luiza,1990,NA,Season B,NA,Kasaï-Central
104,Luiza,1991,NA,Season B,NA,Kasaï-Central
105,Luiza,1992,NA,Season B,NA,Kasaï-Central
106,Luiza,1993,194.7565485,Season B,1,Kasaï-Central
