year,District,value
1981,Chibombo,218.086673
1982,Chibombo,248.04668
1983,Chibombo,262.34747
1984,Chibombo,255.385175
1985,Chibombo,263.0642
1986,Chibombo,232.050567
1987,Chibombo,254.548566
1988,Chibombo,275
1989,Chibombo,244.750897
1990,Chibombo,242.27503
1991,Chibombo,245.291498
1992,Chibombo,268.88057
1993,Chibombo,190.156493
1994,Chibombo,225.560616
1995,Chibombo,238.888355
1996,Chibombo,253.651622
1997,Chibombo,244.75529
1998,Chibombo,266.91492
1999,Chibombo,273.53941
2000,Chibombo,275
2001,Chibombo,198.234853
2002,Chibombo,275
2003,Chibombo,234.722494
2004,Chibombo,225.532258
2005,Chibombo,260.46641
2006,Chibombo,247.994031
2007,Chibombo,233.951211
2008,Chibombo,259.68146
2009,Chibombo,255.81375
2010,Chibombo,262.90577
2011,Chibombo,271.51074
2012,Chibombo,228.568696
2013,Chibombo,246.493705
2014,Chibombo,252.104736
2015,Chibombo,266.85573
2016,Chibombo,252.014203
2017,Chibombo,242.43146
2018,Chibombo,226.754426
2019,Chibombo,241.152705
1981,Chisamba,202.199501
1982,Chisamba,230.654592
1983,Chisamba,266.07997
1984,Chisamba,252.695264
1985,Chisamba,266.13448
1986,Chisamba,215.09307
1987,Chisamba,241.694072
1988,Chisamba,275
1989,Chisamba,233.750435
1990,Chisamba,240.43041
1991,Chisamba,250.589718
1992,Chisamba,268.93303
1993,Chisamba,183.801503
1994,Chisamba,224.256718
1995,Chisamba,235.34492
1996,Chisamba,251.051404
1997,Chisamba,239.204847
1998,Chisamba,259.33854
1999,Chisamba,267.45708
2000,Chisamba,275
2001,Chisamba,205.896568
2002,Chisamba,263.96859
2003,Chisamba,219.416568
2004,Chisamba,209.448157
2005,Chisamba,266.69319
2006,Chisamba,234.027155
2007,Chisamba,225.026598
2008,Chisamba,252.86147
2009,Chisamba,259.17174
2010,Chisamba,245.817184
2011,Chisamba,263.69375
2012,Chisamba,238.83206
2013,Chisamba,250.754027
2014,Chisamba,251.560826
2015,Chisamba,271.89159
2016,Chisamba,244.643793
2017,Chisamba,237.649322
2018,Chisamba,219.081036
2019,Chisamba,217.451155
1981,Chitambo,261.73982
1982,Chitambo,263.23507
1983,Chitambo,275
1984,Chitambo,275
1985,Chitambo,271.9622
1986,Chitambo,275
1987,Chitambo,272.17027
1988,Chitambo,275
1989,Chitambo,258.75236
1990,Chitambo,275
1991,Chitambo,269.61608
1992,Chitambo,275
